Index,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
12038,10.0,31590707.0,George Burgess (rugby league),0.9724247455596924,Q5537434,Culture.Sports,5829.691774892146,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,505.66086769104004,11230.982658535242,0.04502374218401553
12019,9.0,31519104.0,Tom Burgess (rugby league),0.9755869507789612,Q7815129,Culture.Sports,1459.6917748919454,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,456.57469296455383,11230.982658535242,0.04065313845156456
13253,9.0,39106247.0,Damien Cook,0.9591643214225768,Q16233721,Culture.Sports,2192.761904761905,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,448.88890242576593,11230.982658535242,0.039968800244262026
11181,8.0,26000830.0,Gareth Widdop,0.9926641583442688,Q5522996,Culture.Sports,186130.75843685315,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,412.9482898712158,11230.982658535242,0.03676866953021126
6793,9.0,5069344.0,John Sutton (rugby league),0.8740872144699097,Q6259730,Culture.Sports,1462.4831168832873,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,409.0728163719177,11230.982658535242,0.03642359968039248
12318,8.0,33093525.0,Tyson Frizell,0.9579222798347472,Q7861773,Culture.Sports,2196.081677018632,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,398.4956684112548,11230.982658535242,0.035481816732074546
12492,9.0,34323256.0,Adam Reynolds,0.8479777574539185,Q4679656,Culture.Sports,1101.2067852437417,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,396.85359048843384,11230.982658535242,0.03533560709283402
10027,8.0,19435224.0,Ben Hunt (rugby league),0.9344051480293274,Q2895471,Culture.Sports,414604.7584368529,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,388.7125415802002,11230.982658535242,0.03461073295174125
11971,8.0,31159682.0,Dane Gagai,0.9241518378257751,Q5215808,Culture.Sports,4.199999999999998,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,384.44716453552246,11230.982658535242,0.034230946322702495
11989,8.0,31329974.0,Aaron Woods,0.9019306898117064,Q4662556,Culture.Sports,2554.924505928885,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,375.20316696166987,11230.982658535242,0.033407866290001406
11339,9.0,27103967.0,Korbin Sims,0.7826725244522095,Q16235018,Culture.Sports,12292.603002069382,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,366.29074144363403,11230.982658535242,0.032614309235466855
11342,8.0,27104068.0,Tariq Sims,0.8706072568893433,Q7686188,Culture.Sports,6516.7738095238155,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,362.1726188659668,11230.982658535242,0.03224763405637755
14404,7.0,45624876.0,Felise Kaufusi,0.9790457487106324,Q19589762,Culture.Sports,5.749999999999999,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,356.3726525306702,11230.982658535242,0.0317312085118248
10929,7.0,24534143.0,Jeremy Latimore,0.9416641592979432,Q6181623,Culture.Sports,26.75843685300209,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,342.76575398445135,11230.982658535242,0.030519658377707374
16446,7.0,57365318.0,Zac Lomax,0.8774868249893188,Q52824213,Culture.Sports,26.75843685300209,0.0,52.0,194.0,0.26804123711340205,Sports,Culture,319.40520429611206,11230.982658535242,0.028439648961025934
