,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
1593,Alexander I of Scotland,1593,22,3,571.3929391749612,Q60843
1979,Alpha Centauri,1979,3,14,12481.0,Q12176
2799,American Registry for Internet Numbers,2799,4,14,24951.999999999993,Q282503
3355,Benjamin Lee Whorf,3355,3,14,6241.0,Q331853
3862,American League Division Series,3862,7,7,33410.53224166467,Q465503
4871,Bob Knight,4871,2,11,6241.0,Q888594
4942,Bagpuss,4942,2,6,0.0,Q2879179
6231,Comic book,6231,76,6,319225.8502207616,Q1760610
7729,Captain America,7729,87,6,5234.537044155226,Q190679
7740,Charles C. Krulak,7740,3,12,360.4246632604945,Q328390
7767,Circuit Zandvoort,7767,2,16,6241.0,Q173083
8222,Deseret alphabet,8222,2,15,6241.000000000001,Q1200582
9105,DC Comics,9105,103,6,289023.0869969496,Q2924461
11036,Fin,11036,2,14,6241.0,Q778612
11457,Fra Angelico,11457,6,14,6670.654357686628,Q5664
11664,Fantastic Four,11664,91,6,2192.774321097339,Q152098
13865,Heart of Oak,13865,1,12,0.0,Q2894680
14382,Hi-hat,14382,2,5,6241.0,Q963334
14883,Iberian Peninsula,14883,16,23,192498.6063405965,Q12837
16023,Juno,16023,1,20,0.0,Q226151
16121,Joshua,16121,8,14,184139.56479299688,Q7734
16207,Joseph Gurney Cannon,16207,16,2,1354837.5556601647,Q984248
16556,Jack Kirby,16556,94,6,112523.06731147926,Q311607
16899,Kareem Abdul-Jabbar,16899,14,7,1310815.4263205251,Q179051
17948,Lake Michigan,17948,8,5,6243.076190476189,Q1169
18477,Lulach,18477,21,3,409.3133696601671,Q117633
18879,Massachusetts Institute of Technology,18879,15,25,111576.05005011582,Q49108
19299,Royal Moroccan Armed Forces,19299,3,3,12480.0,Q34511
19948,Monica Lewinsky,19948,8,14,59505.54836986667,Q212659
20321,Mackinac Bridge,20321,6,5,0.0,Q12568
20797,MusicBrainz,20797,142,5,3181351.0681636035,Q14005
20966,Marvel Comics,20966,129,6,727554.1819431725,Q173496
20986,Marvel Universe,20986,56,6,3288.6944925549487,Q931597
21822,Natural Law Party,21822,2,0,145.3048204805338,Q491782
22591,Oracle Corporation,22591,6,14,80110.18622472306,Q19900
22647,Hoy,22647,1,3,0.0,Q1139771
22873,Presidential Medal of Freedom,22873,5,11,15943.869410167605,Q17144
23447,Transportation in the Philippines,23447,2,23,12480.0,Q14477550
23745,Pokémon,23745,18,6,23112.64241367904,Q864
24680,Premier of Western Australia,24680,2,5,6241.000000000002,Q1550276
24864,Professional wrestling,24864,25,15,102073.86238142061,Q131359
24972,Preacher,24972,1,0,0.0,Q432386
25727,Reference work,25727,2,14,387.0705019094014,Q13136
26582,Robert the Bruce,26582,113,3,194996.1855011719,Q187312
26907,Social engineering,26907,1,14,0.0,Q299257
27687,St. Louis,27687,24,15,1360012.3130543502,Q38022
28381,Superman,28381,5,5,24965.5,Q79015
28708,Sleet,28708,2,18,0.0,Q1319571
29366,Shoghi Effendi,29366,1,9,0.0,Q318441
29405,Sikhs,29405,4,16,129837.9053344892,Q582779
29551,Steve Ditko,29551,53,6,81983.16169473465,Q355652
30543,Alhambra,30543,12,23,184791.06832401417,Q47476
30683,Toho,30683,8,6,13236.28412763531,Q875920
31053,Tempera,31053,3,14,0.1111111111111111,Q175166
31756,United States Congress,31756,317,2,2504434.211194225,Q11268
31758,United States congressional delegations from Alabama,31758,184,2,3787.929802651393,Q2603181
31764,United States congressional delegations from Arizona,31764,90,2,27075.487556058564,Q770972
31793,University of Pennsylvania,31793,22,11,910252.4010462402,Q49117
32759,Vice President of the United States,32759,77,0,182636.47442508015,Q11699
32823,Very Large Scale Integration,32823,1,14,0.0,Q876049
33896,"Worms, Germany",33896,2,14,6241.000000000001,Q3852
34085,Wolverine,34085,5,8,286367.18239232094,Q14334
34218,X-Men,34218,87,6,68478.39030368316,Q128452
34226,Yuri Gagarin,34226,1,0,0.0,Q7327
34485,Zarzuela,34485,1,23,0.0,Q148163
36716,Buran programme,36716,5,18,9361.499999999998,Q1010251
36909,Melissa Sue Anderson,36909,3,14,6241.0,Q240969
37535,Metropolitan Museum of Art,37535,13,14,103986.71702738802,Q160236
37714,Energia,37714,5,18,28036.833333333332,Q731859
38264,Granada,38264,19,23,168092.25720759315,Q8810
38493,Genus,38493,14,8,157526.82513506408,Q34740
39075,Spiro Agnew,39075,14,0,172347.72308563025,Q203433
39732,The Brady Bunch,39732,12,5,110654.88755357842,Q250767
42653,United States National Forest,42653,6,18,43750.18302408878,Q612741
43473,Wars of Scottish Independence,43473,71,3,119749.45284086087,Q1368240
43950,Interstate Highway System,43950,6,5,8.566666666666666,Q94247
44002,United States Attorney General,44002,71,0,487646.50857262936,Q636207
44203,Ezra Pound,44203,3,11,6240.999999999999,Q163366
44848,Edward II of England,44848,70,3,421411.1741700561,Q5236
46373,Edward I of England,46373,85,3,335181.8372848148,Q57798
46699,Electoral fusion,46699,10,0,4628.248660532489,Q3822632
47497,Doctor Doom,47497,78,6,7768.873035488965,Q430178
48535,Pennsylvania Avenue,48535,4,0,44206.113806580695,Q1455053
48815,Fu-Go balloon bomb,48815,3,12,988.4209291897502,Q695154
49867,Almohad Caliphate,49867,11,23,10021.42341214275,Q199688
50242,Led Zeppelin IV,50242,3,5,12480.000000000002,Q201940
50477,Martial law,50477,4,0,14753.6103920424,Q715625
50556,James IV of Scotland,50556,35,3,165373.29244617565,Q137906
50961,John Balliol,50961,55,3,11344.191156620853,Q310065
50993,Battle of Bannockburn,50993,51,3,14122.194337458179,Q222520
51051,Battle of the Crater,51051,1,14,0.0,Q1786801
51056,Lake Huron,51056,8,5,13480.909523810034,Q1383
51254,Father of the House,51254,2,0,30348.484912218202,Q314264
51793,Dave Cutler,51793,1,14,0.0,Q92800
52015,Proper motion,52015,2,14,18717.0,Q193223
53214,North West England,53214,11,9,67319.23210606963,Q47967
54957,Younger Dryas,54957,3,8,0.0,Q944279
55066,Nanjing Massacre,55066,13,12,138623.36792921784,Q192055
55589,Homestead Acts,55589,9,14,168725.43741361945,Q974556
55853,Gus Hall,55853,3,0,6383.129336654328,Q534128
56133,Battle Angel Alita,56133,4,14,0.0,Q810987
56136,Yukito Kishiro,56136,5,14,24952.0,Q983424
56252,Lieutenant governor,56252,11,0,6823.707084830297,Q1516453
