,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
0,17.0,800.0,Cable News Network,21.0,0.4843900501728058,Q48340,Culture.Media.Media*,0.0,13047.866058133477,163.0,0.0,60.0,25.157894,2.3236747,4.546766799999999,4907.0,8.234630852937698,Culture,Media*
1,12.0,819.0,Chanson,10.0,0.5234303474426271,Q7366,Culture.Media.Media*,233.0,2462.260190754661,124.0,0.0,54.0,20.421053,18.918,-11.734865,5402.0,6.281164169311525,Culture,Media*
2,41.0,1328.0,Genre musical,10.0,0.8080772161483765,Q188451,Culture.Media.Media*,233.0,1114.5467423983087,124.0,0.0,54.0,47.894737,-5.8847466,-0.91086686,5423.0,33.131165862083435,Culture,Media*
3,3.0,2335.0,Prix Nobel de physiologie ou médecine,18.0,0.8596737384796143,Q80061,History_and_Society.Society,88.0,8473.756567930763,77.0,1.0,193.0,11.894737,7.70993,-22.049393,3726.0,2.5790212154388428,History_and_Society,Society
4,33.0,2516.0,Philippe Pétain,6.0,0.996837317943573,Q5721,Culture.Biography.Biography*,183.0,32593.39783575636,168.0,2.0,0.0,40.31579,17.314072,9.912496,292224.0,32.89563149213791,Culture,Biography*
5,29.0,2898.0,Musique soul,10.0,0.9987257122993468,Q131272,History_and_Society.Society,233.0,143.47316785786782,124.0,0.0,54.0,36.526314,8.653236,-9.598514999999999,4467.0,28.963045656681057,History_and_Society,Society
6,11.0,3998.0,Éphéméride,3.0,0.14805719256401062,Q19355137,History_and_Society.Transportation,49.0,697.25,164.0,12.0,0.0,19.473684,-6.7202773,-18.644184,3571.0,1.6286291182041168,History_and_Society,Transportation
7,3.0,5069.0,Charles Maurras,1.0,0.9931061863899232,Q3048,Culture.Biography.Biography*,0.0,8221.937463965494,94.0,3.0,235.0,11.894737,-15.925111,3.3685935,11794.0,2.9793185591697697,Culture,Biography*
8,4.0,7018.0,Kilomètre carré,18.0,0.9748311638832092,Q712226,STEM.STEM*,88.0,380.62226352079284,77.0,1.0,193.0,12.842105,9.267816999999999,-12.195305000000001,4725.0,0.0,STEM,STEM*
9,13.0,7483.0,Caroline du Sud,18.0,0.6150978803634644,Q1456,Geography.Regions.Americas.North_America,88.0,4154.418471650452,77.0,1.0,193.0,21.36842,-0.8881242,17.677925,4498.0,7.996272444725037,Geography,North_America
