,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
0,4.0,511.0,Skinhead néonazi,0.7431780099868774,Q2625151,History_and_Society.Politics_and_government,49.0,0.6666666666666666,164.0,14.0,0.0,18.709677,20.288218,-16.916395,3422.0,2.9727120399475098,History_and_Society,Politics_and_government
1,10.0,638.0,Corinne Lepage,0.8479777574539185,Q291341,History_and_Society.Politics_and_government,88.0,76591.26292909622,77.0,9.0,193.0,36.129032,10.421439999999999,3.7194114000000003,4392.0,8.479777574539185,History_and_Society,Politics_and_government
2,4.0,1079.0,Escalade,0.5000100135803223,Q22857,Culture.Sports,192.0,4460.0,192.0,24.0,192.0,18.709677,-4.860350599999999,0.9009163,3433.0,2.000040054321289,Culture,Sports
3,8.0,1713.0,Luxembourg,0.1097157895565033,Q32,History_and_Society.Politics_and_government,74.0,35563.115553548785,134.0,19.0,0.0,30.32258,-12.631236999999999,-9.442558,5396.0,0.8777263164520264,History_and_Society,Politics_and_government
4,9.0,1773.0,Les Verts (France),0.7879412174224854,Q743390,History_and_Society.Politics_and_government,88.0,7444.514338064521,77.0,9.0,193.0,33.225807,-8.966903,-14.771386999999999,2423.0,7.091470956802368,History_and_Society,Politics_and_government
5,7.0,2187.0,New Deal,0.3775506913661957,Q186356,History_and_Society.History,0.0,39907.21287875284,163.0,13.0,60.0,27.419353000000005,-14.871761,5.2229133,4388.0,2.6428548395633698,History_and_Society,History
6,3.0,2980.0,Transport,0.5698626637458801,Q7590,STEM.Engineering,0.0,974.7635798983624,163.0,4.0,60.0,15.806451999999998,11.108023,-17.607056,3786.0,1.7095879912376404,STEM,Engineering
7,2.0,3075.0,Traité de San Francisco,0.3702353835105896,Q392541,History_and_Society.Politics_and_government,0.0,0.0,163.0,2.0,60.0,12.903226,8.904845,-12.624889,726.0,0.7404707670211792,History_and_Society,Politics_and_government
8,2.0,3158.0,V2 (missile),0.9871888160705566,Q174640,History_and_Society.Military_and_warfare,192.0,3345.0,192.0,18.0,192.0,12.903226,-17.719242,4.359424,3571.0,1.9743776321411133,History_and_Society,Military_and_warfare
9,6.0,4559.0,Laurent Schwartz (mathématicien),0.9954004287719728,Q212081,Culture.Biography.Biography*,172.0,3598.0682100291333,126.0,11.0,0.0,24.516129,-18.728416,6.1406225999999995,2552.0,0.0,Culture,Biography*
10,3.0,5624.0,Jean-Pierre Raffarin,0.6926519870758057,Q63263,History_and_Society.Politics_and_government,88.0,3450.4444444444457,77.0,9.0,193.0,15.806451999999998,20.042877,24.012188000000002,3734.0,2.077955961227417,History_and_Society,Politics_and_government
11,5.0,5730.0,Daniel Cohn-Bendit,0.7431780099868774,Q76837,History_and_Society.Politics_and_government,88.0,6684.010064935063,77.0,9.0,193.0,21.612904,-14.400241000000001,2.7979486000000002,58237.0,3.715890049934387,History_and_Society,Politics_and_government
12,15.0,6603.0,Raoul Salan,0.9796776771545408,Q241944,History_and_Society.Military_and_warfare,172.0,25088.9882518466,126.0,11.0,0.0,50.64516,1.8661251,4.297006,2971.0,14.695165157318112,History_and_Society,Military_and_warfare
13,1.0,7040.0,Lanza del Vasto,0.287777841091156,Q554949,Culture.Philosophy_and_religion,172.0,0.0,126.0,11.0,0.0,10.0,-7.358188,5.0734415,7157.0,0.287777841091156,Culture,Philosophy_and_religion
14,1.0,7245.0,Déchet,0.4378334879875183,Q45701,History_and_Society.Politics_and_government,192.0,0.0,192.0,13.0,192.0,10.0,-8.328608000000001,-15.500251,1837.0,0.4378334879875183,History_and_Society,Politics_and_government
15,3.0,7300.0,Joe Strummer,0.5078218579292297,Q310052,Culture.Media.Media*,116.0,2952.6091770115154,157.0,21.0,0.0,15.806451999999998,-19.916859,1.2854299999999999,2844.0,1.5234655737876892,Culture,Media*
16,8.0,7483.0,Caroline du Sud,0.6150978803634644,Q1456,Geography.Regions.Americas.North_America,13.0,29574.818320743598,95.0,13.0,175.0,30.32258,-10.487789,-10.92574,6001.0,0.0,Geography,North_America
17,2.0,7538.0,Rhode Island,0.9511522054672241,Q1387,Geography.Geographical,0.0,39460.44294999259,129.0,22.0,152.0,12.903226,10.738301,1.0604596000000002,3541.0,0.0,Geography,Geographical
18,5.0,7568.0,New Hampshire,0.11597072333097458,Q759,History_and_Society.Politics_and_government,13.0,22049.0,95.0,13.0,175.0,21.612904,9.374077,23.499958,2521.0,0.5798536166548729,History_and_Society,Politics_and_government
19,3.0,8734.0,Xénophobie,0.6150978803634644,Q166005,History_and_Society.Society,0.0,6244.878338883304,163.0,13.0,60.0,15.806451999999998,-0.043261666,12.152141,15754.0,1.845293641090393,History_and_Society,Society
20,3.0,9152.0,Claude Bartolone,1.0000100135803225,Q1096496,Culture.Biography.Biography*,88.0,9.808080808080806,77.0,9.0,193.0,15.806451999999998,2.1641812000000002,23.451937,2547.0,0.0,Culture,Biography*
21,2.0,10260.0,Françoise de Panafieu,0.9963027834892272,Q273143,Culture.Biography.Biography*,88.0,1632.315723532219,77.0,9.0,193.0,12.903226,23.285002,9.449314,1901.0,0.0,Culture,Biography*
22,9.0,10548.0,Industrie,0.5234303474426271,Q8148,History_and_Society.Society,0.0,93325.57090342867,163.0,4.0,60.0,33.225807,-19.774843,-2.642379,3621.0,4.7108731269836435,History_and_Society,Society
23,1.0,10657.0,Daniel Vaillant,1.0000100135803225,Q1905371,Culture.Biography.Biography*,88.0,0.0,77.0,9.0,193.0,10.0,-19.543264,3.4993722000000003,3138.0,0.0,Culture,Biography*
24,6.0,10680.0,Éric Woerth,0.14034625887870789,Q288486,History_and_Society.Politics_and_government,88.0,35693.67258584706,77.0,9.0,193.0,24.516129,-3.4418538,4.1964135,2496.0,0.8420775532722473,History_and_Society,Politics_and_government
25,2.0,11728.0,Brome,0.91965252161026,Q879,STEM.Chemistry,74.0,7777.0,134.0,19.0,0.0,12.903226,-6.5251856,13.453679999999999,8330.0,1.83930504322052,STEM,Chemistry
