,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
0,2.0,845.0,Opération Tempête du désert,1.0,0.9591643214225768,Q2349281,History_and_Society.Military_and_warfare,160.0,0.0,96.0,12.0,153.0,11.836735000000001,-0.051336214000000005,22.154621,21.0,225.0,0.09333333333333334,Military_and_warfare,History_and_Society,40.28490149974822,7626.686678439379,0.005282097350823854
1,29.0,2894.0,Strasbourg,15.0,0.9433575868606568,Q6602,Geography.Regions.Europe.Europe*,0.0,68772.99321553732,129.0,11.0,152.0,61.428574,2.552858,-10.812111,38.0,214.0,0.17757009345794392,Europe*,Geography,0.0,599.6638244763018,0.0
2,3.0,8667.0,Saint-Christophe-et-Niévès,3.0,0.9802908897399902,Q763,Geography.Geographical,233.0,1561.0,124.0,10.0,54.0,13.673470000000002,18.324478,-4.393455,3.0,423.0,0.007092198581560284,Geographical,Geography,0.0,23545.364747330543,0.0
3,4.0,9519.0,Georges Fenech,3.0,0.997894287109375,Q12937,Culture.Biography.Biography*,233.0,4.072727272727272,124.0,10.0,54.0,15.510204000000002,-14.483621,11.640202,27.0,423.0,0.06382978723404255,Biography*,Culture,0.0,23545.364747330543,0.0
4,5.0,9968.0,Objet volant non identifié,9.0,0.5312193632125854,Q421,STEM.STEM*,47.0,13840.0,42.0,16.0,255.0,17.34694,14.499231,-8.421227,21.0,127.0,0.16535433070866146,STEM*,STEM,55.77803313732147,2470.611287727952,0.022576612279876944
5,5.0,10151.0,Marie-Anne Montchamp,17.0,0.9994572401046752,Q3291527,Culture.Biography.Biography*,183.0,6753.038725933394,168.0,3.0,0.0,17.34694,12.432577,-17.282381,53.0,382.0,0.1387434554973822,Biography*,Culture,0.0,3427.7143243327732,0.0
6,4.0,10182.0,Victoires de la musique,15.0,0.538993239402771,Q2445029,Culture.Media.Media*,0.0,6205.0,129.0,11.0,152.0,15.510204000000002,8.372112,9.448369999999999,11.0,214.0,0.0514018691588785,Media*,Culture,23.715702533721924,599.6638244763018,0.03954832952351815
7,1.0,10605.0,Alain Suguenot,17.0,0.14415885508060455,Q2830299,History_and_Society.Politics_and_government,183.0,0.0,168.0,3.0,0.0,10.0,-17.04055,-21.769571,46.0,382.0,0.12041884816753927,Politics_and_government,History_and_Society,6.6313073337078094,3427.7143243327732,0.0019346149376082077
8,28.0,11019.0,George H. W. Bush,1.0,0.585111141204834,Q23505,History_and_Society.Politics_and_government,160.0,7342.607900432816,96.0,12.0,153.0,59.591834999999996,-2.2947385,24.512808,29.0,225.0,0.1288888888888889,Politics_and_government,History_and_Society,475.1102466583252,7626.686678439379,0.06229576049078566
9,3.0,13315.0,Maurice Druon,8.0,0.10375863313674928,Q223949,Culture.Literature,0.0,2000.0930429106327,163.0,0.0,60.0,13.673470000000002,-7.724684700000001,-24.054771,12.0,461.0,0.026030368763557483,Literature,Culture,3.7353107929229754,3165.5007031410933,0.001180006306495672
