,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
1097,Armed Forces of Armenia,1097,4,19,33288.0,Q935464
1943,Australian Democrats,1943,26,17,9514.606110440214,Q781392
2299,"American Media, Inc.",2299,14,22,1904271.2254178065,Q465666
2339,Avery Hopwood,2339,8,47,8088.233213742541,Q2479506
2847,Aung San Suu Kyi,2847,17,32,2637544.541560249,Q36740
2999,Arthur Laurents,2999,12,1,440057.0551251373,Q710334
3010,Alan Jay Lerner,3010,4,0,72336.68880734009,Q961893
3735,Beastie Boys,3735,11,2,134235.59374922985,Q214039
4109,Leg theory,4109,7,52,1741.6297720329467,Q6517148
4240,Benedictines,4240,12,54,118094.91015012327,Q131132
4248,Bowls,4248,3,14,452755.9702677942,Q895471
4893,Bob Costas,4893,4,6,370243.60314193886,Q2458861
4948,Banacek,4948,2,21,44376.0,Q2071571
5864,Customs union,5864,3,32,1194.9410762630278,Q218819
6468,Country Liberal Party,6468,52,17,15659.483929471124,Q2496080
7661,Council of Constance,7661,3,54,156199.90234220694,Q154001
7740,Charles C. Krulak,7740,4,6,1766.5378472531993,Q328390
8274,Declaration of Arbroath,8274,6,37,18388.499999998898,Q598496
10026,Anthem of Europe,10026,1,41,0.0,Q11993
10192,Explosive,10192,10,6,578803.0794075736,Q12870
10357,Earle Page,10357,42,17,11367.993490832614,Q370926
10574,First National Pictures,10574,3,6,33286.99999999999,Q1188369
10654,Forward pass,10654,4,14,768332.8382658219,Q1433685
10667,Tackle (football move),10667,31,43,1399267.3038346919,Q1545990
11955,George H. W. Bush,11955,73,6,3863011.6611287086,Q23505
12422,List of gymnasts,12422,1,27,0.0,Q4389774
12681,Geography of Afghanistan,12681,2,18,11097.0,Q1637198
12835,Galla Placidia,12835,3,39,11090.666666666666,Q237907
12896,Gulf of Oman,12896,5,32,572599.1737827759,Q79948
13018,Governor of Michigan,13018,1,18,0.0,Q5589680
13034,Geyser,13034,1,6,0.0,Q83471
13075,Gosford,13075,6,41,1348486.3444047258,Q605113
14045,Humphrey Bogart,14045,21,0,174928.9710326273,Q16390
14097,History of Asia,14097,4,32,131314.7328841862,Q627531
14406,Harmony Society,14406,1,47,0.0,Q5659615
14644,Geography of Indonesia,14644,1,32,0.0,Q1977576
15328,Impeachment,15328,7,22,78742.94630591621,Q480498
15368,Insider trading,15368,5,28,55474.0,Q854623
15925,Jacobitism,15925,7,37,144156.0,Q212983
15960,Judicial Committee of the Privy Council,15960,2,50,1757.9549848288402,Q1710982
16295,Josiah Wedgwood,16295,2,52,66552.0,Q319331
16768,Kevin Spacey,16768,11,5,265494.8469679769,Q25144
16844,Kofi Annan,16844,58,3,1478838.365101148,Q1254
16898,Kara Sea,16898,3,32,11097.0,Q33629
17011,Killer whale,17011,5,37,155221.0,Q26843
17023,Kellogg–Briand Pact,17023,2,6,0.0,Q205073
17103,Kurt Waldheim,17103,20,3,43522.4487821278,Q1260
17307,Keystone Cops,17307,1,2,0.0,Q1633572
17372,Klement Gottwald,17372,9,36,30895.99624048213,Q296054
17387,Knights of Labor,17387,2,19,11097.0,Q1416650
17728,Line Islands,17728,1,9,0.0,Q234796
18053,Bodyline,18053,8,52,925.910271540532,Q2908463
18090,Lilia Podkopayeva,18090,6,53,11.395475025146665,Q237276
18691,Legion of Merit,18691,36,6,105881.12678639403,Q724443
19225,Politics of Mexico,19225,3,6,22193.0,Q1155509
19279,Mongolian Armed Forces,19279,1,19,0.0,Q1178910
20182,Afghan Armed Forces,20182,6,18,101165.65207742662,Q11062919
20215,Mississippi John Hurt,20215,4,6,0.4,Q382962
20551,Montevideo Convention,20551,3,37,22192.000000000004,Q210862
20610,Montoneros,20610,5,8,22192.0,Q1053419
20952,"Mobile, Alabama",20952,12,24,2934203.473318824,Q79875
21231,Nirvana (band),21231,4,25,373013.1552443403,Q11649
21344,Geography of New Caledonia,21344,2,32,21770.747503797127,Q3098269
21868,Neutronium,21868,3,32,0.0,Q1195471
21876,Natasha Stott Despoja,21876,4,17,3.2174031577715865,Q6968504
22049,Neil Simon,22049,32,49,670937.055378588,Q315808
22102,Naval mine,22102,3,6,22193.0,Q189929
22359,List of Olympic medalists in basketball,22359,16,57,697388.3856288908,Q950295
22629,Ottoman Turks,22629,3,32,50461.316854307086,Q2359535
22685,Organization of the Communist Party of the Soviet Union,22685,1,36,0.0,Q11315556
23242,Transport in China,23242,2,22,11097.0,Q1377007
23461,Geography of Puerto Rico,23461,5,19,345354.36376365606,Q2527656
23561,Paranthropus,23561,1,32,0.0,Q111463
23831,Pope Adrian VI,23831,12,54,5701.446543831453,Q57087
24011,Pope Benedict V,24011,4,54,725.5987337494021,Q170559
24019,Pope Benedict XIII,24019,13,54,8158.844020601676,Q155971
24242,Pope Gregory XII,24242,14,54,134299.66019458088,Q227694
24286,Pope Urban IV,24286,3,54,0.0,Q169305
24382,Pope Victor I,24382,12,54,5553.276428186242,Q127989
24547,Poll tax,24547,6,32,323921.27808339254,Q721368
24612,Procedural law,24612,7,36,38289.55742207945,Q936044
24623,Paul Laurence Dunbar,24623,1,19,0.0,Q974678
24643,Pope Innocent VIII,24643,6,54,14378.824280772567,Q161351
24649,Plea,24649,1,36,0.0,Q15916459
24654,Premier of New South Wales,24654,16,17,43946.71880906714,Q13527950
24655,Premier of Victoria,24655,3,17,11097.000000000004,Q13527909
24677,Premier of Queensland,24677,1,17,0.0,Q13526082
24875,Personal jurisdiction,24875,1,36,0.0,Q7170598
25735,Rugby league,25735,44,14,3311057.137452356,Q10962
26253,Revised Julian calendar,26253,1,36,0.0,Q1930146
26479,Richie Benaud,26479,15,52,50254.25765749467,Q2739019
26582,Robert the Bruce,26582,26,37,573005.8333333816,Q187312
27120,Sorbian languages,27120,4,32,480063.27219875186,Q25442
27476,Economy of Syria,27476,2,35,121675.01827237481,Q2747497
27786,Simon bar Kokhba,27786,2,45,0.0,Q273117
27977,South Park,27977,38,7,26631.458136669007,Q16538
27998,Synchronised swimming,27998,4,4,33287.0,Q180692
28694,Space Quest,28694,5,47,0.0,Q384919
28853,Smiling Buddha,28853,6,18,22192.999999999996,Q1426448
28912,Srebrenica,28912,1,3,0.0,Q156053
29005,Strait of Hormuz,29005,8,32,325607.5939126112,Q79883
29124,Soviet submarine K-219,29124,4,50,55472.0,Q1718019
29484,Seabee,29484,7,6,32977.271354630226,Q1757145
29537,Scientific misconduct,29537,3,36,44379.0,Q428632
30253,Tertiary,30253,5,36,64759.82889718253,Q188645
30616,Points race,30616,1,4,0.0,Q2597988
30617,Madison (cycling),30617,5,4,0.0,Q2596614
30618,Sprint (track cycling),30618,2,4,4.794455544455545,Q352749
30619,Keirin,30619,10,4,79696.74420570165,Q774176
31764,United States congressional delegations from Arizona,31764,39,6,95171.03863192257,Q770972
32117,Upper Peninsula of Michigan,32117,19,24,1695329.6174648136,Q1338
32179,United Australia Party,32179,57,17,80551.68776530147,Q1728956
32233,Ultramontanism,32233,2,45,140173.61300616676,Q274053
32361,Value theory,32361,2,1,11097.0,Q3187415
32378,Geography of Vietnam,32378,1,18,0.0,Q1049178
32425,Military in Vatican City,32425,2,54,3079.33989924648,Q2479698
32456,Politics of Venezuela,32456,5,50,0.5,Q1153592
32460,National Bolivarian Armed Forces of Venezuela,32460,8,50,332067.8333333334,Q1076869
32530,Visigoths,32530,6,39,99806.33333333333,Q23693
32611,Vietnam War,32611,149,6,10020403.73297939,Q8740
32975,Worldcon,32975,5,38,0.75,Q617378
