,Main_Topics,Higher_Weighted_Article
0,Politics_and_government (0.05) / History (0.04) / Media* (0.05) ,Boris Johnson (774)
1,Politics_and_government (0.13) / Sports (0.05) / Media* (0.02) ,Susan Collins (702)
2,Sports (0.22) / Society (0.03) / Biography* (0.19) ,2018 Upper Austria Ladies Linz – Singles (1301)
3,Sports (0.24) / Society (0.03) / Military_and_warfare (0.01) ,A-League (2645)
4,Sports (0.18) / Society (0.05) / Media* (0.03) ,Sherdog (12434)
5,Sports (0.26) / Media* (0.0) / Entertainment (0.0) ,2018–19 Fulham F.C. season (1693)
6,Sports (0.23) / Media* (0.07) / Television (0.02) ,2011 National League Division Series (5265)
7,Media* (0.16) / Music (0.08) / Films (0.02) ,Charles Aznavour filmography (777)
8,Media* (0.2) / Television (0.08) / Music (0.05) ,Doctor Who (season 11) (1066)
9,Sports (0.31) / STEM* (0.01) / Media* (0.01) ,Standing long jump (22089)
10,Sports (0.33) / Music (0.0) / Media* (0.0) ,Seychelles national football team (1557)
11,Politics_and_government (0.1) / Military_and_warfare (0.05) / Society (0.03) ,Thames Valley Police (836)
12,Society (0.15) / Music (0.15) / Media* (0.18) ,American Music Award for Favorite Pop/Rock Female Artist (320)
13,Sports (0.22) / Military_and_warfare (0.01) / Society (0.02) ,Gibraltar national football team results (5447)
14,Sports (0.14) / Literature (0.08) / Visual_arts* (0.08) ,Sam Jones (basketball) (380)
15,Visual_arts* (0.12) / Media* (0.1) / Entertainment (0.02) ,Dismaland (803)
16,STEM* (0.13) / Society (0.04) / Physics (0.04) ,Frances Arnold (1117)
17,Politics_and_government (0.13) / Media* (0.04) / Films (0.01) ,Anders Behring Breivik (1045)
18,Sports (0.21) / Media* (0.04) / Television (0.02) ,Bowling average (1138)
19,STEM* (0.16) / Earth_and_environment (0.11) / Politics_and_government (0.03) ,Hurricane Michael (9596)
20,Media* (0.17) / Television (0.14) / Entertainment (0.1) ,Yujiro Kushida (872)
21,Media* (0.1) / Military_and_warfare (0.05) / Films (0.05) ,The Laramie Project (film) (76)
22,STEM* (0.06) / Military_and_warfare (0.05) / Sports (0.06) ,Mark Oliphant (161)
23,Sports (0.3) / Media* (0.01) / Television (0.0) ,Sam Tomkins (1492)
24,Politics_and_government (0.07) / STEM* (0.07) / Media* (0.04) ,Social Democratic Party of Bosnia and Herzegovina (92)
25,Politics_and_government (0.1) / Business_and_economics (0.06) / Education (0.04) ,United States Ambassador to the United Nations (1397)
26,STEM* (0.13) / Space (0.1) / Transportation (0.11) ,List of Soyuz missions (3638)
27,Military_and_warfare (0.06) / Media* (0.1) / Films (0.05) ,British Army (791)
28,Media* (0.09) / Business_and_economics (0.04) / Films (0.04) ,Surbahar (66)
29,Sports (0.17) / STEM* (0.06) / Transportation (0.05) ,Johnny Berry (296)
30,Media* (0.17) / Sports (0.05) / Television (0.05) ,List of Saturday Night Live episodes (seasons 1–30) (1399)
31,Sports (0.28) / Media* (0.02) / Television (0.01) ,Coaches Poll (4285)
32,Sports (0.24) / Society (0.08) / Architecture (0.02) ,Azerbaijan Premier League (75)
33,Sports (0.18) / Business_and_economics (0.05) / STEM* (0.03) ,2018–19 Washington Capitals season (591)
34,Sports (0.31) / Media* (0.02) / Society (0.04) ,Weightlifting at the 2018 Summer Youth Olympics (2883)
35,Sports (0.22) / STEM* (0.02) / Transportation (0.02) ,Jamie Whincup (1857)
36,Sports (0.32) / Architecture (0.02) / Visual_arts* (0.02) ,2012 New York Giants season (164)
37,Politics_and_government (0.13) / STEM* (0.09) / Biology (0.04) ,Armenia–Azerbaijan relations (492)
38,Sports (0.25) / Society (0.01) / Military_and_warfare (0.0) ,2018–19 TSG 1899 Hoffenheim season (1432)
39,Politics_and_government (0.14) / Military_and_warfare (0.04) / Education (0.05) ,Brighton hotel bombing (166)
40,Politics_and_government (0.25) / Military_and_warfare (0.04) / Media* (0.05) ,Democrats (Brazil) (975)
41,Media* (0.11) / Politics_and_government (0.08) / Music (0.06) ,Montserrat Caballé (103)
42,Sports (0.33) / Biography* (0.29) / North_America (0.29) ,Eduardo Rodríguez (left-handed pitcher) (461)
43,Philosophy_and_religion (0.07) / Sports (0.07) / STEM* (0.05) ,Spencer W. Kimball (164)
44,STEM* (0.16) / Politics_and_government (0.05) / Chemistry (0.05) ,Ricin (41)
