,Degree,Eccentricity,Id,Label,Probability,Qid,Topic,betweenesscentrality,closnesscentrality,harmonicclosnesscentrality,modularity_class
0,1.0,20.0,25459752.0,Erdem Moralıoğlu,0.9949496984481812,Q1349083,Culture.Biography.Biography*,0.0,0.118244,0.132025,43.0
1,1.0,20.0,25459752.0,Erdem Moralıoğlu,0.9697954058647156,Q1349083,Culture.Visual_arts.Fashion,0.0,0.118244,0.132025,43.0
2,1.0,20.0,25459752.0,Erdem Moralıoğlu,0.9362950325012207,Q1349083,Culture.Visual_arts.Visual_arts*,0.0,0.118244,0.132025,43.0
3,1.0,20.0,25459752.0,Erdem Moralıoğlu,0.22816647589206696,Q1349083,History_and_Society.Business_and_economics,0.0,0.118244,0.132025,43.0
4,1.0,20.0,25459752.0,Erdem Moralıoğlu,0.0,Q1349083,Geography.Regions.Americas.North_America,0.0,0.118244,0.132025,43.0
5,5.0,25.0,530766.0,Joseph E. Brennan,1.0000100135803223,Q550705,Culture.Biography.Biography*,59.004341,0.098021,0.109228,29.0
6,5.0,25.0,530766.0,Joseph E. Brennan,0.9841036200523376,Q550705,History_and_Society.Politics_and_government,59.004341,0.098021,0.109228,29.0
7,5.0,25.0,530766.0,Joseph E. Brennan,0.44560669565200806,Q550705,Geography.Regions.Americas.North_America,59.004341,0.098021,0.109228,29.0
8,7.0,26.0,50222892.0,Dayana Yastremska,0.9991804361343384,Q23888026,Culture.Biography.Biography*,8194.645562,0.077172,0.08607999999999999,37.0
9,7.0,26.0,50222892.0,Dayana Yastremska,0.9947898983955383,Q23888026,Culture.Biography.Women,8194.645562,0.077172,0.08607999999999999,37.0
10,7.0,26.0,50222892.0,Dayana Yastremska,0.9931061863899231,Q23888026,Culture.Sports,8194.645562,0.077172,0.08607999999999999,37.0
11,7.0,26.0,50222892.0,Dayana Yastremska,0.40093068981170654,Q23888026,Geography.Regions.Europe.Europe*,8194.645562,0.077172,0.08607999999999999,37.0
12,7.0,26.0,50222892.0,Dayana Yastremska,0.10667316818237305,Q23888026,Geography.Regions.Europe.Eastern_Europe,8194.645562,0.077172,0.08607999999999999,37.0
13,2.0,25.0,43963356.0,Tim Frazier,0.9990094900131226,Q18156606,Culture.Sports,4646.0,0.087274,0.093782,26.0
14,2.0,25.0,43963356.0,Tim Frazier,0.9972090721130371,Q18156606,Culture.Biography.Biography*,4646.0,0.087274,0.093782,26.0
15,2.0,25.0,43963356.0,Tim Frazier,0.0,Q18156606,Geography.Regions.Americas.North_America,4646.0,0.087274,0.093782,26.0
16,2.0,26.0,3323606.0,Ron Waterman,0.9991540908813477,Q4352535,Culture.Biography.Biography*,0.0,0.095093,0.111338,4.0
17,2.0,26.0,3323606.0,Ron Waterman,0.9952548146247864,Q4352535,Culture.Sports,0.0,0.095093,0.111338,4.0
18,2.0,26.0,3323606.0,Ron Waterman,0.8175845146179199,Q4352535,Culture.Media.Entertainment,0.0,0.095093,0.111338,4.0
19,2.0,26.0,3323606.0,Ron Waterman,0.6654205918312073,Q4352535,Culture.Media.Television,0.0,0.095093,0.111338,4.0
20,2.0,26.0,3323606.0,Ron Waterman,0.6150978803634644,Q4352535,Culture.Media.Media*,0.0,0.095093,0.111338,4.0
21,2.0,26.0,3323606.0,Ron Waterman,0.1713417043685913,Q4352535,Geography.Regions.Americas.North_America,0.0,0.095093,0.111338,4.0
22,5.0,25.0,25636426.0,Daria Gavrilova,0.9970290064811707,Q2446649,Culture.Biography.Biography*,1214.887564,0.083369,0.093411,37.0
23,5.0,25.0,25636426.0,Daria Gavrilova,0.994455099105835,Q2446649,Culture.Sports,1214.887564,0.083369,0.093411,37.0
24,5.0,25.0,25636426.0,Daria Gavrilova,0.9637899398803711,Q2446649,Culture.Biography.Women,1214.887564,0.083369,0.093411,37.0
25,5.0,25.0,25636426.0,Daria Gavrilova,0.2814156115055084,Q2446649,History_and_Society.Society,1214.887564,0.083369,0.093411,37.0
26,5.0,25.0,25636426.0,Daria Gavrilova,0.24809722805023193,Q2446649,Geography.Regions.Oceania,1214.887564,0.083369,0.093411,37.0
27,2.0,25.0,1911924.0,Mark Walters,1.0000100135803223,Q762449,Culture.Biography.Biography*,27846.0,0.077415,0.083054,17.0
28,2.0,25.0,1911924.0,Mark Walters,0.996837317943573,Q762449,Culture.Sports,27846.0,0.077415,0.083054,17.0
29,2.0,25.0,1911924.0,Mark Walters,0.09919838809967041,Q762449,Geography.Regions.Europe.Northern_Europe,27846.0,0.077415,0.083054,17.0
30,2.0,25.0,1911924.0,Mark Walters,0.05348043346405029,Q762449,Geography.Regions.Europe.Europe*,27846.0,0.077415,0.083054,17.0
31,6.0,26.0,40001136.0,Marcus Semien,0.9995657801628113,Q15946610,Culture.Biography.Biography*,0.0,0.097428,0.11035,8.0
32,6.0,26.0,40001136.0,Marcus Semien,0.9990402460098267,Q15946610,Culture.Sports,0.0,0.097428,0.11035,8.0
33,6.0,26.0,40001136.0,Marcus Semien,0.4941046109199524,Q15946610,Geography.Regions.Americas.North_America,0.0,0.097428,0.11035,8.0
34,2.0,24.0,4011682.0,Phil Keating,0.9908843636512756,Q16199757,Culture.Biography.Biography*,4646.0,0.090652,0.096091,5.0
35,2.0,24.0,4011682.0,Phil Keating,0.523430347442627,Q16199757,Culture.Media.Media*,4646.0,0.090652,0.096091,5.0
36,2.0,24.0,4011682.0,Phil Keating,0.14805719256401062,Q16199757,Culture.Sports,4646.0,0.090652,0.096091,5.0
37,2.0,24.0,4011682.0,Phil Keating,0.0,Q16199757,Geography.Regions.Americas.North_America,4646.0,0.090652,0.096091,5.0
38,3.0,23.0,264920.0,List of Wimbledon Open Era champions,1.0,Q2058656,Compilation.List_Disambig,7771.678594,0.099007,0.109605,37.0
39,3.0,23.0,264920.0,List of Wimbledon Open Era champions,0.9615437984466553,Q2058656,Culture.Sports,7771.678594,0.099007,0.109605,37.0
