Index,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
10827,19.0,19065069.0,Boris Johnson,0.9263137578964232,Q180589,History_and_Society.Politics_and_government,213849.19434714282,0.0,44.0,864.0,0.05092592592592592,Politics_and_government,History_and_Society,774.3983016014098,15701.194327704608,0.04932098064890461
18072,28.0,56380233.0,Wedding of Princess Eugenie and Jack Brooksbank,0.348655104637146,Q48815612,History_and_Society.Politics_and_government,1217465.4901719212,0.0,44.0,864.0,0.05092592592592592,Politics_and_government,History_and_Society,429.54308891296387,15701.194327704608,0.027357351291107782
670,14.0,158019.0,Kingdom of Great Britain,0.7606606483459473,Q161885,History_and_Society.History,292982.54910616,0.0,37.0,864.0,0.04282407407407408,History,History_and_Society,394.0222158432007,15701.194327704608,0.02509504739699656
1138,9.0,238573.0,Royal Marriages Act 1772,0.989681839942932,Q377769,History_and_Society.Politics_and_government,114665.77679075015,0.0,44.0,864.0,0.05092592592592592,Politics_and_government,History_and_Society,391.91400861740107,15701.194327704608,0.02496077689617996
17879,9.0,55785904.0,The Haunting of Hill House (TV series),0.9615437984466552,Q43379503,Culture.Media.Media*,83519.115064118,0.0,43.0,864.0,0.04976851851851852,Media*,Culture,372.11744999885553,15701.194327704608,0.023699945509384455
4519,19.0,1677192.0,"Catherine, Duchess of Cambridge",0.4843900501728058,Q10479,History_and_Society.History,414146.83185852045,0.0,37.0,864.0,0.04282407407407408,History,History_and_Society,340.52620527148247,15701.194327704608,0.021687917375216942
4778,6.0,1850820.0,Geoffrey Cox (British politician),0.9924327731132508,Q291303,History_and_Society.Politics_and_government,13935.5,0.0,44.0,864.0,0.05092592592592592,Politics_and_government,History_and_Society,262.00225210189825,15701.194327704608,0.016686772141887178
4972,6.0,1964153.0,The Haunting of Hill House,1.0000100135803225,Q3819311,Culture.Media.Media*,18581.166666666668,0.0,43.0,864.0,0.04976851851851852,Media*,Culture,258.0025835037232,15701.194327704608,0.016432035558497617
17865,16.0,55772605.0,Wedding of Prince Harry and Meghan Markle,1.0000100135803225,Q43890449,History_and_Society.Society,71509.99166659829,0.0,15.0,864.0,0.017361111111111112,Society,History_and_Society,240.0024032592774,15701.194327704608,0.015285614473021038
10521,5.0,17311614.0,James Cleverly,0.9830951094627379,Q6131460,History_and_Society.Politics_and_government,7.5,0.0,44.0,864.0,0.05092592592592592,Politics_and_government,History_and_Society,216.28092408180234,15701.194327704608,0.013774807162291897
1685,14.0,381923.0,"Katharine, Duchess of Kent",0.3998216390609741,Q236678,History_and_Society.History,124225.26236598539,0.0,37.0,864.0,0.04282407407407408,History,History_and_Society,207.1076090335846,15701.194327704608,0.013190564024046577
2026,6.0,435829.0,Princess Louise Margaret of Prussia,0.9173126816749572,Q235435,History_and_Society.History,1942.7260604047208,0.0,37.0,864.0,0.04282407407407408,History,History_and_Society,203.64341533184046,15701.194327704608,0.0129699315275981
10832,19.0,19065069.0,Boris Johnson,0.22816647589206696,Q180589,Culture.Media.Media*,213849.19434714282,0.0,43.0,864.0,0.04976851851851852,Media*,Culture,186.4120108038187,15701.194327704608,0.01187247332356727
1944,7.0,419720.0,Continental Navy,0.9073222279548644,Q2367216,History_and_Society.Military_and_warfare,279187.7371603718,0.0,28.0,864.0,0.032407407407407406,Military_and_warfare,History_and_Society,177.8351566791534,15701.194327704608,0.011326218437113728
18071,28.0,56380233.0,Wedding of Princess Eugenie and Jack Brooksbank,0.348655104637146,Q48815612,Culture.Sports,1217465.4901719212,0.0,18.0,864.0,0.020833333333333332,Sports,Culture,175.72217273712158,15701.194327704608,0.011191643709998639
18866,23.0,58743617.0,List of wedding guests of Princess Eugenie and Jack Brooksbank,0.2227101624011993,Q59773531,STEM.STEM*,216237.90799101949,0.0,34.0,864.0,0.03935185185185185,STEM*,STEM,174.15934699773786,15701.194327704608,0.011092108241118661
17868,16.0,55772605.0,Wedding of Prince Harry and Meghan Markle,0.24509501457214355,Q43890449,History_and_Society.Politics_and_government,71509.99166659829,0.0,44.0,864.0,0.05092592592592592,Politics_and_government,History_and_Society,172.54689025878906,15701.194327704608,0.010989411802536047
1663,5.0,378212.0,Obverse and reverse,0.8634016513824463,Q20725526,History_and_Society.History,1.5,0.0,37.0,864.0,0.04282407407407408,History,History_and_Society,159.72930550575256,15701.194327704608,0.010173067231192198
1127,10.0,233998.0,"Prince Arthur, Duke of Connaught and Strathearn",0.5698626637458801,Q160558,History_and_Society.Military_and_warfare,20192.73695180883,0.0,28.0,864.0,0.032407407407407406,Military_and_warfare,History_and_Society,159.56154584884644,15701.194327704608,0.010162382715517481
18852,6.0,58738513.0,Wedding dress of Princess Eugenie of York,0.9966334104537964,Q60748367,Culture.Visual_arts.Visual_arts*,3725.565274474524,0.0,25.0,864.0,0.028935185185185185,Visual_arts*,Culture,149.49501156806946,15701.194327704608,0.009521250960144282
1686,14.0,381923.0,"Katharine, Duchess of Kent",0.3415925204753876,Q236678,History_and_Society.Military_and_warfare,124225.26236598539,0.0,28.0,864.0,0.032407407407407406,Military_and_warfare,History_and_Society,133.90426802635193,15701.194327704608,0.008528285506923453
1527,3.0,351156.0,1922 Committee,0.9947898983955384,Q4561171,History_and_Society.Politics_and_government,0.5,0.0,44.0,864.0,0.05092592592592592,Politics_and_government,History_and_Society,131.3122665882111,15701.194327704608,0.008363202432092178
9374,3.0,11144406.0,They Met in Bombay,0.9926641583442688,Q2383610,Culture.Media.Media*,13934.0,0.0,43.0,864.0,0.04976851851851852,Media*,Culture,128.05367642641068,15701.194327704608,0.008155664706375946
18574,3.0,58481554.0,YG Future Strategy Office,0.9755869507789612,Q56764339,Culture.Media.Media*,23216.0,0.0,43.0,864.0,0.04976851851851852,Media*,Culture,125.85071665048599,15701.194327704608,0.008015359470357208
18867,23.0,58743617.0,List of wedding guests of Princess Eugenie and Jack Brooksbank,0.1259327530860901,Q59773531,Culture.Media.Media*,216237.90799101949,0.0,43.0,864.0,0.04976851851851852,Media*,Culture,124.5474928021431,15701.194327704608,0.007932357896009237
4294,5.0,1521671.0,Chevening,0.9820237755775452,Q1070927,Culture.Visual_arts.Visual_arts*,4754.763112931682,0.0,25.0,864.0,0.028935185185185185,Visual_arts*,Culture,122.75297194719315,15701.194327704608,0.007818065899012325
13095,5.0,31635942.0,Wedding dress of Lady Diana Spencer,0.9626831412315368,Q302371,Culture.Visual_arts.Visual_arts*,1823.6392965488653,0.0,25.0,864.0,0.028935185185185185,Visual_arts*,Culture,120.3353926539421,15701.194327704608,0.00766409166986816
18074,28.0,56380233.0,Wedding of Princess Eugenie and Jack Brooksbank,0.1520422399044037,Q48815612,History_and_Society.Military_and_warfare,1217465.4901719212,0.0,28.0,864.0,0.032407407407407406,Military_and_warfare,History_and_Society,119.20111608505249,15701.194327704608,0.007591850250189137
3974,3.0,1299648.0,Danse Macabre (book),0.9073222279548644,Q526884,Culture.Media.Media*,9291.0,0.0,43.0,864.0,0.04976851851851852,Media*,Culture,117.04456740617749,15701.194327704608,0.007454500910141177
