,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
0,4.0,477.0,Bengali,1.0,0.9802908897399902,Q9610,Geography.Regions.Asia.Asia*,13.0,0.0,95.0,14.0,175.0,13.913044000000001,8.631614,6.4280040000000005,2020.0,3.921163558959961,Geography,Asia*
1,3.0,898.0,Douglas MacArthur,0.0,0.9970290064811708,Q127417,Culture.Biography.Biography*,170.0,3141.0,44.0,2.0,235.0,12.608696,-13.697391,11.552361999999999,4412.0,2.9910870194435124,Culture,Biography*
2,29.0,1328.0,Genre musical,14.0,0.8080772161483765,Q188451,Culture.Media.Media*,49.0,62108.40346554072,164.0,2.0,0.0,46.52174,6.6348410000000015,-24.199846,3385.0,23.434239268302917,Culture,Media*
3,3.0,2335.0,Prix Nobel de physiologie ou médecine,2.0,0.8596737384796143,Q80061,History_and_Society.Society,88.0,1049.0,77.0,4.0,193.0,12.608696,5.0033970000000005,18.731189999999998,3175.0,2.5790212154388428,History_and_Society,Society
4,3.0,2346.0,Prix Nobel de chimie,2.0,0.8519628047943115,Q44585,History_and_Society.Society,88.0,3141.0,77.0,4.0,193.0,12.608696,-4.1967006,6.331164,3006.0,2.5558884143829346,History_and_Society,Society
5,25.0,2898.0,Musique soul,14.0,0.9987257122993468,Q131272,History_and_Society.Society,49.0,6517.3380952380985,164.0,2.0,0.0,41.304348,15.193444,-14.192039499999998,3560.0,24.96814280748367,History_and_Society,Society
6,1.0,3369.0,Zoologie,2.0,0.6723417043685913,Q431,STEM.Biology,88.0,0.0,77.0,4.0,193.0,10.0,22.274893,-4.2040809999999995,2784.0,0.6723417043685913,STEM,Biology
7,3.0,3370.0,The Legend of Zelda,3.0,1.0000100135803225,Q12393,Culture.Media.Video_games,0.0,0.0,129.0,9.0,152.0,12.608696,21.130032,2.883801,2433.0,3.0000300407409677,Culture,Video_games
8,3.0,3998.0,Éphéméride,0.0,0.14805719256401062,Q19355137,History_and_Society.Transportation,170.0,0.0,44.0,9.0,235.0,12.608696,-1.2382606000000005,-1.1215035,3449.0,0.44417157769203186,History_and_Society,Transportation
9,3.0,5069.0,Charles Maurras,4.0,0.9931061863899232,Q3048,Culture.Biography.Biography*,0.0,5231.0,163.0,6.0,60.0,12.608696,-12.361594,-15.474189,11594.0,2.9793185591697697,Culture,Biography*
10,6.0,5919.0,Daniel Gélin,5.0,0.9992778301239014,Q663553,Culture.Biography.Biography*,233.0,4772.217477420031,124.0,1.0,54.0,16.521739999999998,21.514854,13.518471,9288.0,5.995666980743408,Culture,Biography*
11,1.0,6431.0,Territoires du Nord-Ouest,4.0,0.7718535065650941,Q2007,Geography.Regions.Americas.North_America,0.0,0.0,163.0,4.0,60.0,10.0,20.387178,3.4520986000000002,2864.0,0.7718535065650941,Geography,North_America
12,10.0,6603.0,Raoul Salan,4.0,0.9958112239837646,Q241944,Culture.Biography.Biography*,0.0,77420.69503626286,163.0,6.0,60.0,21.73913,6.0027876,20.395351,3366.0,9.958112239837646,Culture,Biography*
13,2.0,7018.0,Kilomètre carré,2.0,0.9748311638832092,Q712226,STEM.STEM*,88.0,0.0,77.0,4.0,193.0,11.304348,-20.78906,-6.8378289999999975,3978.0,0.0,STEM,STEM*
14,7.0,7739.0,Minsk,2.0,0.8903042674064636,Q2280,Geography.Regions.Europe.Europe*,88.0,46203.099345523115,77.0,4.0,193.0,17.826088000000006,-24.496707999999998,18.870516000000002,2581.0,6.232129871845245,Geography,Europe*
15,2.0,7880.0,Liste des communes des Pyrénées-Atlantiques,19.0,0.4990100135803223,Q467049,Geography.Regions.Europe.Western_Europe,239.0,1049.0,97.0,5.0,185.0,11.304348,7.949071400000001,23.519403,1145.0,0.9980200271606446,Geography,Western_Europe
16,5.0,9366.0,Julien Dray,4.0,0.9777238368988036,Q3189473,Culture.Biography.Biography*,0.0,46831.166666666395,163.0,6.0,60.0,15.217392000000002,-17.430532,-0.24135499,2413.0,4.888619184494018,Culture,Biography*
17,3.0,9405.0,Asie centrale,1.0,0.8080772161483765,Q27275,Geography.Geographical,13.0,4177.499195153041,95.0,14.0,175.0,12.608696,-7.254536,-21.919945000000002,3079.0,2.4242316484451294,Geography,Geographical
18,3.0,9448.0,Saint-Siège,1.0,0.8840492963790894,Q159583,Culture.Philosophy_and_religion,13.0,2097.0,95.0,14.0,175.0,12.608696,12.576078,-12.503745,4209.0,2.652147889137268,Culture,Philosophy_and_religion
19,7.0,9462.0,États fédérés de Micronésie,1.0,0.9916942119598388,Q702,Geography.Geographical,13.0,9387.0,95.0,14.0,175.0,17.826088000000006,-20.039248,5.266994,5456.0,6.941859483718871,Geography,Geographical
20,7.0,9510.0,Henri Emmanuelli,4.0,1.0000100135803225,Q1347791,Culture.Biography.Biography*,0.0,65069.00000000001,163.0,6.0,60.0,17.826088000000006,2.2987587000000005,17.156845,3149.0,7.000070095062258,Culture,Biography*
21,5.0,9995.0,Jean Lassalle,19.0,0.9994029402732848,Q3173022,Culture.Biography.Biography*,239.0,10876.166666666546,97.0,5.0,185.0,15.217392000000002,-24.137556,-1.2429235,104521.0,4.997014701366424,Culture,Biography*
22,3.0,11114.0,Roland Giraud,13.0,0.998876452445984,Q3440076,Culture.Biography.Biography*,74.0,47.7,134.0,17.0,0.0,12.608696,-24.188107000000002,24.902046,3958.0,2.996629357337952,Culture,Biography*
23,2.0,12059.0,Étienne Chatiliez,11.0,0.998977780342102,Q289512,Culture.Biography.Biography*,183.0,2405.0333333333137,168.0,1.0,0.0,11.304348,-14.816096,-23.299812,2173.0,1.997955560684204,Culture,Biography*
24,4.0,12128.0,Robert Zemeckis,5.0,0.998977780342102,Q187364,Culture.Biography.Biography*,233.0,4188.0,124.0,1.0,54.0,13.913044000000001,-8.495558,0.0683077,16723.0,3.995911121368408,Culture,Biography*
25,2.0,12621.0,Sacramento,14.0,0.9697954058647156,Q18013,Geography.Geographical,49.0,2096.0000000000005,164.0,2.0,0.0,11.304348,-19.868937,18.007839999999995,2888.0,1.9395908117294312,Geography,Geographical
26,1.0,13884.0,Hervé Guibert,2.0,0.9966334104537964,Q84153,Culture.Biography.Biography*,88.0,0.0,77.0,4.0,193.0,10.0,19.48754,7.498862299999999,5991.0,0.9966334104537964,Culture,Biography*
27,10.0,14364.0,Ankara,2.0,0.8354935646057129,Q3640,Geography.Geographical,88.0,31553.72385966074,77.0,4.0,193.0,21.73913,-0.5953589,15.700451999999999,2878.0,8.354935646057129,Geography,Geographical
28,3.0,14749.0,Lundi,0.0,0.8903042674064636,Q105,STEM.STEM*,170.0,0.0,44.0,10.0,235.0,12.608696,-7.262132000000001,-10.944405,2361.0,0.0,STEM,STEM*
29,3.0,14751.0,Mardi,0.0,0.15611489117145538,Q127,Culture.Philosophy_and_religion,170.0,0.0,44.0,10.0,235.0,12.608696,14.500132999999998,-22.32806,1961.0,0.46834467351436615,Culture,Philosophy_and_religion
30,4.0,14752.0,Mercredi,0.0,0.11597072333097458,Q128,Culture.Philosophy_and_religion,170.0,3141.0,44.0,10.0,235.0,13.913044000000001,-4.688372599999999,-12.786719,1952.0,0.4638828933238983,Culture,Philosophy_and_religion
31,3.0,14755.0,Samedi,0.0,0.2814156115055084,Q131,Culture.Philosophy_and_religion,170.0,0.0,44.0,10.0,235.0,12.608696,8.374088,-18.258347,2338.0,0.8442468345165253,Culture,Philosophy_and_religion
32,11.0,16915.0,Alain Delon,5.0,0.997120440006256,Q106529,Culture.Biography.Biography*,233.0,91539.36232171553,124.0,1.0,54.0,23.043478,5.468172,-7.515445,41900.0,10.968324840068815,Culture,Biography*
33,1.0,17107.0,Dominique Schnapper,4.0,0.9965265989303588,Q445984,Culture.Biography.Biography*,0.0,0.0,163.0,6.0,60.0,10.0,-6.0788198,-18.257285999999997,1453.0,0.9965265989303588,Culture,Biography*
34,1.0,18564.0,Liste des présidents du Pérou,4.0,0.4714247455596924,Q270818,Geography.Regions.Americas.South_America,0.0,0.0,163.0,6.0,60.0,10.0,18.925291,8.629934,1323.0,0.4714247455596924,Geography,South_America
35,5.0,19071.0,Danois,0.0,0.9886782765388488,Q9035,Culture.Linguistics,170.0,20703.73809523809,44.0,10.0,235.0,15.217392000000002,13.404182999999998,14.208673999999998,2629.0,4.9433913826942435,Culture,Linguistics
36,9.0,19385.0,Dominique Nicolas,20.0,0.991162657737732,Q3035362,Culture.Biography.Biography*,135.0,1049.0,134.0,12.0,0.0,20.434784,9.435193,-17.819736,4652.0,8.92046391963959,Culture,Biography*
37,5.0,19517.0,Raj britannique,1.0,0.7879412174224854,Q129286,Geography.Regions.Asia.Asia*,13.0,20857.20254179028,95.0,14.0,175.0,15.217392000000002,9.070458,0.6046037,3468.0,3.9397060871124268,Geography,Asia*
38,2.0,20536.0,Fête nationale,2.0,0.5312193632125854,Q57598,Culture.Philosophy_and_religion,88.0,2701.811525087903,77.0,9.0,193.0,11.304348,-16.261553,22.821177,1702.0,1.062438726425171,Culture,Philosophy_and_religion
