,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
800,"Стам, Яп",800,2,9,5.876623376623376,Q216917
1182,"Стриженов, Глеб Александрович",1182,2,0,3200.0,Q4443978
3202,Можайск,3202,2,0,1444.5567094498817,Q159139
3532,Клингонский язык,3532,1,15,0.0,Q10134
3546,Квенья,3546,15,15,1602.255078707925,Q56383
9055,Антропософия,9055,1,4,0.0,Q184719
9158,Алсу,9158,11,7,18062.997652265545,Q270951
9618,Татьянин день,9618,2,18,6392.0,Q2997205
9782,Ё,9782,2,13,4797.0,Q30955
10328,История гимнов России и СССР,10328,1,0,0.0,Q2177093
10405,Викторина,10405,2,21,4797.0,Q274079
11180,Том Бомбадил,11180,32,15,243.93959940190837,Q280608
11681,Александрийская православная церковь,11681,14,4,4225.770430991042,Q251268
12343,Московская область,12343,29,0,90300.91637122595,Q1697
12556,Торин Дубощит,12556,36,15,6867.282264886329,Q46285
12816,Император Тайсё,12816,3,13,3201.0,Q157052
14880,"Френкель, Ян Абрамович",14880,4,12,1104.9153549530563,Q771374
15439,Челябинская область,15439,8,0,5651.347323192235,Q5714
17360,"Соломина, Мария Антониновна",17360,1,13,0.0,Q4428290
18412,Микронезия,18412,1,20,0.0,Q3359409
21786,"Ищите женщину (фильм, 1982)",21786,5,13,14941.786744000958,Q4205750
22142,Епархии Русской православной церкви,22142,7,0,9590.0,Q3725311
22820,Магнитогорск,22820,6,0,8546.662755864203,Q95449
23499,Арда,23499,36,15,522.7897885899766,Q210877
23508,Эру Илуватар,23508,34,15,252.54944495413048,Q208363
23742,Шеффилд,23742,4,9,591.7315102424187,Q42448
26805,Обрезание Господне,26805,1,18,0.0,Q13510036
28933,Элладская православная церковь,28933,14,4,3565.272523695971,Q59778
33935,Вертеп (театр),33935,1,22,0.0,Q867960
40475,Пимен (патриарх Московский),40475,9,4,1013.0222697581064,Q547687
40680,Атолл,40680,3,20,3201.0,Q42523
41603,Загреб,41603,11,10,422069.1883496526,Q1435
42177,Театры Москвы,42177,3,13,6863.017497219822,Q4453582
42431,Малый театр,42431,12,13,32248.865183416678,Q1369676
44080,"Боже, Царя храни!",44080,2,0,0.0,Q478470
44387,Восточнокатолические церкви,44387,2,4,0.0,Q49376
44948,"Грабарь, Игорь Эммануилович",44948,3,13,4799.0,Q1030307
47052,Михайловский Златоверхий монастырь,47052,4,4,8332.768314301784,Q1142386
51624,Саввино-Сторожевский монастырь,51624,2,4,1601.0,Q3656882
52994,"Ульянова, Инна Ивановна",52994,3,0,750.0504308074186,Q4475076
53786,Олимпик Марсель,53786,4,9,594.3869475296328,Q132885
53879,Московский Художественный академический театр имени М. Горького,53879,4,13,36686.512969849886,Q4304019
54469,"Ливанов, Борис Николаевич",54469,2,0,4797.0,Q1959505
55183,"Бестужев-Рюмин, Алексей Петрович",55183,2,7,97.31974781911232,Q632874
55251,"Тухманов, Давид Фёдорович",55251,8,7,5072.079364997264,Q925653
55465,Месса,55465,5,22,6398.0,Q132612
58856,"Бардин, Гарри Яковлевич",58856,2,7,1601.0,Q1959564
61344,Иосиф Флавий,61344,1,22,0.0,Q134461
63484,Антиохийская православная церковь,63484,13,4,9830.860611685637,Q323301
63485,Болгарская православная церковь,63485,13,4,2916.538916023065,Q242758
63489,Иерусалимская православная церковь,63489,18,4,41197.14214504022,Q632602
63493,Польская православная церковь,63493,15,4,4171.412359447767,Q463406
63494,Румынская православная церковь,63494,14,4,4461.011506082222,Q181901
63496,Московский_патриархат,63496,9,4,21036.8457824348,-1
63497,Сербская православная церковь,63497,16,4,41365.540586046875,Q188814
63942,"Смолкин, Борис Григорьевич",63942,2,12,3200.0,Q4425048
65514,"Ладынина, Марина Алексеевна",65514,4,7,9503.343197961105,Q449770
66744,Иван Кольцо,66744,3,12,800.0,Q4195613
69045,"Малявина, Валентина Александровна",69045,4,13,9783.958578455853,Q4279668
72712,Хоккей с шайбой на Олимпийских играх,72712,5,6,12432.109160648137,Q114581
72922,"Аджани, Изабель",72922,4,3,3201.0,Q106383
73068,Айнур,73068,34,15,252.54944495413048,Q78498
73720,"Фирсов, Анатолий Васильевич",73720,4,6,0.0,Q488039
74860,Эрдэнэт,74860,1,1,0.0,Q230628
76824,"Наджибулла, Мохаммад",76824,1,4,0.0,Q207728
76827,"Кармаль, Бабрак",76827,1,4,0.0,Q63827
79861,Готфрид Бульонский,79861,2,22,0.0,Q76721
80217,"Новикова, Клара Борисовна",80217,4,7,6081.636954923958,Q4322725
82955,"Аленичев, Дмитрий Анатольевич",82955,1,9,0.0,Q526233
83122,Старик Хоттабыч,83122,2,7,1405.2285978250432,Q4439870
83964,"Собака на сене (фильм, 1977)",83964,4,12,11842.19254344136,Q4425722
84069,"Айзеншпис, Юрий Шмильевич",84069,1,7,0.0,Q4058825
84482,"Габриадзе, Леван Ревазович",84482,3,14,11165.0,Q4130936
85468,Варвара,85468,1,4,0.0,Q61053073
85519,Муз-ТВ,85519,17,7,12242.340283722002,Q471265
86995,Иоанн Дамаскин,86995,3,4,7986.0,Q51884
88180,Закавказская Социалистическая Федеративная Советская Республика,88180,2,4,34234.6280244802,Q545205
90256,Eruption,90256,6,7,1523.6045330569716,Q991035
90656,Boney M.,90656,12,7,4943.95334889963,Q156298
90893,Южно-Китайское море,90893,1,20,0.0,Q37660
90910,Кашлык,90910,2,12,0.0,Q1815305
90916,Кучум,90916,3,12,800.0,Q138237
94057,"Ерофеев, Виктор Владимирович",94057,1,21,0.0,Q472356
94650,"Назарова, Маргарита Петровна",94650,1,7,0.0,Q4312203
94833,"Эссен, Николай Оттович фон",94833,1,25,0.0,Q46647
95126,Гардемарин,95126,1,7,0.0,Q330399
97074,Пиротехника,97074,5,20,6356.4253445900495,Q474100
99334,Кемь (город),99334,2,7,0.0,Q145717
99932,"Тихонов, Виктор Васильевич",99932,5,6,770.4523617330715,Q392127
100119,"Петерс, Яков Христофорович",100119,3,12,1112.3532027277367,Q1066936
102366,"Шпионские игры (фильм, 2001)",102366,2,3,1601.0,Q1049139
102767,"Мальцев, Александр Николаевич",102767,5,6,1225.7705550757144,Q582248
103019,"Дасаев, Ринат Файзрахманович",103019,1,9,0.0,Q294444
104793,Щедрый вечер,104793,3,20,1.0,Q1961932
105037,Сантьяго,105037,2,9,4797.0,Q2887
105258,Диптих (христианство),105258,11,4,143.18637926916713,Q4162070
106280,"Зуева, Анастасия Платоновна",106280,2,14,3200.0,Q487114
108114,"Зайцева, Ольга Алексеевна",108114,8,2,33711.920988551654,Q235058
109993,"Хороший, плохой, злой",109993,3,21,1.5,Q41483
110328,"Блеф (фильм, 1976)",110328,4,5,3043.4015343785964,Q489615
110812,"Охотники за привидениями (фильм, 1984)",110812,3,27,7985.0,Q108745
110819,Как украсть миллион,110819,1,10,0.0,Q658847
111324,Дрожь земли,111324,1,3,0.0,Q835650
112533,Золото Маккенны,112533,1,7,0.0,Q909910
112963,"Граф Монте-Кристо (фильм, 1954)",112963,2,12,4307.555177467239,Q1961869
113465,Челюсти 2,113465,4,10,6397.0,Q1199834
114127,Пришельцы (фильм),114127,2,13,9149.002423174748,Q838013
114295,Челюсти 3,114295,2,10,1601.0,Q1199837
115164,"Младенец на прогулке, или Ползком от гангстеров",115164,4,23,0.0,Q637884
115315,Звёздные врата (фильм),115315,1,15,0.0,Q105801
