Index,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
4047,10.0,4710854.0,Men in Black 3,11.0,0.9966334104537964,Q327713,Culture.Media.Media*,13.0,3661.9645295093337,95.0,0.0,175.0,20.384617,18.356537,-11.146811,34.0,243.0,0.13991769547325103,Media*,Culture,338.85535955429077,3583.1106317937374,0.09457016385359464
2458,6.0,882112.0,Les Valeurs de la famille Addams,11.0,0.99745911359787,Q204725,Culture.Media.Media*,13.0,3191.2156909528962,95.0,0.0,175.0,15.769232,-2.5587182,1.3238921,34.0,243.0,0.13991769547325103,Media*,Culture,203.4816591739655,3583.1106317937374,0.056789108705834396
1232,6.0,268902.0,Men in Black (univers de fiction),11.0,0.9626831412315368,Q6816260,Culture.Media.Media*,13.0,662.2042805019672,95.0,0.0,175.0,15.769232,-17.605244,-3.038025,34.0,243.0,0.13991769547325103,Media*,Culture,196.38736081123346,3583.1106317937374,0.054809181460556855
4046,10.0,4710854.0,Men in Black 3,11.0,0.9972090721130372,Q327713,Culture.Media.Films,13.0,3661.9645295093337,95.0,0.0,175.0,20.384617,18.356537,-11.146811,14.0,243.0,0.05761316872427984,Films,Culture,139.60927009582522,3583.1106317937374,0.03896314806945706
4709,4.0,7462852.0,Mr Selfridge,11.0,0.9755869507789612,Q4127467,Culture.Media.Media*,13.0,1651.0,95.0,0.0,175.0,13.461538,-5.574797599999999,8.121538000000001,34.0,243.0,0.13991769547325103,Media*,Culture,132.67982530593872,3583.1106317937374,0.0370292293318105
1317,4.0,291926.0,"New York, section criminelle",11.0,0.9566442370414734,Q1055728,Culture.Media.Media*,13.0,8648.775178971866,95.0,0.0,175.0,13.461538,-11.550064,12.175856,34.0,243.0,0.13991769547325103,Media*,Culture,130.10361623764038,3583.1106317937374,0.03631024258173947
3115,4.0,1585567.0,Timothy McGee,11.0,0.94500470161438,Q838560,Culture.Media.Media*,13.0,0.0,95.0,0.0,175.0,13.461538,20.991474,-14.154751,34.0,243.0,0.13991769547325103,Media*,Culture,128.5206394195557,3583.1106317937374,0.03586845415242373
3081,4.0,1493868.0,Abigail Sciuto,11.0,0.9284188151359558,Q480244,Culture.Media.Media*,13.0,0.0,95.0,0.0,175.0,13.461538,-13.592637,19.283749,34.0,243.0,0.13991769547325103,Media*,Culture,126.26495885848999,3583.1106317937374,0.0352389227779106
4279,3.0,5437797.0,Jack le chasseur de géants,14.0,0.9946250915527344,Q27513,Culture.Media.Media*,0.0,7685.0,163.0,0.0,60.0,12.307693,18.416058,23.679693,34.0,243.0,0.13991769547325103,Media*,Culture,101.4517593383789,3583.1106317937374,0.028313878571924318
1481,3.0,344512.0,Les Désastreuses Aventures des orphelins Baudelaire (film),11.0,0.993317186832428,Q116905,Culture.Media.Media*,13.0,3262.7732941999434,95.0,0.0,175.0,12.307693,14.588220000000002,20.59668,34.0,243.0,0.13991769547325103,Media*,Culture,101.31835305690765,3583.1106317937374,0.02827664659803897
1236,6.0,268902.0,Men in Black (univers de fiction),11.0,0.9073222279548644,Q6816260,Culture.Literature,13.0,662.2042805019672,95.0,0.0,175.0,15.769232,-17.605244,-3.038025,16.0,243.0,0.06584362139917696,Literature,Culture,87.10293388366698,3583.1106317937374,0.024309306307983704
