Index,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
2993,106.0,1163075.0,Circonscription électorale du Québec,19.0,0.974052667617798,Q2973931,History_and_Society.Politics_and_government,183.0,123602.0516098408,168.0,0.0,0.0,100.0,-16.767054,22.772535,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,9705.46078014374,692899.4827709123,0.01400702558086997
3937,105.0,3405068.0,Élections générales québécoises de 2008,19.0,0.9362950325012208,Q3586429,History_and_Society.Politics_and_government,183.0,3141.8198121354358,168.0,0.0,0.0,99.14286,-2.6472642000000004,17.702377,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,9241.23197078705,692899.4827709123,0.013337045560824011
2392,99.0,720292.0,Élections générales québécoises de 2003,19.0,0.9850529432296752,Q3586426,History_and_Society.Politics_and_government,183.0,1244.0825501700872,168.0,0.0,0.0,94.0,-8.286238,24.462616,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,9166.902689695356,692899.4827709123,0.013229772741403726
456,98.0,66558.0,Liste des élections générales québécoises,19.0,0.9763205647468568,Q3586951,History_and_Society.Politics_and_government,183.0,8404.949944791932,168.0,0.0,0.0,93.14286,-7.5324339999999985,2.670474,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8993.865042448046,692899.4827709123,0.012980042944297611
2388,95.0,720264.0,Élections générales québécoises de 1994,19.0,0.9763205647468568,Q3586424,History_and_Society.Politics_and_government,183.0,2401.336346469436,168.0,0.0,0.0,90.57143,-2.697537,-16.095377,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8718.542643189432,692899.4827709123,0.012582694690900747
1527,92.0,301386.0,Taillon (circonscription provinciale),19.0,0.9990700483322144,Q3514032,History_and_Society.Politics_and_government,183.0,126.42806955174328,168.0,0.0,0.0,88.0,-2.4072719,-1.5336995,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8639.95777797699,692899.4827709123,0.01246928016662057
2390,94.0,720273.0,Élections générales québécoises de 1998,19.0,0.9763205647468568,Q3586425,History_and_Society.Politics_and_government,183.0,977.3894873111952,168.0,0.0,0.0,89.71429,12.300786,-7.5932207,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8626.768510103228,692899.4827709123,0.012450245273101792
3644,92.0,2778769.0,Jean-Talon (circonscription provinciale),19.0,0.9967369437217712,Q3170034,History_and_Society.Politics_and_government,183.0,238.4282455219439,168.0,0.0,0.0,88.0,18.61989,21.383957,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8619.781089305878,692899.4827709123,0.012440160952112827
3488,91.0,2036281.0,Montmorency (circonscription provinciale),19.0,1.0000100135803225,Q3095559,History_and_Society.Politics_and_government,183.0,148.32152070133898,168.0,0.0,0.0,87.14286,14.034353,-2.4665115,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8554.085656166078,692899.4827709123,0.01234534859509232
3632,91.0,2773845.0,Louis-Hébert (circonscription provinciale),19.0,1.0000100135803225,Q3260600,History_and_Society.Politics_and_government,183.0,1267.4495918183566,168.0,0.0,0.0,87.14286,17.45891,21.353733,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8554.085656166078,692899.4827709123,0.01234534859509232
3258,90.0,1447852.0,Bourget (circonscription provinciale),19.0,0.9990700483322144,Q2922329,History_and_Society.Politics_and_government,183.0,169.54551818068995,168.0,0.0,0.0,86.28571,3.990991,18.883207,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8452.132608890533,692899.4827709123,0.012198208858650559
3660,90.0,2782882.0,Gatineau (circonscription provinciale),19.0,0.9990700483322144,Q3099274,History_and_Society.Politics_and_government,183.0,86.52122023613741,168.0,0.0,0.0,86.28571,-17.101364,-2.2309315,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8452.132608890533,692899.4827709123,0.012198208858650559
3137,89.0,1334607.0,Verchères (circonscription provinciale),19.0,0.9990700483322144,Q3555763,History_and_Society.Politics_and_government,183.0,86.80284604725294,168.0,0.0,0.0,85.42857,2.072022,13.185554500000002,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8358.220024347305,692899.4827709123,0.012062673204665553
3628,89.0,2769619.0,Chambly (circonscription provinciale),19.0,0.9990700483322144,Q2948099,History_and_Society.Politics_and_government,183.0,194.98732613137923,168.0,0.0,0.0,85.42857,8.682246000000001,-4.5638833,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8358.220024347305,692899.4827709123,0.012062673204665553
3634,89.0,2773847.0,Fabre (circonscription provinciale),19.0,0.9990700483322144,Q3063783,History_and_Society.Politics_and_government,183.0,294.39495160672817,168.0,0.0,0.0,85.42857,-14.933022,-12.441314,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8358.220024347305,692899.4827709123,0.012062673204665553
3638,89.0,2773968.0,LaFontaine (circonscription provinciale),19.0,0.9990700483322144,Q3206243,History_and_Society.Politics_and_government,183.0,59.483899493082866,168.0,0.0,0.0,85.42857,19.29058,-8.890824,94.0,282.0,0.3333333333333333,Politics_and_government,History_and_Society,8358.220024347305,692899.4827709123,0.012062673204665553
