Index,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
1383,44.0,445799.0,Label discographique,10.0,0.9149109721183776,Q18127,Culture.Media.Media*,233.0,3712.014872769757,124.0,0.0,54.0,50.736843,24.326641,24.745983,74.0,387.0,0.19121447028423771,Media*,Culture,2978.9501252174373,92452.78665936738,0.03222131244343199
10,41.0,1328.0,Genre musical,10.0,0.8080772161483765,Q188451,Culture.Media.Media*,233.0,1114.5467423983087,124.0,0.0,54.0,47.894737,-5.8847466,-0.91086686,74.0,387.0,0.19121447028423771,Media*,Culture,2451.706273794174,92452.78665936738,0.026518468100125845
2393,35.0,3210472.0,MTV (États-Unis),10.0,0.9219318628311156,Q43359,Culture.Media.Media*,233.0,3922.935623699919,124.0,0.0,54.0,42.210526,-13.767618,14.668501999999998,74.0,387.0,0.19121447028423771,Media*,Culture,2387.8035247325893,92452.78665936738,0.025827274774639315
331,43.0,50277.0,Grammy Awards,10.0,0.7371681928634644,Q41254,Culture.Media.Media*,233.0,7461.300495105006,124.0,0.0,54.0,49.789474,13.341164,20.947443,74.0,387.0,0.19121447028423771,Media*,Culture,2345.6691896915436,92452.78665936738,0.025371535834110833
2929,31.0,7268161.0,Exhale (Shoop Shoop),10.0,0.989681839942932,Q2215554,Culture.Media.Media*,233.0,8732.430910867843,124.0,0.0,54.0,38.42105,-8.704491,14.101059,74.0,387.0,0.19121447028423771,Media*,Culture,2270.330140829086,92452.78665936738,0.024556643697435314
1382,44.0,445799.0,Label discographique,10.0,0.9724247455596924,Q18127,Culture.Media.Music,233.0,3712.014872769757,124.0,0.0,54.0,50.736843,24.326641,24.745983,53.0,387.0,0.13695090439276486,Music,Culture,2267.6945066452026,92452.78665936738,0.024528135804064898
25,29.0,2898.0,Musique soul,10.0,0.8774868249893188,Q131272,Culture.Media.Media*,233.0,143.47316785786782,124.0,0.0,54.0,36.526314,8.653236,-9.598515,74.0,387.0,0.19121447028423771,Media*,Culture,1883.0867264270782,92452.78665936738,0.020368090508349024
2427,34.0,3470166.0,Sony Music Entertainment,10.0,0.7186043858528137,Q56760250,Culture.Media.Media*,233.0,2910.876256780102,124.0,0.0,54.0,41.263157,8.604361,-7.29242,74.0,387.0,0.19121447028423771,Media*,Culture,1808.0086348056793,92452.78665936738,0.019556020971732285
2736,30.0,5173324.0,Ö3 Austria Top 40,10.0,0.7981967926025391,Q293628,Culture.Media.Media*,233.0,412.1823342652917,124.0,0.0,54.0,37.473686,17.393282,1.9394331,74.0,387.0,0.19121447028423771,Media*,Culture,1771.9968795776367,92452.78665936738,0.019166505884850974
330,43.0,50277.0,Grammy Awards,10.0,0.7371681928634644,Q41254,Culture.Media.Music,233.0,7461.300495105006,124.0,0.0,54.0,49.789474,13.341164,20.947443,53.0,387.0,0.13695090439276486,Music,Culture,1680.0063115358353,92452.78665936738,0.018171505394701002
2273,27.0,2710521.0,American Music Awards,10.0,0.8175845146179199,Q207601,Culture.Media.Media*,233.0,274.46001605826143,124.0,0.0,54.0,34.631577,17.065947,-17.65364,74.0,387.0,0.19121447028423771,Media*,Culture,1633.533860206604,92452.78665936738,0.017668843949779345
2928,31.0,7268161.0,Exhale (Shoop Shoop),10.0,0.993317186832428,Q2215554,Culture.Media.Music,233.0,8732.430910867843,124.0,0.0,54.0,38.42105,-8.704491,14.101059,53.0,387.0,0.13695090439276486,Music,Culture,1632.0201379656792,92452.78665936738,0.017652471028036035
1904,22.0,1181760.0,I Will Always Love You,10.0,0.998876452445984,Q666856,Culture.Media.Media*,233.0,3694.344666252838,124.0,0.0,54.0,29.894737,-23.555538,-11.619917999999998,74.0,387.0,0.19121447028423771,Media*,Culture,1626.170864582062,92452.78665936738,0.017589203347363865
2288,25.0,2747372.0,Classement musical,10.0,0.8634016513824463,Q373899,Culture.Media.Media*,233.0,180.794309076702,124.0,0.0,54.0,32.73684,18.594294,-0.64816755,74.0,387.0,0.19121447028423771,Media*,Culture,1597.2930550575256,92452.78665936738,0.017276851382993837
1313,34.0,385183.0,Auteur-compositeur,10.0,0.585111141204834,Q753110,Culture.Media.Media*,233.0,3255.178009216668,124.0,0.0,54.0,41.263157,-18.143585,0.19889967,74.0,387.0,0.19121447028423771,Media*,Culture,1472.1396312713623,92452.78665936738,0.01592315044753931
2748,20.0,5215449.0,How Will I Know,10.0,0.9859463572502136,Q656014,Culture.Media.Media*,233.0,2856.187674727594,124.0,0.0,54.0,28.0,-15.03638,9.234843,74.0,387.0,0.19121447028423771,Media*,Culture,1459.2006087303162,92452.78665936738,0.015783197688854833
23,29.0,2898.0,Musique soul,10.0,0.94500470161438,Q131272,Culture.Media.Music,233.0,143.47316785786782,124.0,0.0,54.0,36.526314,8.653236,-9.598515,53.0,387.0,0.13695090439276486,Music,Culture,1452.472226381302,92452.78665936738,0.01571042127407997
1296,18.0,379052.0,We Belong Together,10.0,0.998977780342102,Q129158,Culture.Media.Media*,233.0,337.17430921690317,124.0,0.0,54.0,26.105263,13.598299,-5.1944065,74.0,387.0,0.19121447028423771,Media*,Culture,1330.63840341568,92452.78665936738,0.014392626241957182
2300,18.0,2776921.0,Beat It,10.0,0.99567848443985,Q210218,Culture.Media.Media*,233.0,3698.7371283460607,124.0,0.0,54.0,26.105263,-21.631659,-9.304523,74.0,387.0,0.19121447028423771,Media*,Culture,1326.2437412738802,92452.78665936738,0.014345092118859397
2732,17.0,5151339.0,Fantasy (chanson de Mariah Carey),10.0,0.9958112239837646,Q996033,Culture.Media.Media*,233.0,2250.6365897771325,124.0,0.0,54.0,25.157894,-6.109635,18.048292,74.0,387.0,0.19121447028423771,Media*,Culture,1252.730519771576,92452.78665936738,0.013549948736398075
1576,24.0,630985.0,MTV Europe Music Awards,10.0,0.6926519870758057,Q207599,Culture.Media.Media*,233.0,807.0527766164502,124.0,0.0,54.0,31.789473,-14.625108,9.01204,74.0,387.0,0.19121447028423771,Media*,Culture,1230.1499290466309,92452.78665936738,0.013305709578868504
2318,16.0,2837653.0,One Sweet Day,10.0,0.9972950220108032,Q913565,Culture.Media.Media*,233.0,2389.54198811162,124.0,0.0,54.0,24.210526,11.39041,-11.446422,74.0,387.0,0.19121447028423771,Media*,Culture,1180.797306060791,92452.78665936738,0.012771895242177124
2616,16.0,4281563.0,Tik Tok,10.0,0.9926641583442688,Q164100,Culture.Media.Media*,233.0,2211.36544905082,124.0,0.0,54.0,24.210526,9.043477,-3.437311,74.0,387.0,0.19121447028423771,Media*,Culture,1175.3143634796143,92452.78665936738,0.012712589916947955
1903,22.0,1181760.0,I Will Always Love You,10.0,1.0000100135803225,Q666856,Culture.Media.Music,233.0,3694.344666252838,124.0,0.0,54.0,29.894737,-23.555538,-11.619917999999998,53.0,387.0,0.13695090439276486,Music,Culture,1166.011675834656,92452.78665936738,0.012611968962392707
2287,25.0,2747372.0,Classement musical,10.0,0.8706072568893433,Q373899,Culture.Media.Music,233.0,180.794309076702,124.0,0.0,54.0,32.73684,18.594294,-0.64816755,53.0,387.0,0.13695090439276486,Music,Culture,1153.5546153783798,92452.78665936738,0.012477229265446926
2856,27.0,6132626.0,Productores de Música de España,10.0,0.5621865391731262,Q1756425,Culture.Media.Media*,233.0,261.9366108084983,124.0,0.0,54.0,34.631577,12.577036,-4.9910655,74.0,387.0,0.19121447028423771,Media*,Culture,1123.2487052679062,92452.78665936738,0.012149430491548064
1444,17.0,502198.0,Billboard,10.0,0.8840492963790894,Q485240,Culture.Media.Media*,233.0,1159.9004612105748,124.0,0.0,54.0,25.157894,-14.6668215,2.984016,74.0,387.0,0.19121447028423771,Media*,Culture,1112.1340148448944,92452.78665936738,0.012029210314043165
1312,34.0,385183.0,Auteur-compositeur,10.0,0.59267657995224,Q753110,Culture.Media.Music,233.0,3255.178009216668,124.0,0.0,54.0,41.263157,-18.143585,0.19889967,53.0,387.0,0.13695090439276486,Music,Culture,1068.0031970739365,92452.78665936738,0.01155187675422789
2747,20.0,5215449.0,How Will I Know,10.0,0.99219411611557,Q656014,Culture.Media.Music,233.0,2856.187674727594,124.0,0.0,54.0,28.0,-15.03638,9.234843,53.0,387.0,0.13695090439276486,Music,Culture,1051.725763082504,92452.78665936738,0.011375814630201224
1023,24.0,235574.0,Musique folk,10.0,0.8267217874526978,Q43343,Culture.Media.Music,233.0,6914.562390294733,124.0,0.0,54.0,31.789473,-10.886165,-2.437339,53.0,387.0,0.13695090439276486,Music,Culture,1051.5901136398315,92452.78665936738,0.011374347400844772
306,14.0,46542.0,Columbia Broadcasting System,4.0,0.9994742274284364,Q43380,Culture.Media.Media*,0.0,5042.154777371962,129.0,0.0,152.0,22.315788,17.788137,-23.344692,74.0,387.0,0.19121447028423771,Media*,Culture,1035.4552996158602,92452.78665936738,0.011199827901682259
2158,14.0,1889882.0,Like a Prayer (chanson de Madonna),10.0,0.9981998205184937,Q1420677,Culture.Media.Media*,233.0,2161.591650068318,124.0,0.0,54.0,22.315788,11.749995,23.082077,74.0,387.0,0.19121447028423771,Media*,Culture,1034.1350140571594,92452.78665936738,0.011185547255241983
1024,24.0,235574.0,Musique folk,10.0,0.5698626637458801,Q43343,Culture.Media.Media*,233.0,6914.562390294733,124.0,0.0,54.0,31.789473,-10.886165,-2.437339,74.0,387.0,0.19121447028423771,Media*,Culture,1012.0760908126831,92452.78665936738,0.010946950626178219
1281,20.0,361031.0,Dubstep,10.0,0.6584275364875793,Q20474,Culture.Media.Media*,233.0,0.045454545454545456,124.0,0.0,54.0,28.0,3.4221761,-22.39995,74.0,387.0,0.19121447028423771,Media*,Culture,974.4727540016174,92452.78665936738,0.010540220465089498
2029,13.0,1508546.0,Umbrella,10.0,0.9979592561721802,Q155447,Culture.Media.Media*,233.0,2196.5112098657914,124.0,0.0,54.0,21.36842,-19.639019,15.166342000000002,74.0,387.0,0.19121447028423771,Media*,Culture,960.0368044376373,92452.78665936738,0.010384076447309182
1295,18.0,379052.0,We Belong Together,10.0,0.9992545843124391,Q129158,Culture.Media.Music,233.0,337.17430921690317,124.0,0.0,54.0,26.105263,13.598299,-5.1944065,53.0,387.0,0.13695090439276486,Music,Culture,953.2888734340669,92452.78665936738,0.010311088587803849
2299,18.0,2776921.0,Beat It,10.0,0.9992306232452391,Q210218,Culture.Media.Music,233.0,3698.7371283460607,124.0,0.0,54.0,26.105263,-21.631659,-9.304523,53.0,387.0,0.13695090439276486,Music,Culture,953.2660145759581,92452.78665936738,0.010310841338814016
2266,32.0,2679312.0,Irish Recorded Music Association,10.0,0.3998216390609741,Q1156834,Culture.Media.Media*,233.0,515.2552672707459,124.0,0.0,54.0,39.368423,6.5891595,-11.887736,74.0,387.0,0.19121447028423771,Media*,Culture,946.7776412963867,92452.78665936738,0.010240660941726829
712,23.0,126673.0,Ingénieur du son,10.0,0.538993239402771,Q128124,Culture.Media.Media*,233.0,110.05277661645172,124.0,0.0,54.0,30.842106,19.751453,15.193485,74.0,387.0,0.19121447028423771,Media*,Culture,917.3664934635162,92452.78665936738,0.009922540213346485
2265,32.0,2679312.0,Irish Recorded Music Association,10.0,0.5312193632125854,Q1156834,Culture.Media.Music,233.0,515.2552672707459,124.0,0.0,54.0,39.368423,6.5891595,-11.887736,53.0,387.0,0.13695090439276486,Music,Culture,900.9480400085449,92452.78665936738,0.00974495277603685
2731,17.0,5151339.0,Fantasy (chanson de Mariah Carey),10.0,0.9983093142509459,Q996033,Culture.Media.Music,233.0,2250.6365897771325,124.0,0.0,54.0,25.157894,-6.109635,18.048292,53.0,387.0,0.13695090439276486,Music,Culture,899.4766921401023,92452.78665936738,0.009729038189558633
2791,12.0,5631582.0,When You Believe,10.0,0.996837317943573,Q676098,Culture.Media.Media*,233.0,4.9094296077492166,124.0,0.0,54.0,20.421053,12.569718,-17.06672,74.0,387.0,0.19121447028423771,Media*,Culture,885.1915383338928,92452.78665936738,0.009574525228701742
2429,34.0,3470166.0,Sony Music Entertainment,10.0,0.4843900501728058,Q56760250,Culture.Media.Music,233.0,2910.876256780102,124.0,0.0,54.0,41.263157,8.604361,-7.29242,53.0,387.0,0.13695090439276486,Music,Culture,872.870870411396,92452.78665936738,0.00944126079863225
