,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
0,17.0,800.0,Cable News Network,21.0,0.4843900501728058,Q48340,Culture.Media.Media*,0.0,13047.866058133477,163.0,0.0,60.0,25.157894,2.3236747,4.546766799999999,74.0,387.0,0.1912144702842377,Media*,Culture,609.3626831173898,91826.92927660793,0.0066359910749255475
1,12.0,819.0,Chanson,10.0,0.5234303474426271,Q7366,Culture.Media.Media*,233.0,2462.260190754661,124.0,0.0,54.0,20.421053,18.918,-11.734865,74.0,387.0,0.1912144702842377,Media*,Culture,464.8061485290529,91826.92927660793,0.00506176295113745
2,41.0,1328.0,Genre musical,10.0,0.8080772161483765,Q188451,Culture.Media.Media*,233.0,1114.5467423983087,124.0,0.0,54.0,47.894737,-5.8847466,-0.91086686,74.0,387.0,0.1912144702842377,Media*,Culture,2451.7062737941737,91826.92927660793,0.026699207880609414
3,3.0,2335.0,Prix Nobel de physiologie ou médecine,18.0,0.8596737384796143,Q80061,History_and_Society.Society,88.0,8473.756567930763,77.0,1.0,193.0,11.894737,7.70993,-22.049393,47.0,935.0,0.05026737967914439,Society,History_and_Society,121.2139971256256,29214.660708554085,0.00414908111837609
4,33.0,2516.0,Philippe Pétain,6.0,0.8311530351638794,Q5721,History_and_Society.Military_and_warfare,183.0,32593.39783575636,168.0,2.0,0.0,40.31579,17.314072,9.912496,60.0,529.0,0.11342155009451795,Military_and_warfare,History_and_Society,1645.6830096244812,20993.770624876022,0.07838911070479508
5,29.0,2898.0,Musique soul,10.0,0.8774868249893188,Q131272,Culture.Media.Media*,233.0,143.47316785786782,124.0,0.0,54.0,36.526314,8.653236,-9.598514999999999,74.0,387.0,0.1912144702842377,Media*,Culture,1883.0867264270785,91826.92927660793,0.020506911657197032
6,11.0,3998.0,Éphéméride,3.0,0.14805719256401062,Q19355137,History_and_Society.Transportation,49.0,697.25,164.0,12.0,0.0,19.473684,-6.7202773,-18.644184,2.0,89.0,0.02247191011235955,Transportation,History_and_Society,3.2572582364082336,356.4840145558118,0.009137178957286092
7,3.0,5069.0,Charles Maurras,1.0,0.21734751760959625,Q3048,Culture.Literature,0.0,8221.937463965494,94.0,3.0,235.0,11.894737,-15.925111,3.3685935,15.0,345.0,0.043478260869565216,Literature,Culture,9.780638292431833,2585.176223538816,0.003783354574971
8,4.0,7018.0,Kilomètre carré,18.0,0.9748311638832092,Q712226,STEM.STEM*,88.0,380.62226352079284,77.0,1.0,193.0,12.842105,9.267816999999999,-12.195305000000001,51.0,935.0,0.054545454545454536,STEM*,STEM,0.0,29214.660708554085,0.0
9,13.0,7483.0,Caroline du Sud,18.0,0.6150978803634644,Q1456,Geography.Regions.Americas.North_America,88.0,4154.418471650452,77.0,1.0,193.0,21.36842,-0.8881242,17.677925,57.0,935.0,0.060962566844919776,North_America,Geography,0.0,29214.660708554085,0.0
10,8.0,7538.0,Rhode Island,14.0,0.9511522054672241,Q1387,Geography.Geographical,170.0,1176.4096407347258,44.0,4.0,235.0,16.631578,5.514793,-24.925016,2.0,111.0,0.018018018018018014,Geographical,Geography,0.0,3611.831080049277,0.0
11,16.0,7568.0,New Hampshire,14.0,0.11597072333097458,Q759,History_and_Society.Politics_and_government,170.0,17467.88884152419,44.0,4.0,235.0,24.210526,22.221536999999998,-19.480247,25.0,111.0,0.22522522522522526,Politics_and_government,History_and_Society,46.38828933238983,3611.831080049277,0.012843427143817854
12,3.0,8089.0,Lapin domestique,18.0,0.4532718360424042,Q149017,History_and_Society.Society,88.0,1838.5276073202367,77.0,1.0,193.0,11.894737,12.222589,22.285429,47.0,935.0,0.05026737967914439,Society,History_and_Society,63.91132888197899,29214.660708554085,0.002187645768662501
13,13.0,8749.0,Année (calendrier),3.0,0.6150978803634644,Q577,History_and_Society.History,49.0,10207.80251310614,164.0,12.0,0.0,21.36842,-0.092814095,-12.727085,5.0,89.0,0.05617977528089888,History,History_and_Society,39.981362223625176,356.4840145558118,0.1121547126690743
14,11.0,9405.0,Asie centrale,18.0,0.5621865391731262,Q27275,History_and_Society.Society,88.0,4164.131894256559,77.0,1.0,193.0,19.473684,3.9155637999999997,4.059838,47.0,935.0,0.05026737967914439,Society,History_and_Society,290.65044075250626,29214.660708554085,0.009948787139855551
15,6.0,9544.0,Classe (biologie),18.0,0.6076731681823729,Q37517,STEM.Biology,88.0,721.7237490410744,77.0,1.0,193.0,14.736842000000001,22.80209,6.9542365,15.0,935.0,0.016042780748663103,Biology,STEM,54.69058513641357,29214.660708554085,0.0018720253396747504
16,8.0,9566.0,Ordre (biologie),18.0,0.9763205647468568,Q36602,STEM.Biology,88.0,2065.9106204877553,77.0,1.0,193.0,16.631578,7.5243350000000015,24.605332999999998,15.0,935.0,0.016042780748663103,Biology,STEM,117.15846776962282,29214.660708554085,0.0040102628244906725
