,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic,Label_en
0,5.0,151.0,Оптический микроскоп,0.26285186409950256,Q912313,STEM.Technology,151.0,2021.52152178132,13.0,2253.0,1.3142593204975128,STEM,Technology,Optical microscope
1,10.0,159.0,Масс-спектрометрия,0.320831298828125,Q180809,STEM.Chemistry,159.0,42589.94636958192,13.0,2892.0,3.20831298828125,STEM,Chemistry,Mass spectrometry
2,19.0,173.0,Охрана окружающей среды,0.9748311638832092,Q832237,History_and_Society.Society,173.0,37812.92605028457,10.0,3144.0,18.521792113780972,History_and_Society,Society,Environmental protection
3,2.0,178.0,Ядерный магнитный резонанс,0.23371636867523202,Q209402,STEM.Medicine_&_Health,178.0,191.47916923097446,13.0,2458.0,0.46743273735046403,STEM,Medicine_&_Health,Nuclear magnetic resonance
4,14.0,254.0,Популяция,0.4688006341457367,Q2625603,STEM.Biology,254.0,22635.063957249717,10.0,3090.0,6.563208878040314,STEM,Biology,Population
5,10.0,255.0,Биоценоз,0.2227101624011993,Q184806,STEM.Biology,255.0,7657.605723723142,10.0,2921.0,2.227101624011993,STEM,Biology,Biocenosis
6,4.0,325.0,Муассанит,1.0000100135803225,Q418215,STEM.Earth_and_environment,325.0,8697.750538652279,13.0,2819.0,4.00004005432129,STEM,Earth_and_environment,Moissanite
7,11.0,365.0,Нитрат серебра(I),0.8596737384796143,Q207442,STEM.Chemistry,365.0,6395.26263730868,13.0,2672.0,9.456411123275755,STEM,Chemistry,Silver nitrate (I)
8,22.0,385.0,Единицы физических величин,0.8354935646057129,Q47574,STEM.STEM*,385.0,93031.29392156657,13.0,2922.0,0.0,STEM,STEM*,Physical units
9,3.0,409.0,Сульфат железа(II),0.9871888160705566,Q214863,STEM.Chemistry,409.0,380.38190231903764,13.0,2344.0,2.96156644821167,STEM,Chemistry,Iron (II) sulfate
