,Degree,Eccentricity,Id,Label,Probability,Qid,Topic,betweenesscentrality,closnesscentrality,harmonicclosnesscentrality,modularity_class
0,4.0,23.0,57328398.0,Paul J. Schlise,0.9981998205184937,Q52637548,Culture.Biography.Biography*,2132.770072,0.114369,0.146231,5.0
1,4.0,23.0,57328398.0,Paul J. Schlise,0.7879412174224854,Q52637548,History_and_Society.Military_and_warfare,2132.770072,0.114369,0.146231,5.0
2,4.0,23.0,57328398.0,Paul J. Schlise,0.0,Q52637548,Geography.Regions.Americas.North_America,2132.770072,0.114369,0.146231,5.0
3,4.0,23.0,57328398.0,Paul J. Schlise,0.0,Q52637548,Geography.Regions.Asia.Asia*,2132.770072,0.114369,0.146231,5.0
4,4.0,27.0,1384530.0,John Wood (English actor),1.0000100135803223,Q599439,Culture.Biography.Biography*,32975.0,0.076825,0.083826,49.0
5,4.0,27.0,1384530.0,John Wood (English actor),0.25966064834594726,Q599439,Geography.Regions.Europe.Northern_Europe,32975.0,0.076825,0.083826,49.0
6,4.0,27.0,1384530.0,John Wood (English actor),0.21760438585281372,Q599439,Geography.Regions.Europe.Europe*,32975.0,0.076825,0.083826,49.0
7,4.0,27.0,1384530.0,John Wood (English actor),0.20690405368804932,Q599439,History_and_Society.Education,32975.0,0.076825,0.083826,49.0
8,4.0,27.0,1384530.0,John Wood (English actor),0.20182321965694427,Q599439,Culture.Performing_arts,32975.0,0.076825,0.083826,49.0
9,3.0,27.0,45340726.0,Bush shoeing incident,0.546748161315918,Q18236869,History_and_Society.Politics_and_government,5499.0,0.076592,0.093229,8.0
10,3.0,27.0,45340726.0,Bush shoeing incident,0.36960725688934326,Q18236869,Geography.Regions.Americas.North_America,5499.0,0.076592,0.093229,8.0
11,3.0,27.0,45340726.0,Bush shoeing incident,0.11280541121959686,Q18236869,Culture.Philosophy_and_religion,5499.0,0.076592,0.093229,8.0
12,3.0,27.0,45340726.0,Bush shoeing incident,0.0,Q18236869,Geography.Regions.Asia.West_Asia,5499.0,0.076592,0.093229,8.0
13,3.0,27.0,45340726.0,Bush shoeing incident,0.0,Q18236869,Geography.Regions.Asia.Asia*,5499.0,0.076592,0.093229,8.0
14,2.0,23.0,1546474.0,"Pioneertown, California",0.9688661694526672,Q7196874,Geography.Regions.Americas.North_America,125903.187149,0.097766,0.111663,4.0
15,2.0,23.0,1546474.0,"Pioneertown, California",0.21207880973815918,Q7196874,Geography.Geographical,125903.187149,0.097766,0.111663,4.0
16,10.0,25.0,679746.0,Independence Stadium (Shreveport),0.8479777574539185,Q3150014,Culture.Sports,34410.555935000004,0.103652,0.128282,26.0
17,10.0,25.0,679746.0,Independence Stadium (Shreveport),0.839743971824646,Q3150014,Geography.Regions.Americas.North_America,34410.555935000004,0.103652,0.128282,26.0
18,10.0,25.0,679746.0,Independence Stadium (Shreveport),0.1732981950044632,Q3150014,Culture.Visual_arts.Visual_arts*,34410.555935000004,0.103652,0.128282,26.0
19,10.0,25.0,679746.0,Independence Stadium (Shreveport),0.12253321707248688,Q3150014,Culture.Visual_arts.Architecture,34410.555935000004,0.103652,0.128282,26.0
20,4.0,28.0,42159082.0,"Serginho (footballer, born 1995)",0.9960646033287048,Q15964397,Culture.Sports,0.0,0.08161900000000001,0.097712,41.0
