,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
0,5.0,600.0,Andorra,0.10375863313674928,Q228,History_and_Society.Politics_and_government,0.0,1178704.4663569764,122.0,4.0,154.0,12.567568,8.874933,7.5713589999999975,5.0,1101.0,0.004541326067211626,Politics_and_government,History_and_Society,2.593965828418732,556217.0061216131,4.663585974305106e-06
1,5.0,888.0,A. E. van Vogt,0.6513648629188538,Q315059,Culture.Media.Media*,175.0,2055.558333333333,145.0,32.0,0.0,12.567568,-23.801172,-10.749991,77.0,408.0,0.18872549019607845,Media*,Culture,250.7754722237587,76840.93720898032,0.003263566027854887
2,10.0,2299.0,"American Media, Inc.",0.3702353835105896,Q465666,Culture.Media.Media*,192.0,736890.1411291608,192.0,19.0,192.0,15.777026999999999,-10.377310000000001,10.615271,37.0,312.0,0.11858974358974357,Media*,Culture,136.98709189891815,14689.085291832684,0.00932577414980936
3,139.0,3356.0,Bill Clinton,0.7310686111450195,Q1124,History_and_Society.Politics_and_government,190.0,695313.4426714119,119.0,0.0,60.0,98.58108,15.855223,17.1535,253.0,2991.0,0.08458709461718489,Politics_and_government,History_and_Society,25709.489848136905,1266173.4965269193,0.020304871266581842
4,25.0,3975.0,2001 United Kingdom general election,1.0000100135803225,Q590740,History_and_Society.Politics_and_government,225.0,106800.16884934565,71.0,6.0,228.0,25.405405,3.2973516000000003,-23.745008,194.0,1448.0,0.13397790055248618,Politics_and_government,History_and_Society,4850.048565864565,185020.80317770693,0.026213531033081938
5,1.0,4948.0,Banacek,0.9908843636512756,Q2071571,Culture.Media.Media*,192.0,0.0,192.0,37.0,192.0,10.0,7.0760875,-2.9301062,38.0,235.0,0.16170212765957448,Media*,Culture,37.65360581874848,9551.550104685128,0.0039421460816374725
6,5.0,5370.0,Category of being,0.9344051480293274,Q714737,Culture.Philosophy_and_religion,192.0,30218.0,192.0,35.0,192.0,12.567568,23.892912,-15.542067999999999,12.0,88.0,0.13636363636363635,Philosophy_and_religion,Culture,56.06430888175965,300.52148042619234,0.18655674397134805
7,5.0,6046.0,Cicero,0.7371681928634644,Q1541,History_and_Society.History,54.0,50875.474956061786,159.0,27.0,0.0,12.567568,20.026148000000006,4.880579,24.0,617.0,0.03889789303079417,History,History_and_Society,88.46018314361572,17019.45979809016,0.005197590534192061
8,44.0,6195.0,Calvin Coolidge,0.6150978803634644,Q36023,History_and_Society.Politics_and_government,190.0,614095.0511072155,119.0,0.0,60.0,37.601353,-9.565903,-7.024423599999999,253.0,2991.0,0.08458709461718489,Politics_and_government,History_and_Society,6847.269604206085,1266173.4965269193,0.005407844677674873
9,2.0,6336.0,Chorded keyboard,0.9046605229377748,Q419894,Culture.Media.Media*,225.0,0.0,71.0,6.0,228.0,10.6418915,-4.577128,-23.240402,57.0,1448.0,0.0393646408839779,Media*,Culture,103.13129961490631,185020.80317770693,0.0005574038045648944
10,21.0,6357.0,Camp David,0.41490885615348816,Q309202,History_and_Society.Military_and_warfare,190.0,19018.442195315758,119.0,0.0,60.0,22.837837,-8.993243,-3.4744043,179.0,2991.0,0.05984620528251421,Military_and_warfare,History_and_Society,1559.642390280962,1266173.4965269193,0.0012317762096261062
11,1.0,7906.0,Destry Rides Again,0.9963027834892272,Q607524,Culture.Media.Media*,65.0,0.0,15.0,18.0,255.0,10.0,22.03292,1.4480815,102.0,676.0,0.15088757396449706,Media*,Culture,101.62288391590117,33468.00479835272,0.0030364189478335143
12,87.0,8182.0,Dwight D. Eisenhower,0.8031837940216064,Q9916,History_and_Society.Military_and_warfare,190.0,582880.5967597428,119.0,0.0,60.0,65.20270500000001,9.272860000000001,10.696662,179.0,2991.0,0.05984620528251421,Military_and_warfare,History_and_Society,12507.981224298477,1266173.4965269193,0.009878568188804726
13,64.0,8189.0,Demographic statistics,0.9304682612419128,Q1965979,STEM.Mathematics,156.0,0.0,77.0,40.0,187.0,50.43919,0.6472018,17.753544,38.0,669.0,0.05680119581464872,Mathematics,STEM,2262.898811340332,243047.47539169338,0.00931052177231408
14,65.0,9546.0,Engineering statistics,0.233716368675232,Q5377902,STEM.Technology,156.0,55.32799805836184,77.0,40.0,187.0,51.08108,13.444154000000001,-4.497363,52.0,669.0,0.07772795216741404,Technology,STEM,789.9613261222839,243047.47539169338,0.0032502346500377696
15,21.0,9941.0,Æthelberht of Kent,0.8267217874526978,Q272173,History_and_Society.History,192.0,17194.80112942853,192.0,30.0,192.0,22.837837,11.569123,14.024578,24.0,333.0,0.07207207207207207,History,History_and_Society,416.66778087615967,7018.85768545419,0.0593640446278969
16,21.0,10264.0,Enrico Fermi,0.8774868249893188,Q8753,STEM.Physics,192.0,400002.74203236646,192.0,20.0,192.0,22.837837,9.252025,-6.628172,16.0,394.0,0.04060913705583756,Physics,STEM,294.8355731964112,4366.56774007529,0.06752112660259049
