,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
550,Иван Грозный,550,68,0,230631.43539763775,Q7996
1640,"Черкасов, Николай Константинович",1640,3,8,7660.354478248654,Q713014
2602,Народы мира,2602,3,21,6456.461037217005,Q4025906
4089,Керченский пролив,4089,1,17,0.0,Q187890
5214,Гимн России,5214,3,18,3910.0,Q1225991
5373,Сибирский федеральный округ,5373,3,5,5572.886119923785,Q41979
5383,Дальневосточный федеральный округ,5383,5,5,9386.319662926342,Q41968
6041,"Шукшин, Василий Макарович",6041,15,8,70491.45112596193,Q316086
7966,Могучая кучка,7966,5,25,91650.20313074475,Q190390
9158,Алсу,9158,5,18,48970.858236804495,Q270951
9173,Сингапур,9173,31,12,516956.40700180887,Q334
9397,Тобол,9397,3,10,977.0,Q124653
9649,Хайле Селассие,9649,2,5,13641.26288232731,Q41178
10033,Белый Нил,10033,3,21,1956.0,Q4814791
10035,Голубой Нил,10035,3,21,1956.0,Q882739
10328,История гимнов России и СССР,10328,2,18,0.0,Q2177093
10635,Орбита,10635,5,2,19497.0,Q4130
10653,Дебют (шахматы),10653,5,22,561.039126906312,Q103632
12137,Веспасиан,12137,3,35,3911.0,Q1419
12519,Тропический циклон,12519,6,9,5793.67514719377,Q8092
12520,Тайфун,12520,5,9,3837.67514719376,Q140588
13910,Рений,13910,3,25,5862.0,Q737
13921,Таллий,13921,3,25,1956.0,Q932
13994,Ливны,13994,8,0,6284.922614095715,Q157576
14040,"Завадский, Юрий Александрович",14040,2,8,9857.799967847768,Q860409
15093,Брейн-ринг,15093,2,7,1956.0,Q1957562
15130,"Абдул-Джаббар, Карим",15130,4,2,19484.0,Q179051
15230,Компьень,15230,6,15,41253.50177698114,Q180871
15432,Катунь,15432,2,10,7812.0,Q723864
16425,"Митчелл, Маргарет",16425,6,19,1948.7500000000002,Q173540
16532,"Весна (фильм, 1947)",16532,3,8,3911.0,Q4109506
16609,"Арафат, Ясир",16609,11,12,180240.65092263624,Q34211
17148,Максим Перепелица,17148,1,8,0.0,Q4276090
17360,"Соломина, Мария Антониновна",17360,1,25,0.0,Q4428290
17407,Противоракетная оборона,17407,2,8,1956.0,Q1155630
18465,Французский республиканский календарь,18465,3,21,1984.0,Q181974
18542,Космопоиск,18542,1,18,0.0,Q3656298
18720,"Ширак, Жак",18720,3,13,10785.2960569285,Q2105
19073,Веттины,19073,2,17,1956.0,Q152909
19623,Ян III Собеский,19623,2,31,17532.0,Q53454
20426,"Таль, Михаил Нехемьевич",20426,4,22,8371.55078617379,Q102664
20580,Юрга,20580,2,5,4627.682574728869,Q198824
20704,Сектор Газа,20704,17,12,181347.63176495416,Q39760
20705,Западный берег реки Иордан,20705,11,12,39616.38342538185,Q36678
21077,Реактивный двигатель,21077,4,25,23379.0,Q1922879
22206,Палестинская национальная администрация,22206,16,12,149765.7944427863,Q42620
22772,Северная Двина,22772,4,10,24797.844757195864,Q8187
23361,Кольца Сатурна,23361,1,2,0.0,Q194
23380,Крылатая ракета,23380,3,8,5864.0,Q181860
23722,Матчи за звание чемпиона мира по шахматам,23722,3,22,75.49141034404195,Q1850959
23736,Гюлистанский мирный договор,23736,1,7,0.0,Q926447
23740,Туркманчайский мирный договор,23740,2,7,1956.0,Q875512
24606,Кукушка (фильм),24606,4,8,3910.0,Q387140
25919,"Крамник, Владимир Борисович",25919,6,22,498.3264616495555,Q161092
26484,Человек дождя,26484,4,26,9767.0,Q188845
26547,Сицилианская защита,26547,6,22,23430.178470560604,Q188566
27183,"Бутлеров, Александр Михайлович",27183,1,25,0.0,Q315160
28894,Наши (движение),28894,6,30,42620.0,Q866632
30303,Вилючинск,30303,1,27,0.0,Q133093
30439,"Зинин, Николай Николаевич",30439,2,25,1956.0,Q520792
31787,"Бабаджанян, Арно Арутюнович",31787,1,22,0.0,Q694123
33341,"Шуйский, Иван Петрович",33341,12,0,1849.8483466436942,Q4527412
34232,Кнуд Великий,34232,4,21,0.0,Q134128
34697,Великий князь,34697,11,17,144058.74200152737,Q1549319
34734,"Морзе, Сэмюэл",34734,1,11,0.0,Q75698
34872,Гаруда,34872,4,10,5862.5,Q188676
35082,Кимры,35082,3,11,3910.0,Q146435
35389,"Стрешнева, Евдокия Лукьяновна",35389,10,0,278.3552208625626,Q255429
35427,Магнус (король Ливонии),35427,7,0,6.956258073649377,Q461367
35685,Жакерия,35685,1,15,0.0,Q7126013
36343,"Крашенинников, Степан Петрович",36343,4,27,7815.0,Q469780
36807,Алчевск,36807,2,3,1956.0,Q161144
39252,"Стругацкий, Аркадий Натанович",39252,3,12,3910.0,Q61699
39391,Ашкелон,39391,7,12,43.090711510711465,Q60956
39543,Шуйские,39543,12,0,3670.660181907435,Q2991970
39782,"Девятаев, Михаил Петрович",39782,1,8,0.0,Q620935
40425,Ирис (растение),40425,1,13,0.0,Q156901
41492,Царская невеста (опера),41492,1,25,0.0,Q900225
41577,"Шуйский, Иван Андреевич",41577,6,0,258.018524445675,Q4527407
41660,"Балакирев, Милий Алексеевич",41660,5,25,13763.70165256278,Q185040
42248,Кальмарская уния,42248,2,0,0.0,Q62623
42402,"Шуйский, Андрей Иванович",42402,5,0,54.581615858040195,Q4527399
42407,"Шуйский, Дмитрий Иванович",42407,9,0,173.66254722438495,Q1958297
42468,Гогенцоллерны,42468,3,17,3910.0,Q83969
44316,Лилль,44316,3,15,61265.533542657366,Q648
44330,Кнессет,44330,7,12,66190.21959173902,Q133396
44690,Совет народных комиссаров СССР,44690,2,13,3910.0,Q2136
44805,"Матьё, Мирей",44805,3,11,34912.172166403296,Q71452
44867,Каракас,44867,2,20,7812.0,Q1533
44900,Русско-шведская война (1590—1595),44900,3,0,1.1,Q1634776
44981,Газа,44981,11,12,40417.44676648495,Q47492
45433,"Алексеев, Василий Иванович",45433,5,16,11717.0,Q225193
45543,Северная Африка,45543,7,21,104556.42600152224,Q27381
46426,Гуанчи,46426,3,21,35524.20449367748,Q219995
46498,Прострел раскрытый,46498,2,13,0.0,Q149341
47573,Тунис (город),47573,2,3,1956.0,Q3572
48524,Галич (Костромская область),48524,2,0,3910.0,Q134375
49059,"Коковцов, Владимир Николаевич",49059,2,0,0.0,Q438448
49614,Индра,49614,2,10,0.0,Q128335
51226,Роберт I (король Шотландии),51226,11,21,4911.523520287141,Q187312
51272,"Рёкк, Марика",51272,1,8,0.0,Q48502
52072,Филипп II Август,52072,2,15,34549.879584968476,Q34428
52228,Континентальная блокада,52228,1,3,0.0,Q258081
52379,Брюгге (футбольный клуб),52379,3,3,9224.747606801502,Q190916
52834,Дида (вратарь),52834,1,3,0.0,Q188544
53276,Этельред II Неразумный,53276,5,21,1977.2439832643138,Q183499
53317,Высшие федеральные органы государственной власти США,53317,4,12,4683.662698412698,Q48525
53413,Резня в День святого Брайса,53413,3,21,3019.187613484693,Q377753
53597,"Аннан, Кофи",53597,1,12,0.0,Q1254
53599,"Блэр, Тони",53599,2,12,76680.0,Q9545
53788,Бордо (футбольный клуб),53788,11,3,15295.999680940442,Q172476
53865,"Кавсадзе, Кахи Давидович",53865,1,0,0.0,Q7262061
54349,Дмитрий Юрьевич Шемяка,54349,10,0,43731.35087446152,Q1282778
