,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
48,Лавра,48,7,7,3652.080231474658,Q824786
578,"Хонеккер, Эрих",578,1,7,0.0,Q2607
580,"Бернстайн, Леонард",580,1,15,0.0,Q152505
1090,Тегеран-43,1090,7,15,71798.3628738444,Q1125687
1644,"Чирков, Борис Петрович",1644,2,22,1792.0,Q584450
3786,Корякский автономный округ,3786,1,11,0.0,Q17094638
4179,Македония,4179,3,17,0.0,Q39702
4643,"Леонов, Алексей Архипович",4643,2,8,0.0,Q154269
5380,"Яковлев, Владимир Анатольевич",5380,6,3,3582.0,Q982620
6333,"Крикалёв, Сергей Константинович",6333,8,8,13295.912602801793,Q313815
6393,"Беляев, Павел Иванович",6393,2,8,0.0,Q157931
6499,"Джанибеков, Владимир Александрович",6499,8,8,300.68696151406823,Q466513
6624,"Лазарев, Василий Григорьевич",6624,12,8,867.570295835557,Q365317
6627,"Макаров, Олег Григорьевич",6627,10,8,312.67322958368715,Q467623
7373,"Стрекалов, Геннадий Михайлович",7373,10,8,411.9312243554015,Q470256
7499,"Титов, Владимир Георгиевич (космонавт)",7499,8,8,119.05626222321756,Q466069
7577,Субботник,7577,1,14,0.0,Q773620
7674,Космодром,7674,12,8,15349.892213132809,Q194188
8838,Старица (город),8838,1,3,0.0,Q196481
8922,Шансонье,8922,4,15,1792.0,Q13391399
9693,Мумия,9693,6,21,11404.481832315289,Q43616
9998,РЖД Арена,9998,2,17,1792.0,Q595937
10563,Международная космическая станция,10563,24,8,36759.67105539825,Q25271
11107,"Рыбалко, Павел Семёнович",11107,1,14,0.0,Q1332642
11963,Энергия (ракета-носитель),11963,11,8,2.196695379783615,Q731859
12134,Экраноплан,12134,1,8,0.0,Q309398
12167,"Климов, Элем Германович",12167,3,5,5580.884700898542,Q516987
13212,SpaceShipOne,13212,3,8,6188.206498703253,Q38935
13544,Ракета-носитель,13544,28,8,8621.552530689394,Q697175
13787,"Лукьяненко, Сергей Васильевич",13787,11,10,7155.0,Q52224
14040,"Завадский, Юрий Александрович",14040,2,22,4685.673871989802,Q860409
14644,Съезд народных депутатов России,14644,5,16,17787.691582984524,Q2358985
14958,Филиокве,14958,7,7,987.8961665473818,Q204085
15841,Восток-2,15841,1,8,0.0,Q221678
16119,Пилотируемый космический корабль,16119,16,8,4406.663633640213,Q18609085
16177,Реймс,16177,4,12,23704.90267119751,Q41876
17128,Луна-3,17128,1,8,0.0,Q942814
18165,Скополамин,18165,2,5,1792.0,Q337188
18593,Четырежды Герои Советского Союза,18593,2,14,0.0,Q1959736
18601,Суборбитальный космический полёт,18601,22,8,2170.604941327168,Q832435
18728,Митрополит,18728,24,7,7318.672910121231,Q189854
22142,Епархии Русской православной церкви,22142,10,7,1331.271541876048,Q3725311
22147,Чернигов,22147,7,10,532.9562527004776,Q157053
22706,Ингушетия,22706,14,14,34624.311202594065,Q5219
23593,"Гергиев, Валерий Абисалович",23593,4,15,4746.291959278026,Q165693
23926,Схизма,23926,18,7,5811.765530466719,Q41521
23937,Р-7,23937,15,8,2548.2584295171005,Q221675
24022,Монофизитство,24022,5,7,2921.3611816007806,Q183091
24606,Кукушка (фильм),24606,1,4,0.0,Q387140
24635,Меха (жанр),24635,1,21,0.0,Q4292083
25375,"Ким, Юлий Черсанович",25375,8,22,39073.18106861608,Q750943
25458,"Рогозин, Дмитрий Олегович",25458,14,8,137500.4654110815,Q737463
25842,Международная шахматная федерация,25842,3,16,1792.0,Q102178
26093,Хулиганство,26093,8,5,377621.5741867829,Q219954
26394,"Луценко, Юрий Витальевич",26394,1,6,0.0,Q458282
27135,Губернатор,27135,6,3,4436.037309874404,Q132050
28812,Древние восточные церкви,28812,1,7,0.0,Q76526564
28933,Элладская православная церковь,28933,17,7,540.3909446125647,Q59778
29057,Интерпол,29057,6,23,19720.801437036775,Q8475
29372,"Кошевой, Олег Васильевич",29372,3,14,0.0,Q2623768
29741,Шуя,29741,1,7,0.0,Q198358
30764,"Гинзбург, Виталий Лазаревич",30764,6,6,3584.2499999999995,Q104668
31972,Терские казаки,31972,2,14,121.46666666666682,Q1478854
33035,"Буковский, Владимир Константинович",33035,4,5,9994.932571684885,Q360471
33759,"Ильф, Илья Арнольдович",33759,2,14,1792.0,Q471443
34293,Колесница,34293,2,21,0.0,Q203788
35144,"Жуков, Георгий Константинович",35144,14,14,46317.30425937922,Q124617
35902,"Шевцова, Любовь Григорьевна",35902,3,14,0.0,Q4522027
35987,Юнона и Авось (спектакль),35987,14,22,20292.02823612238,Q4534601
36336,Второй Ватиканский собор,36336,3,7,4.745417657055587,Q169789
36727,Ялуторовск,36727,2,9,286.15966778319734,Q150346
37047,Томь (футбольный клуб),37047,6,2,1288.0468249671083,Q329510
40475,Пимен (патриарх Московский),40475,17,7,10150.700965567774,Q547687
41605,Скопье,41605,5,17,14287.333333333332,Q384
41854,Первый Никейский собор,41854,11,7,6433.807593221573,Q133331
43560,Анафема,43560,19,7,92389.15042604253,Q211517
44805,"Матьё, Мирей",44805,5,15,570.6909092143123,Q71452
45175,Децимация (наказание),45175,1,21,0.0,Q465119
46324,Македонцы,46324,4,17,1489.5000000000396,Q2436423
47090,Изборск,47090,1,10,0.0,Q1135534
48551,Валуа,48551,4,12,637.5083089687723,Q182135
50157,Ночной Дозор (роман),50157,8,10,10680.0,Q1042011
51100,"Черенков, Фёдор Фёдорович",51100,3,17,39.722678645391404,Q713891
51544,"Захаров, Марк Анатольевич",51544,30,22,320309.88582589047,Q1229601
52379,Брюгге (футбольный клуб),52379,6,17,2215.159758052164,Q190916
52691,"Мамонтов, Савва Иванович",52691,7,9,14488.566109580695,Q983994
53010,"Куинджи, Архип Иванович",53010,2,9,0.0,Q353628
53311,Прилуки,53311,5,10,0.0,Q1000404
53717,Союз,53717,6,8,3.3268108970220798,Q225732
