,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,7.0,48.0,Лавра,0.3998216390609741,Q824786,Culture.Philosophy_and_religion,3652.0802314746575,7.0,3617.0,2.798751473426819,Culture,Philosophy_and_religion
1,1.0,578.0,"Хонеккер, Эрих",0.546748161315918,Q2607,History_and_Society.Politics_and_government,0.0,7.0,3236.0,0.546748161315918,History_and_Society,Politics_and_government
2,1.0,580.0,"Бернстайн, Леонард",0.9433575868606568,Q152505,Culture.Media.Music,0.0,15.0,2969.0,0.9433575868606568,Culture,Music
3,7.0,1090.0,Тегеран-43,0.9637899398803712,Q1125687,Culture.Media.Films,71798.36287384441,15.0,7944.0,6.7465295791625985,Culture,Films
4,2.0,1644.0,"Чирков, Борис Петрович",0.6224693655967712,Q584450,History_and_Society.Military_and_warfare,1792.0,22.0,1921.0,1.2449387311935425,History_and_Society,Military_and_warfare
5,1.0,3786.0,Корякский автономный округ,0.7431780099868774,Q17094638,History_and_Society.Society,0.0,11.0,2542.0,0.7431780099868774,History_and_Society,Society
6,3.0,4179.0,Македония,0.8670457601547241,Q39702,History_and_Society.History,0.0,17.0,2250.0,2.6011372804641724,History_and_Society,History
7,2.0,4643.0,"Леонов, Алексей Архипович",0.6654205918312073,Q154269,History_and_Society.Transportation,0.0,8.0,29971.0,1.3308411836624146,History_and_Society,Transportation
8,6.0,5380.0,"Яковлев, Владимир Анатольевич",0.7718535065650941,Q982620,History_and_Society.Society,3582.0,3.0,5703.0,4.631121039390565,History_and_Society,Society
9,8.0,6333.0,"Крикалёв, Сергей Константинович",1.0000100135803225,Q313815,STEM.Technology,13295.912602801793,8.0,3872.0,8.00008010864258,STEM,Technology
10,2.0,6393.0,"Беляев, Павел Иванович",0.91965252161026,Q157931,History_and_Society.Military_and_warfare,0.0,8.0,17358.0,1.83930504322052,History_and_Society,Military_and_warfare
11,8.0,6499.0,"Джанибеков, Владимир Александрович",0.9967369437217712,Q466513,STEM.Space,300.6869615140683,8.0,3123.0,7.97389554977417,STEM,Space
12,12.0,6624.0,"Лазарев, Василий Григорьевич",0.984585464000702,Q365317,History_and_Society.Transportation,867.570295835557,8.0,3775.0,11.815025568008425,History_and_Society,Transportation
13,10.0,6627.0,"Макаров, Олег Григорьевич",0.9986429810523988,Q467623,STEM.Space,312.67322958368715,8.0,2407.0,9.986429810523989,STEM,Space
14,10.0,7373.0,"Стрекалов, Геннадий Михайлович",1.0000100135803225,Q470256,STEM.Technology,411.9312243554015,8.0,1456.0,10.000100135803224,STEM,Technology
15,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",1.0000100135803225,Q466069,History_and_Society.Transportation,119.05626222321756,8.0,1642.0,8.00008010864258,History_and_Society,Transportation
16,1.0,7577.0,Субботник,0.21734751760959625,Q773620,Culture.Visual_arts.Visual_arts*,0.0,14.0,1782.0,0.21734751760959625,Culture,Visual_arts*
17,12.0,7674.0,Космодром,0.9850529432296752,Q194188,History_and_Society.Transportation,15349.892213132807,8.0,2393.0,11.820635318756102,History_and_Society,Transportation
18,1.0,8838.0,Старица (город),0.9890230894088744,Q196481,History_and_Society.Society,0.0,3.0,1991.0,0.9890230894088744,History_and_Society,Society
19,4.0,8922.0,Шансонье,0.3140605390071869,Q13391399,Culture.Media.Music,1792.0,15.0,1505.0,1.2562421560287476,Culture,Music
20,6.0,9693.0,Мумия,0.2227101624011993,Q43616,History_and_Society.Society,11404.481832315289,21.0,3229.0,1.3362609744071958,History_and_Society,Society
21,2.0,9998.0,РЖД Арена,0.9808859825134276,Q595937,History_and_Society.Society,1792.0,17.0,3036.0,1.9617719650268552,History_and_Society,Society
22,24.0,10563.0,Международная космическая станция,0.8175845146179199,Q25271,STEM.Space,36759.67105539825,8.0,24409.0,19.622028350830078,STEM,Space
23,1.0,11107.0,"Рыбалко, Павел Семёнович",0.9814634323120116,Q1332642,History_and_Society.Military_and_warfare,0.0,14.0,3016.0,0.9814634323120116,History_and_Society,Military_and_warfare
