Index,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
16839,29.0,44468900.0,Malcom Brown,0.996185541152954,Q18630785,Culture.Sports,77915.53731327299,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,10544.623953104017,670848.8498932347,0.015718330522266215
17491,28.0,48416604.0,2016 Kansas City Chiefs season,0.9983615279197692,Q22023028,Culture.Sports,823805.7974670315,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,10203.25481534004,670848.8498932347,0.015209469043531765
18094,24.0,52106472.0,2017 Washington Redskins season,0.9995221495628356,Q28230129,Culture.Sports,135075.51380746887,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,8755.814030170439,670848.8498932347,0.013051843245410533
4532,20.0,1316633.0,James Lofton,1.0000100135803225,Q1680714,Culture.Sports,215916.4502666852,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,7300.073099136353,670848.8498932347,0.010881844845225802
14742,19.0,34170910.0,Andrus Peat,0.9879562258720398,Q4759561,Culture.Sports,8666.76475028313,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,6851.476426422596,670848.8498932347,0.010213144775478121
13463,18.0,25761927.0,Adrian Clayborn,0.9960646033287048,Q3605610,Culture.Sports,76932.21791988952,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,6544.144443869591,670848.8498932347,0.009755020739636192
12937,17.0,22630923.0,Freddie Kitchens,1.0000100135803225,Q5496752,Culture.Sports,40369.62048985731,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,6205.062134265901,670848.8498932347,0.009249568118441931
15431,17.0,37982183.0,2013 Kansas City Chiefs season,0.99753737449646,Q2656675,Culture.Sports,17535.94872521242,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,6189.719408750534,670848.8498932347,0.00922669750382016
9138,17.0,6403860.0,Tramon Williams,0.9937201142311096,Q3537015,Culture.Sports,35795.111371218896,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,6166.033308804035,670848.8498932347,0.009191389848526023
18083,17.0,52069599.0,2017 San Francisco 49ers season,0.993317186832428,Q28448365,Culture.Sports,46571.58658660122,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,6163.533144295216,670848.8498932347,0.009187662981424413
12626,16.0,21251479.0,Thomas Morstead,0.9566442370414734,Q3301762,Culture.Sports,4588.4206554717775,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,5586.802344322205,670848.8498932347,0.008327959934956051
11983,15.0,18881518.0,Brian Flores,0.9995794296264648,Q4963763,Culture.Sports,14657.336847537668,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,5472.697377204895,670848.8498932347,0.008157869508274289
13454,15.0,25641297.0,2010 Cleveland Browns season,0.9924327731132508,Q4616950,Culture.Sports,127773.78580000988,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,5433.569432795049,670848.8498932347,0.008099543486822403
4566,15.0,1326371.0,Gregg Williams,0.99219411611557,Q5606609,Culture.Sports,11469.908861219948,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,5432.262785732745,670848.8498932347,0.008097595735011377
15370,15.0,37763407.0,Amari Cooper,0.9863731861114502,Q4740236,Culture.Sports,111485.52871762797,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,5400.39319396019,670848.8498932347,0.008050089367850389
15429,15.0,37982133.0,2013 Cleveland Browns season,0.984585464000702,Q2656145,Culture.Sports,77406.30176724534,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,5390.605415403844,670848.8498932347,0.00803549922797327
16357,14.0,42754100.0,Reggie Ragland,0.98678719997406,Q16875075,Culture.Sports,50542.618650861,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,5042.482591867446,670848.8498932347,0.007516570375979559
15144,14.0,36650171.0,Bills–Patriots rivalry,0.9796776771545409,Q4912043,Culture.Sports,28040.6347754866,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,5006.152930259704,670848.8498932347,0.007462415611290726
17824,14.0,50610073.0,Wil Lutz,0.9697954058647156,Q24248320,Culture.Sports,47979.99874163453,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,4955.654523968697,670848.8498932347,0.007387140225040838
3278,19.0,838442.0,James Brown (sportscaster),0.7057950496673584,Q6130347,Culture.Sports,80235.86696870517,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,4894.6886694431305,670848.8498932347,0.007296261550157115
16007,14.0,41015030.0,Cameron Erving,0.9539760947227478,Q16234531,Culture.Sports,35042.772678718306,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,4874.817844033241,670848.8498932347,0.007266641129084542
6478,13.0,2334831.0,Ryan Fitzpatrick,1.0000100135803225,Q920422,Culture.Sports,98325.22423695467,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,4745.04751443863,670848.8498932347,0.0070731991493967715
12934,13.0,22615032.0,Bryan Bulaga,0.9991804361343384,Q2927143,Culture.Sports,8905.542156482006,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,4741.111169457436,670848.8498932347,0.007067331441668241
11335,13.0,15626917.0,2008 Arizona Cardinals season,0.9979592561721802,Q4610499,Culture.Sports,51346.8645887264,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,4735.316670536995,670848.8498932347,0.00705869387909157
14911,13.0,35195835.0,Star Lotulelei,0.9958112239837646,Q5340557,Culture.Sports,16031.083909037456,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,4725.124257802963,670848.8498932347,0.007043500571782995
18746,13.0,55558293.0,Nick Bosa,0.9947898983955384,Q42165049,Culture.Sports,9514.054532092268,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,4720.27806788683,670848.8498932347,0.00703627660483887
5294,15.0,1702307.0,Dick Stockton,0.8221991658210754,Q5273421,Culture.Sports,31896.795572911757,0.0,365.0,1346.0,0.2711738484398217,Sports,Culture,4501.540432870388,670848.8498932347,0.006710215622471152
