,Degree,Eccentricity,Id,Label,Probability,Qid,Topic,betweenesscentrality,closnesscentrality,harmonicclosnesscentrality,modularity_class
0,1.0,24.0,6521732.0,Tessa Bonhomme,0.998599648475647,Q440292,Culture.Sports,0.0,0.102797,0.117434,3.0
1,1.0,24.0,6521732.0,Tessa Bonhomme,0.9981998205184937,Q440292,Culture.Biography.Biography*,0.0,0.102797,0.117434,3.0
2,1.0,24.0,6521732.0,Tessa Bonhomme,0.993317186832428,Q440292,Culture.Biography.Women,0.0,0.102797,0.117434,3.0
3,1.0,24.0,6521732.0,Tessa Bonhomme,0.22388027811050415,Q440292,Geography.Regions.Americas.North_America,0.0,0.102797,0.117434,3.0
4,3.0,26.0,9026920.0,Dying declaration,0.8354935646057129,Q3535013,STEM.STEM*,4654.0,0.086739,0.095065,35.0
5,3.0,26.0,9026920.0,Dying declaration,0.7186043858528137,Q3535013,STEM.Medicine_&_Health,4654.0,0.086739,0.095065,35.0
6,3.0,26.0,9026920.0,Dying declaration,0.3923468291759491,Q3535013,STEM.Biology,4654.0,0.086739,0.095065,35.0
7,3.0,26.0,9026920.0,Dying declaration,0.22816647589206696,Q3535013,STEM.Space,4654.0,0.086739,0.095065,35.0
8,3.0,26.0,9026920.0,Dying declaration,0.21207880973815918,Q3535013,History_and_Society.Society,4654.0,0.086739,0.095065,35.0
9,3.0,26.0,9026920.0,Dying declaration,0.15611489117145538,Q3535013,STEM.Technology,4654.0,0.086739,0.095065,35.0
10,3.0,26.0,9026920.0,Dying declaration,0.14415885508060455,Q3535013,History_and_Society.Politics_and_government,4654.0,0.086739,0.095065,35.0
11,3.0,26.0,9026920.0,Dying declaration,0.13661839067935944,Q3535013,History_and_Society.Business_and_economics,4654.0,0.086739,0.095065,35.0
12,3.0,26.0,9026920.0,Dying declaration,0.13297423720359802,Q3535013,STEM.Earth_and_environment,4654.0,0.086739,0.095065,35.0
13,3.0,26.0,9026920.0,Dying declaration,0.1259327530860901,Q3535013,STEM.Physics,4654.0,0.086739,0.095065,35.0
14,11.0,23.0,3879558.0,Tom Goodwin,0.9996530413627625,Q7815965,Culture.Sports,7103.9314920000015,0.112306,0.133828,14.0
15,11.0,23.0,3879558.0,Tom Goodwin,0.9989450573921204,Q7815965,Culture.Biography.Biography*,7103.9314920000015,0.112306,0.133828,14.0
16,11.0,23.0,3879558.0,Tom Goodwin,0.4876782765388489,Q7815965,Geography.Regions.Americas.North_America,7103.9314920000015,0.112306,0.133828,14.0
17,9.0,27.0,266152.0,Tokyo Imperial Palace,0.59267657995224,Q500681,Culture.Visual_arts.Visual_arts*,91415.409819,0.09029,0.105659,45.0
18,9.0,27.0,266152.0,Tokyo Imperial Palace,0.585111141204834,Q500681,Geography.Regions.Asia.Asia*,91415.409819,0.09029,0.105659,45.0
19,9.0,27.0,266152.0,Tokyo Imperial Palace,0.5775054097175598,Q500681,Geography.Regions.Asia.East_Asia,91415.409819,0.09029,0.105659,45.0
20,9.0,27.0,266152.0,Tokyo Imperial Palace,0.5544804334640503,Q500681,Culture.Visual_arts.Architecture,91415.409819,0.09029,0.105659,45.0
21,9.0,27.0,266152.0,Tokyo Imperial Palace,0.11921291798353195,Q500681,Geography.Regions.Europe.Europe*,91415.409819,0.09029,0.105659,45.0
22,9.0,27.0,266152.0,Tokyo Imperial Palace,0.11597072333097458,Q500681,Culture.Biography.Biography*,91415.409819,0.09029,0.105659,45.0
23,9.0,27.0,266152.0,Tokyo Imperial Palace,0.1067005917429924,Q500681,Geography.Geographical,91415.409819,0.09029,0.105659,45.0
24,6.0,21.0,45275438.0,Jennifer DiNoia,0.9985549449920654,Q18977919,Culture.Biography.Biography*,551866.620588,0.14018699999999998,0.170592,18.0
25,6.0,21.0,45275438.0,Jennifer DiNoia,0.23935934901237488,Q18977919,Culture.Biography.Women,551866.620588,0.14018699999999998,0.170592,18.0
26,6.0,21.0,45275438.0,Jennifer DiNoia,0.0,Q18977919,Geography.Regions.Americas.North_America,551866.620588,0.14018699999999998,0.170592,18.0
27,3.0,25.0,4207542.0,Cast a Dark Shadow,0.9859463572502136,Q5049546,Culture.Media.Films,13964.0,0.07356,0.078039,18.0
28,3.0,25.0,4207542.0,Cast a Dark Shadow,0.982567548751831,Q5049546,Culture.Media.Media*,13964.0,0.07356,0.078039,18.0
29,3.0,25.0,4207542.0,Cast a Dark Shadow,0.0,Q5049546,Geography.Regions.Europe.Northern_Europe,13964.0,0.07356,0.078039,18.0
30,3.0,25.0,4207542.0,Cast a Dark Shadow,0.0,Q5049546,Geography.Regions.Europe.Europe*,13964.0,0.07356,0.078039,18.0
31,7.0,29.0,42159082.0,"Serginho (footballer, born 1995)",0.9960646033287048,Q15964397,Culture.Sports,2.119048,0.07733999999999999,0.087714,42.0
32,7.0,29.0,42159082.0,"Serginho (footballer, born 1995)",0.9850529432296753,Q15964397,Culture.Biography.Biography*,2.119048,0.07733999999999999,0.087714,42.0
33,7.0,29.0,42159082.0,"Serginho (footballer, born 1995)",0.0,Q15964397,Geography.Regions.Americas.South_America,2.119048,0.07733999999999999,0.087714,42.0
34,27.0,29.0,44230926.0,Joe Cressy,0.9972950220108032,Q18379321,Culture.Biography.Biography*,962.743933,0.062717,0.073036,36.0
35,27.0,29.0,44230926.0,Joe Cressy,0.4869562258720398,Q18379321,Geography.Regions.Americas.North_America,962.743933,0.062717,0.073036,36.0
36,6.0,29.0,24165874.0,1986 Vrancea earthquake,1.0000100135803223,Q4115010,STEM.Earth_and_environment,1163.25,0.067453,0.072714,12.0
37,6.0,29.0,24165874.0,1986 Vrancea earthquake,1.0000100135803223,Q4115010,STEM.STEM*,1163.25,0.067453,0.072714,12.0
38,6.0,29.0,24165874.0,1986 Vrancea earthquake,0.5000100135803223,Q4115010,Geography.Regions.Oceania,1163.25,0.067453,0.072714,12.0
39,6.0,29.0,24165874.0,1986 Vrancea earthquake,0.4843900501728058,Q4115010,History_and_Society.Politics_and_government,1163.25,0.067453,0.072714,12.0
40,6.0,29.0,24165874.0,1986 Vrancea earthquake,0.287777841091156,Q4115010,Geography.Regions.Europe.Europe*,1163.25,0.067453,0.072714,12.0
41,6.0,29.0,24165874.0,1986 Vrancea earthquake,0.22271016240119934,Q4115010,Geography.Regions.Asia.Asia*,1163.25,0.067453,0.072714,12.0
42,6.0,29.0,24165874.0,1986 Vrancea earthquake,0.20690405368804932,Q4115010,Geography.Regions.Americas.North_America,1163.25,0.067453,0.072714,12.0
