,Main_Topics,Higher_Weighted_Article
0,Sports (0.24) / Society (0.01) / Media* (0.01) ,Ligue Europa 2017-2018 (522)
1,Media* (0.12) / Films (0.06) / Society (0.02) ,Le Dernier Tango à Paris (762)
2,Media* (0.15) / Music (0.09) / Society (0.05) ,Genre musical (1382)
3,Sports (0.23) / Architecture (0.01) / Visual_arts* (0.01) ,Championnat de France féminin de football (283)
4,Politics_and_government (0.08) / Military_and_warfare (0.05) / Society (0.06) ,Mouvement des non-alignés (688)
5,Politics_and_government (0.12) / Business_and_economics (0.04) / Society (0.03) ,Pascal Canfin (161)
6,Politics_and_government (0.09) / Military_and_warfare (0.05) / History (0.03) ,Social-démocratie (383)
7,Military_and_warfare (0.15) / Politics_and_government (0.09) / Society (0.04) ,Crise russo-turque de 2015 (3795)
8,Media* (0.16) / Films (0.06) / Literature (0.04) ,Abyss (film) (373)
9,Media* (0.13) / Internet_culture (0.03) / Video_games (0.03) ,Gameplay (310)
10,History (0.1) / Linguistics (0.03) / Society (0.06) ,Liste des rois de Sicile (34)
11,Sports (0.25) / Media* (0.01) / Business_and_economics (0.01) ,Louis Picamoles (1006)
12,Media* (0.21) / Music (0.18) / Business_and_economics (0.01) ,Paradize (138)
13,Military_and_warfare (0.16) / Politics_and_government (0.05) / Philosophy_and_religion (0.04) ,Bataille de Qamichli (982)
14,History (0.06) / Politics_and_government (0.07) / Media* (0.03) ,Histoire du Pakistan (35)
15,Sports (0.26) / Europe* (0.22) / Western_Europe (0.13) ,Georginio Wijnaldum (607)
16,Media* (0.15) / Music (0.1) / Literature (0.05) ,Je vole (chanson) (47)
17,Sports (0.1) / Media* (0.07) / Television (0.01) ,Nicolas Mahut (521)
18,History (0.14) / Military_and_warfare (0.1) / Philosophy_and_religion (0.14) ,Dioclétien (18)
