,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y
0,4.0,477.0,Bengali,1.0,0.9802908897399902,Q9610,Geography.Regions.Asia.Asia*,13.0,0.0,95.0,14.0,175.0,13.913044000000001,8.631614,6.4280040000000005
1,4.0,477.0,Bengali,1.0,0.979677677154541,Q9610,Geography.Regions.Asia.South_Asia,13.0,0.0,95.0,14.0,175.0,13.913044000000001,8.631614,6.4280040000000005
2,4.0,477.0,Bengali,1.0,0.9481645226478577,Q9610,Culture.Linguistics,13.0,0.0,95.0,14.0,175.0,13.913044000000001,8.631614,6.4280040000000005
3,3.0,898.0,Douglas MacArthur,0.0,0.9970290064811707,Q127417,Culture.Biography.Biography*,170.0,3141.0,44.0,2.0,235.0,12.608696,-13.697391,11.552361999999999
4,3.0,898.0,Douglas MacArthur,0.0,0.983095109462738,Q127417,History_and_Society.Military_and_warfare,170.0,3141.0,44.0,2.0,235.0,12.608696,-13.697391,11.552361999999999
5,3.0,898.0,Douglas MacArthur,0.0,0.037993239402770995,Q127417,Geography.Regions.Americas.North_America,170.0,3141.0,44.0,2.0,235.0,12.608696,-13.697391,11.552361999999999
6,3.0,898.0,Douglas MacArthur,0.0,0.0,Q127417,Geography.Regions.Asia.Asia*,170.0,3141.0,44.0,2.0,235.0,12.608696,-13.697391,11.552361999999999
7,29.0,1328.0,Genre musical,14.0,0.8080772161483765,Q188451,Culture.Media.Media*,49.0,62108.403465540716,164.0,2.0,0.0,46.52174,6.634841000000001,-24.199846
8,29.0,1328.0,Genre musical,14.0,0.3415925204753876,Q188451,Culture.Media.Music,49.0,62108.403465540716,164.0,2.0,0.0,46.52174,6.634841000000001,-24.199846
9,3.0,2335.0,Prix Nobel de physiologie ou médecine,2.0,0.8596737384796143,Q80061,History_and_Society.Society,88.0,1049.0,77.0,4.0,193.0,12.608696,5.0033970000000005,18.731189999999998
10,3.0,2335.0,Prix Nobel de physiologie ou médecine,2.0,0.5544804334640503,Q80061,STEM.STEM*,88.0,1049.0,77.0,4.0,193.0,12.608696,5.0033970000000005,18.731189999999998
