Index,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
1737,7.0,416325.0,Casino Royale (roman),0.9984612464904784,Q1047711,Culture.Media.Films,10.0,5300.039536248532,121.0,0.0,114.0,27.419353000000005,-5.125354,1.2065516,10.0,99.0,0.10101010101010101,Films,Culture,69.89228725433348,998.7927885651588,0.0699767640040123
1738,7.0,416325.0,Casino Royale (roman),0.9982553720474244,Q1047711,Culture.Media.Media*,10.0,5300.039536248532,121.0,0.0,114.0,27.419353000000005,-5.125354,1.2065516,10.0,99.0,0.10101010101010101,Media*,Culture,69.87787604331972,998.7927885651588,0.06996233537459212
2880,7.0,1304665.0,Le Chiffre,0.9908843636512756,Q2136439,Culture.Media.Films,10.0,2601.1996722575627,121.0,0.0,114.0,27.419353000000005,10.69974,-17.278412,10.0,99.0,0.10101010101010101,Films,Culture,69.3619054555893,998.7927885651588,0.06944574114840467
2081,7.0,654944.0,René Mathis,0.9841036200523376,Q3426611,Culture.Media.Media*,10.0,1756.345322582431,121.0,0.0,114.0,27.419353000000005,11.877198,-2.9813259,10.0,99.0,0.10101010101010101,Media*,Culture,68.88725340366364,998.7927885651588,0.06897051539851962
2881,7.0,1304665.0,Le Chiffre,0.9790457487106324,Q2136439,Culture.Media.Media*,10.0,2601.1996722575627,121.0,0.0,114.0,27.419353000000005,10.69974,-17.278412,10.0,99.0,0.10101010101010101,Media*,Culture,68.53320240974428,998.7927885651588,0.06861603647358867
2083,7.0,654944.0,René Mathis,0.8872146010398865,Q3426611,Culture.Media.Films,10.0,1756.345322582431,121.0,0.0,114.0,27.419353000000005,11.877198,-2.9813259,10.0,99.0,0.10101010101010101,Films,Culture,62.10502207279205,998.7927885651588,0.062180086584336075
2770,6.0,1194143.0,Vesper Lynd,0.9987257122993468,Q2608715,Culture.Media.Films,10.0,725.2776726885068,121.0,0.0,114.0,24.516129,14.523491,-19.342804,10.0,99.0,0.10101010101010101,Films,Culture,59.9235427379608,998.7927885651588,0.059995970559664824
2772,6.0,1194143.0,Vesper Lynd,0.9919480085372924,Q2608715,Culture.Media.Media*,10.0,725.2776726885068,121.0,0.0,114.0,24.516129,14.523491,-19.342804,10.0,99.0,0.10101010101010101,Media*,Culture,59.516880512237535,998.7927885651588,0.05958881681328319
741,5.0,104259.0,"Casino Royale (film, 1967)",0.9958112239837646,Q591272,Culture.Media.Media*,10.0,14346.289322478833,121.0,0.0,114.0,21.612904,-1.5741464,22.066938,10.0,99.0,0.10101010101010101,Media*,Culture,49.79056119918823,998.7927885651588,0.04985074158446431
742,5.0,104259.0,"Casino Royale (film, 1967)",0.9939124584197998,Q591272,Culture.Media.Films,10.0,14346.289322478833,121.0,0.0,114.0,21.612904,-1.5741464,22.066938,10.0,99.0,0.10101010101010101,Films,Culture,49.69562292098999,998.7927885651588,0.04975568855716459
