,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic,Label_en
0,2.0,78.0,Año bisiesto,0.12253321707248688,Q19828,Culture.Philosophy_and_religion,78.0,626.0,2.0,208283.0,0.2450664341449737,Culture,Philosophy_and_religion,Leap-year
1,9.0,9213.0,Plácido Domingo,0.8840492963790894,Q130853,Culture.Media.Music,9213.0,72581.25910422916,6.0,26599.0,7.956443667411804,Culture,Music,Placido Domingo
2,3.0,23809.0,Enrico Caruso,0.5698626637458801,Q170726,Culture.Media.Media*,23809.0,312.0,6.0,2578.0,1.7095879912376404,Culture,Media*,Enrico Caruso
3,2.0,25141.0,Cluj-Napoca,0.1778208613395691,Q100188,History_and_Society.History,25141.0,47432.0,16.0,3300.0,0.3556417226791382,History_and_Society,History,Cluj-Napoca
4,5.0,26372.0,Miramax,0.9914325475692748,Q465449,Culture.Media.Films,26372.0,1251.0,2.0,2245.0,4.957162737846374,Culture,Films,Miramax
5,4.0,26765.0,Pagliacci,0.9992306232452391,Q248644,Culture.Performing_arts,26765.0,938.0,6.0,2821.0,3.9969224929809566,Culture,Performing_arts,Pagliacci
6,1.0,27682.0,Fitzcarraldo,0.9706977605819702,Q698111,Culture.Media.Media*,27682.0,0.0,6.0,1733.0,0.9706977605819702,Culture,Media*,Fitzcarraldo
7,4.0,29495.0,Archipiélago Juan Fernández,0.1732981950044632,Q156325,STEM.Earth_and_environment,29495.0,1824.3097680097646,1.0,2912.0,0.6931927800178528,STEM,Earth_and_environment,Juan Fernández Archipelago
8,2.0,40070.0,La Puebla del Río,1.0000100135803225,Q1605737,Geography.Regions.Europe.Southern_Europe,40070.0,626.0,4.0,901.0,0.0,Geography,Southern_Europe,The Puebla del Río
9,3.0,41108.0,Presidente de la Junta de Andalucía,0.23371636867523202,Q2748453,History_and_Society.Politics_and_government,41108.0,626.0,4.0,2305.0,0.7011491060256961,History_and_Society,Politics_and_government,President of the Junta de Andalucía
10,3.0,43250.0,James Horner,0.9019306898117064,Q106221,Culture.Media.Media*,43250.0,1251.0,5.0,2289.0,2.705792069435119,Culture,Media*,James Horner
11,2.0,45067.0,Federico Luppi,0.997120440006256,Q1393963,Culture.Biography.Biography*,45067.0,2492.0,5.0,2028.0,0.0,Culture,Biography*,Federico Luppi
12,3.0,45137.0,Arturo Prat,0.4532718360424042,Q715410,History_and_Society.Military_and_warfare,45137.0,268.2165367965369,1.0,3832.0,1.3598155081272123,History_and_Society,Military_and_warfare,Arturo Prat
13,5.0,46661.0,Martina Hingis,0.9916942119598388,Q134720,Culture.Sports,46661.0,17910.0,9.0,2170.0,4.9584710597991934,Culture,Sports,Martina Hingis
14,1.0,48105.0,El Palmar (Murcia),0.9481645226478576,Q1324420,Geography.Regions.Europe.Southern_Europe,48105.0,0.0,9.0,1310.0,0.0,Geography,Southern_Europe,El Palmar (Murcia)
15,1.0,49160.0,Talibán,0.9724247455596924,Q42418,History_and_Society.Politics_and_government,49160.0,0.0,2.0,8059.0,0.9724247455596924,History_and_Society,Politics_and_government,Taliban
16,3.0,50214.0,John Glenn,0.8933194279670715,Q182642,History_and_Society.Transportation,50214.0,312.0,6.0,2018.0,2.6799582839012146,History_and_Society,Transportation,John Glenn
17,5.0,50893.0,Anwar el-Sadat,0.5775054097175598,Q42013,History_and_Society.Military_and_warfare,50893.0,15892.1012620712,2.0,3726.0,2.887527048587799,History_and_Society,Military_and_warfare,Anwar el-Sadat
18,2.0,54397.0,Juegos Olímpicos de París 1900,0.8221991658210754,Q8088,Culture.Sports,54397.0,626.0,14.0,3097.0,1.6443983316421509,Culture,Sports,Paris Olympics 1900
19,2.0,55346.0,Tennessee Williams,0.5000100135803223,Q134262,Culture.Performing_arts,55346.0,626.0,6.0,2406.0,1.0000200271606443,Culture,Performing_arts,Tennessee Williams
20,1.0,58768.0,Enemy at the Gates,0.994455099105835,Q271006,Culture.Media.Films,58768.0,0.0,5.0,2046.0,0.994455099105835,Culture,Films,Enemy at the Gates
21,1.0,59115.0,Gabriel Batistuta,0.951152205467224,Q170376,Culture.Sports,59115.0,0.0,8.0,10536.0,0.951152205467224,Culture,Sports,Gabriel Batistuta
22,1.0,59124.0,Año secular,0.3140605390071869,Q2378962,Culture.Media.Films,59124.0,0.0,2.0,1256.0,0.3140605390071869,Culture,Films,Secular year
23,1.0,61825.0,Kim Clijsters,0.99219411611557,Q11685,Culture.Sports,61825.0,0.0,3.0,4765.0,0.99219411611557,Culture,Sports,Kim Clijsters
24,5.0,64791.0,Juegos Olímpicos de Sídney 2000,0.9173126816749572,Q8544,Culture.Sports,64791.0,31602.0,3.0,2725.0,4.5865634083747855,Culture,Sports,Sydney 2000 Olympics
25,4.0,68771.0,Ceará,0.4301573634147644,Q40123,Geography.Regions.Americas.South_America,68771.0,3762.6000000000013,19.0,1919.0,0.0,Geography,South_America,Ceará
26,3.0,75887.0,Franz Ferdinand,0.8479777574539185,Q173180,Culture.Media.Media*,75887.0,12746.0,18.0,3430.0,2.543933272361756,Culture,Media*,Franz Ferdinand
27,3.0,88438.0,Talcahuano,0.9433575868606568,Q41997,Geography.Regions.Americas.South_America,88438.0,4294.888095238128,1.0,2368.0,0.0,Geography,South_America,Talcahuano
28,6.0,91484.0,Venus Williams,0.9324633479118348,Q11578,Culture.Sports,91484.0,802.9999999999957,9.0,3293.0,5.594780087471008,Culture,Sports,Venus Williams
29,1.0,92520.0,Juan Diego Flórez,0.966924011707306,Q160427,Culture.Media.Music,92520.0,0.0,6.0,3690.0,0.966924011707306,Culture,Music,Juan Diego Flórez
30,4.0,92905.0,Curro Romero,0.9783946871757508,Q3007736,Culture.Biography.Biography*,92905.0,4340.000000000001,4.0,3938.0,0.0,Culture,Biography*,Curro Romero
31,1.0,95096.0,Consuegra,0.9994397163391112,Q919046,Geography.Regions.Europe.Southern_Europe,95096.0,0.0,6.0,2096.0,0.0,Geography,Southern_Europe,Consuegra
32,4.0,98583.0,Universidad César Vallejo Club de Fútbol,0.5234303474426271,Q603023,Culture.Sports,98583.0,1872.5,11.0,2244.0,2.0937213897705083,Culture,Sports,César Vallejo University Football Club
33,1.0,99349.0,Transformismo,1.0000100135803225,Q431604,History_and_Society.Society,99349.0,0.0,10.0,1923.0,1.0000100135803225,History_and_Society,Society,Transformism
34,4.0,110034.0,Prueba de Selección Universitaria,0.16027602553367615,Q1614477,History_and_Society.Business_and_economics,110034.0,1211.4775335775346,1.0,1892.0,0.6411041021347046,History_and_Society,Business_and_economics,University Selection Test
