,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic,Label_en
0,1.0,101.0,Americium,0.9539760947227478,Q1872,STEM.Chemistry,101.0,0.0,24.0,2005.0,0.9539760947227478,STEM,Chemistry,Americium
1,5.0,134.0,"Arthur Wellesley, 1. Duke of Wellington",0.6992644667625427,Q131691,History_and_Society.Military_and_warfare,134.0,58421.20278006296,6.0,8803.0,3.4963223338127136,History_and_Society,Military_and_warfare,"Arthur Wellesley, 1st Duke of Wellington"
2,1.0,299.0,Alexandre Dumas der Jüngere,0.3923468291759491,Q169150,Culture.Literature,299.0,0.0,6.0,6315.0,0.3923468291759491,Culture,Literature,Alexandre Dumas the Younger
3,2.0,645.0,Bata Illic,0.320831298828125,Q810689,Culture.Media.Music,645.0,13143.0,9.0,2388.0,0.64166259765625,Culture,Music,Bata Illic
4,5.0,646.0,Bernhard Grzimek,0.996837317943573,Q65906,Culture.Biography.Biography*,646.0,124006.3568275844,0.0,2870.0,0.0,Culture,Biography*,Bernhard Grzimek
5,6.0,1015.0,David Wark Griffith,0.2814156115055084,Q51123,Culture.Media.Media*,1015.0,14201.05872296609,24.0,1370.0,1.6884936690330503,Culture,Media*,David Wark Griffith
6,1.0,1164.0,Domäne (Biologie),0.9994215965270996,Q146481,STEM.Biology,1164.0,0.0,29.0,15559.0,0.9994215965270996,STEM,Biology,Domain (biology)
7,1.0,1215.0,Düssel,0.9983093142509459,Q701645,Geography.Regions.Europe.Western_Europe,1215.0,0.0,20.0,1908.0,0.0,Geography,Western_Europe,Düssel
8,1.0,1227.0,Diogenes von Sinope,0.9755869507789612,Q59180,Culture.Philosophy_and_religion,1227.0,0.0,0.0,5406.0,0.9755869507789612,Culture,Philosophy_and_religion,Diogenes by Sinope
9,4.0,1572.0,Fred Zinnemann,0.13661839067935946,Q55420,Culture.Media.Media*,1572.0,8799.682611832615,8.0,1314.0,0.5464735627174379,Culture,Media*,Fred Zinnemann
10,1.0,1675.0,DR 877,0.9615437984466552,Q638825,History_and_Society.Transportation,1675.0,0.0,29.0,2944.0,0.9615437984466552,History_and_Society,Transportation,DR 877
11,3.0,1702.0,Flörsheim am Main,1.0000100135803225,Q622593,Geography.Regions.Europe.Western_Europe,1702.0,3956.500043693439,20.0,4309.0,0.0,Geography,Western_Europe,Florsheim am Main
12,24.0,2130.0,Bezirk Hamburg-Nord,0.9381340146064758,Q1627,Geography.Regions.Europe.Western_Europe,2130.0,7399.446464484913,27.0,1685.0,0.0,Geography,Western_Europe,Hamburg-Nord district
13,6.0,2259.0,Die Abenteuer des Huckleberry Finn,0.9659096002578736,Q215410,Culture.Literature,2259.0,6407.37970652663,23.0,16052.0,5.795457601547242,Culture,Literature,The adventures of the Huckleberry Finn
14,8.0,2265.0,Hudson River,0.11280541121959685,Q3140,History_and_Society.Society,2265.0,11744.713604658207,5.0,2929.0,0.9024432897567748,History_and_Society,Society,Hudson River
15,13.0,2473.0,John Ford,0.4225146472454071,Q51114,History_and_Society.Military_and_warfare,2473.0,21898.99068821346,8.0,2716.0,5.492690414190292,History_and_Society,Military_and_warfare,John Ford
16,7.0,2605.0,Künstler,0.38492217659950256,Q483501,History_and_Society.Business_and_economics,2605.0,128032.37550259016,22.0,2456.0,2.694455236196518,History_and_Society,Business_and_economics,Artist
17,115.0,2648.0,Köln,0.16452647745609286,Q365,History_and_Society.History,2648.0,2362972.437919719,20.0,73713.0,18.92054490745068,History_and_Society,History,Cologne
18,1.0,3201.0,Mira Sorvino,0.1968362182378769,Q212026,Culture.Media.Media*,3201.0,0.0,1.0,2696.0,0.1968362182378769,Culture,Media*,Mira Sorvino
19,8.0,3373.0,Mark Twain,0.7879412174224854,Q7245,Culture.Literature,3373.0,34880.89450318587,23.0,15418.0,6.303529739379883,Culture,Literature,Mark Twain
20,5.0,3377.0,Marschflugkörper,0.880807101726532,Q181860,History_and_Society.Military_and_warfare,3377.0,1040.6642813105966,32.0,2420.0,4.40403550863266,History_and_Society,Military_and_warfare,Cruise missile
21,10.0,3768.0,Liste der Städte und Gemeinden in Baden-Württemberg,1.0,Q323129,Compilation.List_Disambig,3768.0,91776.8724328978,2.0,2237.0,0.0,Compilation,List_Disambig,List of cities and towns in Baden-Württemberg
22,1.0,3771.0,Liste der Städte und Gemeinden in Brandenburg,1.0,Q314034,Compilation.List_Disambig,3771.0,0.0,22.0,1329.0,0.0,Compilation,List_Disambig,List of cities and towns in Brandenburg
23,3.0,3778.0,Liste der Städte und Gemeinden in Sachsen,1.0,Q446697,Compilation.List_Disambig,3778.0,36487.817260644304,2.0,2152.0,0.0,Compilation,List_Disambig,List of cities and towns in Saxony
24,1.0,3828.0,"Paul Verhoeven (Regisseur, 1938)",0.23371636867523202,Q129079,Culture.Media.Media*,3828.0,0.0,8.0,2860.0,0.23371636867523202,Culture,Media*,"Paul Verhoeven (director, 1938)"
25,2.0,3916.0,Poltergeist,0.9481645226478576,Q216893,Culture.Philosophy_and_religion,3916.0,0.0,8.0,2093.0,1.896329045295715,Culture,Philosophy_and_religion,poltergeist
