,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
48,Лавра,48,4,29,20924.529614894236,Q824786
580,"Бернстайн, Леонард",580,1,3,0.0,Q152505
1090,Тегеран-43,1090,3,10,6932.042973603767,Q1125687
1179,"Филозов, Альберт Леонидович",1179,6,3,143522.1246906703,Q3391400
1182,"Стриженов, Глеб Александрович",1182,1,3,0.0,Q4443978
1618,Днестр,1618,5,14,7831.979345752427,Q131210
1644,"Чирков, Борис Петрович",1644,3,3,14475.178825480638,Q584450
2846,Малайзия,2846,18,9,41110.69317140936,Q833
3388,Административное деление Украины,3388,27,14,35378.49238252213,Q203323
3484,"Миних, Бурхард Кристоф",3484,4,16,3895.0,Q61710
4089,Керченский пролив,4089,18,20,6740.306509703851,Q187890
4730,Николаевская область,4730,14,14,19989.9588580569,Q181633
6333,"Крикалёв, Сергей Константинович",6333,2,18,3894.0,Q313815
6540,"Горбатко, Виктор Васильевич",6540,1,18,0.0,Q348205
6605,"Гречко, Георгий Михайлович",6605,2,15,0.0,Q434555
7133,"Егоров, Борис Борисович",7133,2,18,1948.0,Q352137
7322,"Говорухин, Станислав Сергеевич",7322,6,10,23243.917899505956,Q1377159
8561,Малая Русь,8561,11,14,71694.92795536853,Q1048315
8868,Непарнокопытные,8868,3,23,13594.0,Q25374
9288,Белая (приток Камы),9288,2,11,0.0,Q192157
9289,Уравнение Дрейка,9289,12,13,3075.648484848428,Q180316
9379,Вятка (река),9379,3,11,11658.0,Q192495
9392,Миасс (река),9392,1,11,0.0,Q642028
9396,Исеть,9396,3,11,3895.0,Q874369
9782,Ё,9782,2,3,1948.0,Q30955
9838,Чусовая,9838,4,11,7783.0,Q756091
9971,Морская миля,9971,30,20,4724.283101050329,Q93318
9972,Кабельтов,9972,1,20,0.0,Q899762
9998,РЖД Арена,9998,4,7,3950.4292317837217,Q595937
10293,Скандий,10293,8,31,1552.8000000000127,Q713
10328,История гимнов России и СССР,10328,5,10,3489.041636303421,Q2177093
10582,"Михалков, Сергей Владимирович",10582,12,10,81149.56671917289,Q208116
11105,"Родимцев, Александр Ильич",11105,1,5,0.0,Q350095
11553,Орбитальная станция,11553,4,18,21349.0,Q25956
12299,Индий,12299,8,31,1552.8000000000127,Q1094
12709,Альфа-распад,12709,1,31,0.0,Q179856
12883,"Ламарк, Жан Батист",12883,1,25,0.0,Q82122
13939,Тербий,13939,7,31,0.0,Q1838
13941,Гольмий,13941,7,31,0.0,Q1846
13943,Тулий,13943,8,31,1552.8000000000127,Q1853
13947,Лютеций,13947,8,31,1552.8000000000127,Q1857
13994,Ливны,13994,1,10,0.0,Q157576
14301,Морская пехота,14301,7,20,11397.276926806264,Q1898583
14880,"Френкель, Ян Абрамович",14880,1,2,0.0,Q771374
16528,"Гараж (фильм, 1979)",16528,12,12,4817.638680772705,Q1212842
17885,HD 209458 b,17885,1,15,0.0,Q272085
18690,Шерпы,18690,2,9,0.0,Q200513
19374,Президентские выборы на Украине (2004),19374,18,14,14173.892017785087,Q568458
19578,"Бертолуччи, Бернардо",19578,31,6,22997.710927338918,Q53009
20554,Битва при Нарве,20554,3,16,2689.392282693956,Q155726
20622,Хассий,20622,8,31,1552.8000000000127,Q1252
21068,Фарватер,21068,4,20,8174.806093084942,Q1138251
21645,"Харлампиев, Анатолий Аркадьевич",21645,5,1,2917.5,Q3615112
22148,"Тарантино, Квентин",22148,6,10,23987.470772340173,Q3772
23899,Апостол Филипп,23899,2,29,0.0,Q43675
24029,Хемниц,24029,3,1,3894.0,Q2795
25375,"Ким, Юлий Черсанович",25375,5,3,39659.42694577033,Q750943
25700,"Тихонов, Андрей Валерьевич",25700,3,7,112.19466698977139,Q502637
25865,Акватория,25865,8,20,9077.355877759715,Q2507626
26385,"Кинах, Анатолий Кириллович",26385,9,14,20777.83914841464,Q488180
26445,"Червоненко, Евгений Альфредович",26445,3,14,3.0758980785296575,Q768533
27057,Монгольская Народная Республика,27057,2,4,1947.9999999999998,Q212056
27221,Абордаж,27221,2,20,36.11463072767235,Q648919
29372,"Кошевой, Олег Васильевич",29372,2,14,0.0,Q2623768
29714,"Гонгадзе, Георгий Русланович",29714,5,14,10.558297866581762,Q263598
31419,"Александров, Александр Васильевич",31419,4,10,3894.0,Q319708
32057,Салгир,32057,1,14,0.0,Q737640
32416,"Наумов, Владимир Наумович",32416,6,10,131640.8977699937,Q2360791
33986,"Адабашьян, Александр Артёмович",33986,8,10,173619.04281473544,Q4057207
34642,Яуза,34642,1,3,0.0,Q1126808
35182,Михалковы,35182,5,10,0.0,Q1930496
35477,"Шнуров, Сергей Владимирович",35477,1,1,0.0,Q921496
35725,Инфибуляция,35725,1,9,0.0,Q1662388
36381,"Чапек, Карел",36381,3,3,29131.241398094007,Q155855
36569,Дирижёр,36569,2,24,1947.9999999999995,Q158852
40391,Спирит (марсоход),40391,17,15,145.47323868941513,Q176276
40475,Пимен (патриарх Московский),40475,2,24,0.0,Q547687
40573,Сура (приток Волги),40573,1,11,0.0,Q209891
41744,Вадуц,41744,5,8,13604.0,Q1844
42364,Марсоход,42364,16,15,340.1157171052734,Q389459
43016,Эфир (стихия),43016,3,19,3895.0,Q381913
43217,"Руст, Матиас",43217,3,3,19934.475327849497,Q76657
43702,Пионер-10,43702,1,13,0.0,Q59103
45052,Граф Сен-Жермен,45052,1,19,0.0,Q158208
