,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,4.0,48.0,Лавра,0.3998216390609741,Q824786,Culture.Philosophy_and_religion,20924.52961489424,29.0,3548.0,1.5992865562438965,Culture,Philosophy_and_religion
1,1.0,580.0,"Бернстайн, Леонард",0.9433575868606568,Q152505,Culture.Media.Music,0.0,3.0,2991.0,0.9433575868606568,Culture,Music
2,3.0,1090.0,Тегеран-43,0.9637899398803712,Q1125687,Culture.Media.Films,6932.042973603767,10.0,2790.0,2.8913698196411137,Culture,Films
3,6.0,1179.0,"Филозов, Альберт Леонидович",0.3276783227920532,Q3391400,History_and_Society.Society,143522.1246906703,3.0,2956.0,1.9660699367523193,History_and_Society,Society
4,1.0,1182.0,"Стриженов, Глеб Александрович",0.3140605390071869,Q4443978,History_and_Society.Military_and_warfare,0.0,3.0,2722.0,0.3140605390071869,History_and_Society,Military_and_warfare
5,5.0,1618.0,Днестр,0.2689514458179474,Q131210,History_and_Society.Society,7831.979345752426,14.0,3233.0,1.344757229089737,History_and_Society,Society
6,3.0,1644.0,"Чирков, Борис Петрович",0.6224693655967712,Q584450,History_and_Society.Military_and_warfare,14475.178825480638,3.0,3254.0,1.8674080967903137,History_and_Society,Military_and_warfare
7,18.0,2846.0,Малайзия,0.18714269995689392,Q833,History_and_Society.Society,41110.69317140936,9.0,44291.0,3.3685685992240906,History_and_Society,Society
8,27.0,3388.0,Административное деление Украины,0.4889964332580566,Q203323,Geography.Regions.Europe.Eastern_Europe,35378.49238252213,14.0,9276.0,0.0,Geography,Eastern_Europe
9,4.0,3484.0,"Миних, Бурхард Кристоф",0.6442351341247559,Q61710,History_and_Society.Military_and_warfare,3895.0,16.0,3040.0,2.5769405364990234,History_and_Society,Military_and_warfare
10,18.0,4089.0,Керченский пролив,0.7057950496673584,Q187890,History_and_Society.Society,6740.3065097038525,20.0,38541.0,12.704310894012451,History_and_Society,Society
11,14.0,4730.0,Николаевская область,0.9972950220108032,Q181633,Geography.Regions.Europe.Eastern_Europe,19989.9588580569,14.0,2535.0,0.0,Geography,Eastern_Europe
12,2.0,6333.0,"Крикалёв, Сергей Константинович",1.0000100135803225,Q313815,STEM.Technology,3894.0,18.0,2506.0,2.000020027160645,STEM,Technology
13,1.0,6540.0,"Горбатко, Виктор Васильевич",0.983095109462738,Q348205,STEM.Space,0.0,18.0,2132.0,0.983095109462738,STEM,Space
14,2.0,6605.0,"Гречко, Георгий Михайлович",0.9980222582817078,Q434555,STEM.Space,0.0,15.0,2479.0,1.9960445165634155,STEM,Space
15,2.0,7133.0,"Егоров, Борис Борисович",0.7931159734725952,Q352137,History_and_Society.Society,1948.0,18.0,2864.0,1.5862319469451904,History_and_Society,Society
16,6.0,7322.0,"Говорухин, Станислав Сергеевич",0.59267657995224,Q1377159,History_and_Society.Society,23243.917899505963,10.0,14004.0,3.55605947971344,History_and_Society,Society
17,11.0,8561.0,Малая Русь,0.8774868249893188,Q1048315,History_and_Society.Society,71694.92795536852,14.0,2845.0,9.652355074882507,History_and_Society,Society
