,Degree,Eccentricity,Id,Label,Probability,Qid,Topic,betweenesscentrality,closnesscentrality,harmonicclosnesscentrality,modularity_class
0,2.0,28.0,20662226.0,Potentially hazardous object,0.9173126816749573,Q2014814,STEM.STEM*,0.0,0.081331,0.094889,3.0
1,2.0,28.0,20662226.0,Potentially hazardous object,0.771853506565094,Q2014814,STEM.Space,0.0,0.081331,0.094889,3.0
2,2.0,28.0,20662226.0,Potentially hazardous object,0.21734751760959625,Q2014814,STEM.Medicine_&_Health,0.0,0.081331,0.094889,3.0
3,2.0,28.0,20662226.0,Potentially hazardous object,0.1294127255678177,Q2014814,STEM.Biology,0.0,0.081331,0.094889,3.0
4,2.0,28.0,20662226.0,Potentially hazardous object,0.11597072333097458,Q2014814,STEM.Technology,0.0,0.081331,0.094889,3.0
5,2.0,28.0,20662226.0,Potentially hazardous object,0.0,Q2014814,Geography.Regions.Asia.Asia*,0.0,0.081331,0.094889,3.0
6,2.0,34.0,53327602.0,Steven Engel,0.9963027834892273,Q28858779,Culture.Biography.Biography*,43320.0,0.06792100000000001,0.076312,36.0
7,2.0,34.0,53327602.0,Steven Engel,0.11597072333097458,Q28858779,History_and_Society.Politics_and_government,43320.0,0.06792100000000001,0.076312,36.0
8,2.0,34.0,53327602.0,Steven Engel,0.0,Q28858779,Geography.Regions.Americas.North_America,43320.0,0.06792100000000001,0.076312,36.0
9,1.0,31.0,39267096.0,David Blumenthal,0.9991804361343384,Q16120254,Culture.Biography.Biography*,0.0,0.08920499999999999,0.105274,4.0
10,1.0,31.0,39267096.0,David Blumenthal,0.0,Q16120254,Geography.Regions.Americas.North_America,0.0,0.08920499999999999,0.105274,4.0
11,9.0,27.0,53880330.0,USL League One,0.8774868249893188,Q30636616,Culture.Sports,223066.186123,0.1094,0.132352,0.0
12,9.0,27.0,53880330.0,USL League One,0.022430347442626952,Q30636616,Geography.Regions.Americas.North_America,223066.186123,0.1094,0.132352,0.0
13,4.0,27.0,55516096.0,"James Burgess (American football, born 1994)",0.9993221759796143,Q42289500,Culture.Biography.Biography*,3621.0,0.099067,0.118057,24.0
14,4.0,27.0,55516096.0,"James Burgess (American football, born 1994)",0.9748311638832092,Q42289500,Culture.Sports,3621.0,0.099067,0.118057,24.0
15,4.0,27.0,55516096.0,"James Burgess (American football, born 1994)",0.21760438585281372,Q42289500,Geography.Regions.Americas.North_America,3621.0,0.099067,0.118057,24.0
16,1.0,38.0,3282854.0,Black cap,0.28694121742248535,Q4922286,Geography.Regions.Europe.Europe*,0.0,0.055366,0.061814,28.0
17,1.0,38.0,3282854.0,Black cap,0.1778208613395691,Q4922286,Culture.Visual_arts.Visual_arts*,0.0,0.055366,0.061814,28.0
18,1.0,38.0,3282854.0,Black cap,0.022430347442626952,Q4922286,Geography.Regions.Europe.Northern_Europe,0.0,0.055366,0.061814,28.0
19,6.0,34.0,4207542.0,Cast a Dark Shadow,0.9859463572502136,Q5049546,Culture.Media.Films,54143.0,0.065955,0.073509,30.0
20,6.0,34.0,4207542.0,Cast a Dark Shadow,0.982567548751831,Q5049546,Culture.Media.Media*,54143.0,0.065955,0.073509,30.0
21,6.0,34.0,4207542.0,Cast a Dark Shadow,0.0,Q5049546,Geography.Regions.Europe.Northern_Europe,54143.0,0.065955,0.073509,30.0
