,Id,Label,modularity_class,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Qid
0,20662226,Potentially hazardous object,3,2,28,0.081331,0.094889,0.0,Q2014814
1,53327602,Steven Engel,36,2,34,0.06792100000000001,0.076312,43320.0,Q28858779
2,39267096,David Blumenthal,4,1,31,0.08920499999999999,0.105274,0.0,Q16120254
3,53880330,USL League One,0,9,27,0.1094,0.132352,223066.186123,Q30636616
4,55516096,"James Burgess (American football, born 1994)",24,4,27,0.099067,0.118057,3621.0,Q42289500
5,3282854,Black cap,28,1,38,0.055366,0.061814,0.0,Q4922286
6,4207542,Cast a Dark Shadow,30,6,34,0.065955,0.073509,54143.0,Q5049546
7,34459716,Bryant Jennings,15,3,34,0.064469,0.071351,163139.183333,Q4160171
8,35649246,Blair Walsh,24,14,25,0.11948299999999999,0.159276,24269.554771,Q3640832
9,9921770,1st Primetime Emmy Awards,7,9,28,0.095449,0.117878,328.451025,Q1338803
10,24043868,Doc Holliday (American football),8,5,28,0.098064,0.116085,2003.6538100000002,Q5287062
11,3637940,Japanese cruiser Mogami (1934),28,3,36,0.062344000000000004,0.07512200000000001,34031.974854,Q1850384
12,647880,Ramzan Kadyrov,15,2,41,0.044802999999999996,0.049747,7240.0,Q217115
13,16850928,Kyle Stanley,32,2,29,0.092622,0.10908699999999999,3931.4223939999997,Q2314127
14,12139176,Dentinho,42,1,31,0.073575,0.086873,0.0,Q514577
15,671806,Skrull,40,21,27,0.10094500000000001,0.126849,11313.532067,Q637245
16,48060758,National Rugby League reserves affiliations,14,12,30,0.09047100000000001,0.112025,997.08191,Q24090118
17,43986502,Iranian intervention in Iraq (2014–present),20,5,31,0.070216,0.076834,9780.866667,Q18159592
18,52154470,Josh Reynolds (American football),23,8,29,0.083709,0.096954,0.666667,Q27830869
19,457090,Immortus,40,12,28,0.09352200000000001,0.114524,0.090909,Q3543422
20,18881518,Brian Flores,23,17,25,0.113205,0.146492,8904.50707,Q4963763
21,21188846,Jeremy Bates (American football),24,3,27,0.098571,0.118182,1989.9908469999998,Q6181097
22,27369580,List of Major League Baseball tie-breakers,11,11,27,0.104173,0.130529,38059.429627,Q6589055
23,2512522,Danko Lazović,42,1,31,0.076541,0.088965,0.0,Q311054
24,13196576,List of Superbike World champions,32,1,31,0.08006,0.091612,0.0,Q1292494
25,44316528,Michigan IMG Sports Network,24,5,27,0.10584500000000001,0.1298,4333.576361,Q18763620
26,22977406,2011 AIBA World Boxing Championships,15,1,40,0.046833,0.050983999999999995,0.0,Q649796
27,12807298,Jack Collison,12,1,33,0.06824,0.075698,0.0,Q159130
28,2577252,Pál Dárdai,0,3,28,0.094787,0.10646300000000002,14692.924799,Q742429
29,1688190,Paul Broadhurst,32,1,31,0.080209,0.093565,0.0,Q713266
30,42202024,Tom Langdon,1,13,29,0.089545,0.115525,6725.569969,Q16236283
31,72360,"Flagler County, Florida",15,1,36,0.056951999999999996,0.060772,0.0,Q386885
32,52979922,Marco Simone Golf and Country Club,32,4,30,0.087034,0.103546,0.0,Q28735989
