,Id,Label,modularity_class,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Qid
0,1492374,Nash-Healey,9,1,30,0.06765299999999999,0.0721,0.0,Q1965679
1,81100,Rio Bravo (film),55,6,25,0.082406,0.09215,98264.92709099999,Q1008351
2,58216352,Shreya Dhanwanthary,56,2,28,0.08143099999999999,0.087879,11097.0,Q56240001
3,47375338,Anshu Gupta,68,1,25,0.09196,0.101828,0.0,Q20742881
4,41725258,Shooting at the Asian Games,19,8,26,0.086504,0.098272,179587.233729,Q17125181
5,34400374,Alabama Moon (film),14,1,35,0.051830999999999995,0.05545599999999999,0.0,Q1553438
6,5254422,Speech or Debate Clause,54,6,24,0.106027,0.12405899999999999,11225.720757,Q7575398
7,3892040,Jay Jay French,22,1,25,0.086852,0.09644,0.0,Q2716009
8,10832568,Iran at the 2002 Asian Games,21,4,26,0.09435,0.10753599999999999,4439.185396,Q6066974
9,2821498,Sig Ruman,50,1,32,0.063449,0.06916699999999999,0.0,Q67543
10,4627070,Frogfish,48,2,29,0.070439,0.076152,44376.0,Q540454
11,50528440,August 26th (mixtape),71,1,28,0.073408,0.080108,0.0,Q25096665
12,713030,Lou Whitaker,8,2,28,0.066216,0.069985,0.0,Q3260156
13,31448550,Lace Up,53,3,27,0.085778,0.093577,26672.539681000002,Q72763
14,3457884,Taylor Law,4,2,25,0.096303,0.108052,88720.0,Q7690039
15,5911162,Pat Jones (American football),51,5,27,0.077251,0.08351,3680.333333,Q7143600
16,4825514,Steve McNamara,30,15,27,0.093503,0.105996,97348.644886,Q3499018
17,34879480,Darren Mattocks,57,6,31,0.06514099999999999,0.070089,48067.7,Q3016527
18,42981920,Sebastián Driussi,64,6,25,0.094528,0.107251,0.0,Q11640549
19,366522,Labor Right,72,22,25,0.091783,0.10856800000000001,141.254189,Q6467193
20,1210490,Richard Marcinko,70,1,29,0.068047,0.07331599999999999,0.0,Q977522
21,711264,Marc Bergevin,33,3,26,0.086249,0.094697,4451.582426,Q980115
22,9704012,Tropical cyclone basins,7,6,25,0.09463099999999999,0.106922,1461749.886146,Q198782
23,944620,Markko Märtin,35,1,32,0.062955,0.068405,0.0,Q345176
24,40256608,Abbott Ministry,72,40,25,0.099189,0.119556,18353.851437999998,Q14920420
25,40078632,Miloš Degenek,10,26,26,0.101024,0.12018399999999999,58337.436635000005,Q14309492
26,44368500,HMS Jamaica (1744),29,2,27,0.072917,0.077231,33285.0,Q20642341
27,53417054,Noel Francisco,39,2,27,0.07828,0.085357,22192.0,Q28925007
28,39468402,2013–14 Atlético Madrid season,64,13,24,0.097845,0.114074,1157475.5629969998,Q14425611
29,661672,Floyd James Thompson,54,10,23,0.11503499999999998,0.140585,64217.255115,Q5462453
30,1461470,Great Lakes Storm of 1913,7,1,26,0.086211,0.09433899999999999,0.0,Q1150855
31,595522,Attorney-General for Australia,72,40,25,0.099194,0.119583,70018.81856799999,Q4818607
32,43819564,Taekwondo at the 2014 Asian Games,19,11,27,0.08098999999999999,0.09092599999999999,22437.580329,Q16219649
33,2204292,St. Louis light,29,2,26,0.09018999999999999,0.098452,0.0,Q7589653
34,358194,Cape Coast,68,6,25,0.094792,0.10654200000000001,761.397479,Q221283
35,1328452,Anne Charleston,6,2,30,0.062024,0.066873,0.0,Q4768226
36,16990796,1935–36 Football League,17,1,26,0.087325,0.097724,0.0,Q683989
37,6297944,Lanny Davis,39,7,27,0.078859,0.08802,144155.0,Q1805535
38,55977968,Nowhere Fast (Eminem song),53,17,26,0.09382,0.104798,0.0,Q50986710
39,18864554,Death and state funeral of Richard Nixon,54,6,22,0.120709,0.150383,37658.148661,Q5247273
40,54672828,Ricky Seals-Jones,8,1,25,0.088581,0.09756799999999999,0.0,Q41410312
41,670428,Nadia Petrova,69,14,25,0.103644,0.12325,447.540905,Q11659
42,10146002,Devil May Cry,8,8,24,0.08480599999999999,0.09385299999999999,96064.071429,Q7676662
43,1595330,"Straight, Incorporated",7,2,24,0.100253,0.114961,22192.0,Q7620966
44,32293746,Michael Rooney,71,2,30,0.066288,0.072453,11097.0,Q6833960
45,427116,The Narrows,74,2,23,0.102977,0.11698099999999999,0.0,Q1781097
46,6082436,2005 Notre Dame Fighting Irish football team,13,7,24,0.10271,0.118052,8270.895422,Q4604694
47,43659046,Florent Hadergjonaj,52,3,32,0.055683,0.058740999999999995,1.0,Q17612369
48,22729190,DeMatha Catholic High School,8,6,23,0.107341,0.12335499999999999,712857.86233,Q5244016
49,28564928,Nico Schulz,26,2,27,0.096328,0.112247,3445.487526,Q1350685
50,37084210,Formula One drivers from Australia,44,1,29,0.07821399999999999,0.087752,0.0,Q5470306
51,35552216,Edisson Jordanov,10,1,28,0.08263200000000001,0.090438,0.0,Q822693
52,21898706,Nemanja Supić,10,3,26,0.100624,0.116748,8.398875,Q2715056
53,15637786,Climate of Chile,45,1,26,0.081093,0.087737,0.0,Q4223621
54,51907180,Tang Chun Man,21,9,27,0.09134400000000001,0.10501500000000001,807.376604,Q18175325
55,52993616,List of awards and nominations received by Mahershala Ali,24,2,26,0.088254,0.098994,0.0,Q29914995
56,2041030,Pacific saury,0,3,24,0.098609,0.112094,44379.0,Q1195079
57,28633726,Thilo Sarrazin,4,1,24,0.098707,0.10926300000000001,0.0,Q57954
58,22288080,Binghamton shootings,8,3,22,0.09982100000000001,0.11358199999999999,6347.782781,Q2658753
59,13637390,A.T. Still University,54,1,26,0.080278,0.087219,0.0,Q4647420
60,42202024,Tom Langdon,36,1,33,0.058502,0.061186000000000004,0.0,Q16236283
61,2892114,Creeper (band),76,1,29,0.069592,0.074663,0.0,Q23023097
62,3581950,Gary Patterson,51,1,25,0.091132,0.100515,0.0,Q5525722
63,1066502,Tony Burke,72,23,24,0.098978,0.119229,13109.386611,Q1449483
64,44770,Segesta,27,2,26,0.082563,0.08960800000000001,33285.0,Q692847
65,11814468,1968 Red Square demonstration,20,7,31,0.064141,0.068247,0.0,Q2627784
66,8143594,Smurfit Kappa,45,1,25,0.093325,0.103735,0.0,Q1536176
67,21281430,List of Pixar awards and nominations (feature films),39,2,24,0.100472,0.114461,11097.0,Q6594175
68,2989518,"List of people from Jacksonville, Florida",8,3,21,0.108305,0.126423,698.069076,Q6632500
69,1133558,Town & Country (magazine),54,2,23,0.10969200000000001,0.128093,16917.919469999997,Q647071
70,2473406,Tony Warner,10,1,27,0.085224,0.09554800000000001,0.0,Q1085237
71,56700564,Marco van Staden,3,7,29,0.06868400000000001,0.074037,5.632828,Q50214295
72,524170,St. Lawrence Island,1,2,37,0.044509,0.046403,11097.0,Q638407
73,51693510,Shooting of Keith Lamont Scott,7,2,23,0.099733,0.11295799999999999,0.0,Q26997203
74,4461320,Douglas Brinkley,54,5,23,0.114883,0.140053,735001.984168,Q5301276
75,36256938,Kowsar (disambiguation),51,1,38,0.041843,0.043236000000000004,0.0,Q5575140
76,418570,Hugo Award for Best Dramatic Presentation,17,8,30,0.06692999999999999,0.073401,194603.788463,Q3414212
77,2765314,Eugene Robinson,13,1,25,0.098126,0.110607,0.0,Q5407695
78,45100106,Will Nightingale,10,4,26,0.082683,0.09246499999999999,1702.682986,Q19667173
79,663302,Clonorchis sinensis,77,1,30,0.063523,0.067149,0.0,Q1074210
80,2888556,Macau Grand Prix,44,2,30,0.07279400000000001,0.080208,11097.0,Q1346003
81,193882,Two Women,9,3,29,0.073011,0.077981,0.0,Q128761
82,6299214,Inteha (2003 film),46,1,27,0.075389,0.08156000000000001,0.0,Q6043379
83,30616,Points race,26,1,26,0.09212100000000001,0.103871,0.0,Q2597988
84,33206714,List of rugby union playing countries,3,1,29,0.068285,0.072918,0.0,Q6637006
85,23728072,Pierroth Jr.,46,9,25,0.092396,0.103834,31970.811844,Q7192573
86,7601566,Cecil Kellaway,9,1,31,0.061358,0.064487,0.0,Q891104
87,1439510,K. S. Sudarshan,5,11,29,0.07937999999999999,0.091044,0.770455,Q576365
88,341254,Overtime,54,3,24,0.095331,0.107905,47053.068133,Q667022
89,12472200,Olga Govortsova,19,6,28,0.080069,0.08930700000000001,63971.362797,Q230248
90,1377268,U-Tapao International Airport,54,2,23,0.114599,0.138816,0.0,Q1371432
91,6091746,Taranaki Rugby Football Union,3,4,26,0.08590199999999999,0.095189,59880.811763,Q2393896
92,9927094,Musa Aman,4,1,31,0.062681,0.065585,0.0,Q551611
93,333518,Speaker of the Australian House of Representatives,72,16,25,0.09199700000000001,0.108997,228.753037,Q7574256
94,1071538,The Return of the Archons,24,1,28,0.07372100000000001,0.079558,0.0,Q3487430
95,20682654,Arena Națională,10,2,25,0.10234299999999999,0.119101,5529.912463000001,Q338602
96,305684,Cryptopsy,54,1,25,0.088349,0.097548,0.0,Q745915
97,38999288,Joni Sledge,6,4,27,0.076783,0.089784,0.0,Q28937439
98,484942,Gelada,27,1,25,0.091448,0.101719,0.0,Q194080
99,31322636,Daniel (department store),10,1,29,0.07875900000000001,0.086086,0.0,Q16902799
100,41504198,Capture of Banja Koviljača,49,5,25,0.101523,0.114702,21956.708372,Q12748958
101,426458,New York State Legislature,7,6,23,0.10354400000000001,0.11954000000000001,43620.432389,Q3270268
102,54486096,Nayana James,26,2,26,0.089469,0.10212,0.0,Q32238261
103,1087368,York railway station,30,4,25,0.10298199999999999,0.11788900000000001,44433.370221,Q2269429
104,28294322,ACT! for America,7,1,24,0.093945,0.10551500000000001,0.0,Q20990738
105,340954,Sebastião Salgado,45,2,25,0.087309,0.095945,11097.0,Q358158
106,4298028,Lisa Salters,58,3,29,0.063658,0.06718099999999999,2.5,Q13562645
107,355718,David Stockman,54,1,24,0.100487,0.11586099999999999,0.0,Q1176745
108,36612682,Safaa Rashed,26,2,27,0.089424,0.10189,20665.450522,Q7398345
109,55053972,2017 All-Australian team,38,9,28,0.08161,0.09067,5804.32311,Q39049758
110,7159654,Gilles Bernier (Quebec politician),45,2,26,0.087575,0.097768,0.0,Q3106095
111,39026692,Andrew Kaczynski,8,1,27,0.07578,0.081147,0.0,Q14954815
112,44459730,Kevin Lasagna,52,5,28,0.080952,0.091499,27673.455872000002,Q18589006
113,5964302,Flashpoint (1984 film),54,1,23,0.114597,0.138756,0.0,Q1427274
114,16943988,Fancy Free (ballet),24,16,27,0.080364,0.08955,46452.848196,Q1395476
115,13043206,1987 MTV Video Music Awards,71,36,29,0.070988,0.080199,5.635542,Q822216
116,49658676,Pencak silat at the 2017 Southeast Asian Games,26,2,26,0.088657,0.09951,0.0,Q38217194
117,29063360,Sage Karam,35,9,31,0.068124,0.076388,113.37454199999999,Q7399134
118,43495438,List of Formula One race records,44,5,28,0.084723,0.097127,25.986931,Q18354962
119,10878224,First Take (talk show),13,6,24,0.10793299999999999,0.126776,82772.424385,Q5324240
120,14125984,Joe Vitale (musician),62,4,28,0.07096000000000001,0.079587,0.0,Q6212816
121,3475312,Public figure,70,2,28,0.07696,0.08455599999999999,11097.0,Q662729
122,233824,Vincent Massey,68,1,25,0.092892,0.10326199999999999,0.0,Q966669
123,54070490,Marlène Schiappa,74,2,25,0.089817,0.09867000000000001,0.0,Q20807844
124,38966028,Alberto Cerri,52,6,27,0.084833,0.09556,14290.240765999999,Q10557299
125,26608934,Eyewall replacement cycle,48,1,29,0.069846,0.075103,0.0,Q13634400
126,7294454,Jack Lengyel,46,4,29,0.060359,0.063502,11092.0,Q6113651
127,14270662,2008 Italian Grand Prix,22,2,27,0.092063,0.105696,20817.738935,Q179397
128,46297820,Isaac Heeney,36,5,30,0.07095,0.07629,54916.252834000006,Q19874641
129,2477976,Henry Ford Hospital,29,4,28,0.08243099999999999,0.092546,29701.280885000004,Q3145166
130,11777436,Soledad Brothers,58,1,30,0.063836,0.069275,0.0,Q16205234
131,2651130,Evita (1996 film),40,21,28,0.08161399999999999,0.09740700000000001,1037894.729891,Q245271
132,32662154,Ancestry of George Washington,49,3,22,0.11543599999999998,0.13361900000000002,210956.768193,Q4752583
133,962112,Kevin Brady,7,5,24,0.09817200000000001,0.11107,1871.9982519999999,Q472241
134,35299238,Jared Abbrederis,38,1,25,0.083466,0.090297,0.0,Q6159889
135,20777702,Crime and Punishment (1935 American film),65,3,34,0.051342,0.054889,11097.0,Q2398429
136,52180136,Amir Mehdizadeh,44,2,28,0.086909,0.098439,11097.0,Q20111182
137,126736,"Lawrence, Nassau County, New York",39,1,27,0.078734,0.087025,0.0,Q3477005
138,170570,Macalester College,68,3,25,0.093687,0.10511300000000001,276849.0,Q1141571
139,7258846,Vicious Cycle (album),65,17,33,0.054109000000000004,0.059082,0.27619,Q3095578
140,9547298,Euprymna scolopes,59,1,34,0.05501,0.05816,0.0,Q150870
141,54100580,Declan Rice,10,1,27,0.092829,0.10593699999999999,0.0,Q30007142
142,3820820,Xian H-6,70,1,31,0.058288,0.062046000000000004,0.0,Q39600
143,327556,Bharatiya Jana Sangh,5,31,29,0.079888,0.092722,23832.545553,Q3245961
144,3724490,Agoston Haraszthy,29,1,24,0.09946100000000001,0.111069,0.0,Q690354
145,9534924,Sarah Hanson-Young,72,19,25,0.092793,0.10975499999999999,537.8898889999999,Q2224379
146,43170634,Nipster,11,2,26,0.088814,0.096384,0.0,Q17582874
147,56336850,McLaren MCL33,44,12,29,0.080961,0.09300800000000001,22664.585896,Q47472600
148,18759088,Meet Me in Las Vegas,55,1,25,0.08028500000000001,0.088363,0.0,Q3713975
149,349032,Trnava,10,10,24,0.117623,0.142697,1288261.463492,Q26175
150,38373890,Mo Cowan,54,3,23,0.109911,0.130124,0.0,Q3915426
151,58070314,Bob Nadin,26,1,26,0.09109400000000001,0.101689,0.0,Q56043352
152,29124,Soviet submarine K-219,47,4,33,0.051431,0.054059,55472.0,Q1718019
153,4463232,Heavy cavalry,1,1,33,0.054074000000000004,0.0567,0.0,Q523562
154,50203468,Eric Oelschlägel,26,4,26,0.097691,0.114646,12448.62227,Q22342686
155,2168344,Sham marriage,74,1,25,0.086105,0.094443,0.0,Q1189309
156,26552350,Kenichi Tago,21,7,26,0.09352,0.10839000000000001,0.424788,Q1606124
157,2459688,Operation Smile,54,1,23,0.10692,0.125831,0.0,Q1323294
158,6896458,Guayana Esequiba,47,4,28,0.06914,0.07481499999999999,0.0,Q816253
159,12470766,Jorge Villafaña,10,2,26,0.08888099999999999,0.099521,0.0,Q978126
160,4022528,Andretti Autosport,35,23,31,0.068148,0.07745,12042.282146,Q503406
161,5017906,Bradman (disambiguation),61,1,25,0.095413,0.10884100000000001,0.0,Q4097401
162,23923576,Survivor Series (2009),46,4,27,0.066214,0.070667,23.207036,Q2076763
163,240838,Nicholas Ferrar,74,1,25,0.09346900000000001,0.10483900000000002,0.0,Q3875969
164,893944,Molly Millions,11,2,31,0.060872,0.063717,0.0,Q6896639
165,2236244,London Suite (play),55,34,24,0.092071,0.107024,4856.514969,Q89676822
166,3264388,Stadio Artemio Franchi,52,6,27,0.087008,0.09812,104806.475559,Q270474
