,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Views
0,5.0,1179.0,"Филозов, Альберт Леонидович",0.9983615279197692,Q3391400,Culture.Biography.Biography*,2298.04564115487,2.0,2800.0
1,5.0,1179.0,"Филозов, Альберт Леонидович",0.3276783227920532,Q3391400,History_and_Society.Society,2298.04564115487,2.0,2800.0
2,5.0,1179.0,"Филозов, Альберт Леонидович",0.10375863313674928,Q3391400,History_and_Society.Military_and_warfare,2298.04564115487,2.0,2800.0
3,5.0,1179.0,"Филозов, Альберт Леонидович",0.0,Q3391400,Geography.Regions.Asia.North_Asia,2298.04564115487,2.0,2800.0
4,5.0,1179.0,"Филозов, Альберт Леонидович",0.0,Q3391400,Geography.Regions.Europe.Europe*,2298.04564115487,2.0,2800.0
5,5.0,1179.0,"Филозов, Альберт Леонидович",0.0,Q3391400,Geography.Regions.Europe.Eastern_Europe,2298.04564115487,2.0,2800.0
6,5.0,1179.0,"Филозов, Альберт Леонидович",0.0,Q3391400,Geography.Regions.Asia.Asia*,2298.04564115487,2.0,2800.0
7,3.0,1182.0,"Стриженов, Глеб Александрович",0.9939124584197998,Q4443978,Culture.Biography.Biography*,1568.3755257101334,2.0,2579.0
8,3.0,1182.0,"Стриженов, Глеб Александрович",0.3140605390071869,Q4443978,History_and_Society.Military_and_warfare,1568.3755257101334,2.0,2579.0
9,3.0,1182.0,"Стриженов, Глеб Александрович",0.1824355274438858,Q4443978,History_and_Society.Society,1568.3755257101334,2.0,2579.0
10,3.0,1182.0,"Стриженов, Глеб Александрович",0.16452647745609286,Q4443978,History_and_Society.History,1568.3755257101334,2.0,2579.0
11,3.0,1182.0,"Стриженов, Глеб Александрович",0.07650540971755981,Q4443978,Geography.Regions.Asia.North_Asia,1568.3755257101334,2.0,2579.0
12,3.0,1182.0,"Стриженов, Глеб Александрович",0.0,Q4443978,Geography.Regions.Europe.Eastern_Europe,1568.3755257101334,2.0,2579.0
