,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class
0,3.0,876.0,Motor neuron disease,1.0000100135803223,Q3221083,STEM.STEM*,1702.1387016277872,11.0
1,3.0,876.0,Motor neuron disease,1.0000100135803223,Q3221083,STEM.Medicine_&_Health,1702.1387016277872,11.0
2,3.0,876.0,Motor neuron disease,0.1968362182378769,Q3221083,STEM.Biology,1702.1387016277872,11.0
3,12.0,2345.0,Archbishop of Canterbury,0.91965252161026,Q29282,Culture.Philosophy_and_religion,126216.78838203117,29.0
4,12.0,2345.0,Archbishop of Canterbury,0.12878464365005493,Q29282,Geography.Regions.Europe.Europe*,126216.78838203117,29.0
5,12.0,2345.0,Archbishop of Canterbury,0.11280541121959686,Q29282,Culture.Biography.Biography*,126216.78838203117,29.0
6,12.0,2345.0,Archbishop of Canterbury,0.014629947185516357,Q29282,Geography.Regions.Europe.Northern_Europe,126216.78838203117,29.0
7,1.0,2864.0,Archaeoastronomy,0.9947898983955383,Q463923,STEM.STEM*,0.0,0.0
8,1.0,2864.0,Archaeoastronomy,0.960371196269989,Q463923,STEM.Space,0.0,0.0
9,1.0,2864.0,Archaeoastronomy,0.1097157895565033,Q463923,History_and_Society.Society,0.0,0.0
10,10.0,3335.0,Baltic Sea,0.9855064153671265,Q545,Geography.Regions.Europe.Europe*,107521.96784469477,0.0
11,10.0,3335.0,Baltic Sea,0.9241518378257751,Q545,Geography.Regions.Europe.Northern_Europe,107521.96784469477,0.0
12,10.0,3335.0,Baltic Sea,0.6001983880996704,Q545,Geography.Geographical,107521.96784469477,0.0
13,4.0,3776.0,Bornholm,0.9399233460426331,Q769680,Geography.Regions.Europe.Europe*,4825.999999999612,0.0
14,4.0,3776.0,Bornholm,0.6370407938957214,Q769680,Geography.Regions.Europe.Northern_Europe,4825.999999999612,0.0
15,4.0,3776.0,Bornholm,0.538993239402771,Q769680,Geography.Geographical,4825.999999999612,0.0
16,4.0,4540.0,Balts,0.14805719256401062,Q207761,History_and_Society.Society,3619.0,0.0
17,4.0,4540.0,Balts,0.11921291798353195,Q207761,History_and_Society.History,3619.0,0.0
18,4.0,4540.0,Balts,0.0,Q207761,Geography.Regions.Europe.Europe*,3619.0,0.0
19,4.0,4540.0,Balts,0.0,Q207761,Geography.Regions.Europe.Southern_Europe,3619.0,0.0
20,4.0,4540.0,Balts,0.0,Q207761,Geography.Regions.Europe.Western_Europe,3619.0,0.0
21,4.0,4540.0,Balts,0.0,Q207761,Geography.Regions.Asia.Asia*,3619.0,0.0
22,1.0,5192.0,Geography of Canada,0.3981314172744751,Q2939,Geography.Regions.Americas.North_America,0.0,0.0
23,1.0,5192.0,Geography of Canada,0.0068218579292297354,Q2939,Geography.Geographical,0.0,0.0
24,23.0,5363.0,Video game,0.9893575310707092,Q7889,Culture.Internet_culture,148872.88986606884,25.0
25,23.0,5363.0,Video game,0.9808859825134277,Q7889,Culture.Media.Video_games,148872.88986606884,25.0
26,23.0,5363.0,Video game,0.9073222279548645,Q7889,Culture.Media.Media*,148872.88986606884,25.0
27,23.0,5363.0,Video game,0.21207880973815918,Q7889,STEM.STEM*,148872.88986606884,25.0
28,23.0,5363.0,Video game,0.13661839067935944,Q7889,Culture.Media.Software,148872.88986606884,25.0
29,23.0,5363.0,Video game,0.1097157895565033,Q7889,STEM.Computing,148872.88986606884,25.0
30,2.0,6176.0,Cecil B. DeMille,0.9991540908813477,Q72267,Culture.Biography.Biography*,3621.0,21.0
31,2.0,6176.0,Cecil B. DeMille,0.13604079389572143,Q72267,Geography.Regions.Americas.North_America,3621.0,21.0
32,2.0,6176.0,Cecil B. DeMille,0.0,Q72267,Geography.Regions.Europe.Europe*,3621.0,21.0
33,1.0,7003.0,Cauchy distribution,0.9553291201591492,Q726441,STEM.STEM*,0.0,0.0
34,1.0,7003.0,Cauchy distribution,0.6791887283325195,Q726441,STEM.Physics,0.0,0.0
