,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y
0,31.0,53.0,Arménie,18.0,0.9954004287719727,Q399,Geography.Geographical,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169
1,31.0,53.0,Arménie,18.0,0.8903042674064636,Q399,Geography.Regions.Asia.Asia*,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169
2,31.0,53.0,Arménie,18.0,0.8634016513824463,Q399,Geography.Regions.Asia.West_Asia,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169
3,31.0,53.0,Arménie,18.0,0.4532718360424042,Q399,Geography.Regions.Europe.Eastern_Europe,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169
4,31.0,53.0,Arménie,18.0,0.3998216390609741,Q399,Geography.Regions.Europe.Europe*,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169
5,31.0,53.0,Arménie,18.0,0.3629792034626007,Q399,History_and_Society.Society,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169
6,31.0,53.0,Arménie,18.0,0.16452647745609283,Q399,Geography.Regions.Asia.North_Asia,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169
7,31.0,53.0,Arménie,18.0,0.14805719256401062,Q399,Culture.Biography.Biography*,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169
8,17.0,273.0,Arménien,18.0,0.9304682612419128,Q8785,Culture.Linguistics,88.0,32075.642562115787,77.0,3.0,193.0,23.714287,-3.3540544999999997,22.663908
9,17.0,273.0,Arménien,18.0,0.0,Q8785,Geography.Regions.Asia.West_Asia,88.0,32075.642562115787,77.0,3.0,193.0,23.714287,-3.3540544999999997,22.663908
10,17.0,273.0,Arménien,18.0,0.0,Q8785,Geography.Regions.Asia.Asia*,88.0,32075.642562115787,77.0,3.0,193.0,23.714287,-3.3540544999999997,22.663908
11,12.0,2346.0,Prix Nobel de chimie,15.0,0.8519628047943115,Q44585,History_and_Society.Society,135.0,3418.356219118096,134.0,9.0,0.0,19.428572,5.092757,-6.174616
12,12.0,2346.0,Prix Nobel de chimie,15.0,0.538993239402771,Q44585,STEM.STEM*,135.0,3418.356219118096,134.0,9.0,0.0,19.428572,5.092757,-6.174616
13,12.0,2346.0,Prix Nobel de chimie,15.0,0.4767238368988037,Q44585,Geography.Regions.Europe.Northern_Europe,135.0,3418.356219118096,134.0,9.0,0.0,19.428572,5.092757,-6.174616
14,12.0,2346.0,Prix Nobel de chimie,15.0,0.4605437984466553,Q44585,Geography.Regions.Europe.Europe*,135.0,3418.356219118096,134.0,9.0,0.0,19.428572,5.092757,-6.174616
