,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views
0,31.0,53.0,Arménie,18.0,0.9954004287719728,Q399,Geography.Geographical,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169,134750.0
1,31.0,53.0,Arménie,18.0,0.8903042674064636,Q399,Geography.Regions.Asia.Asia*,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169,134750.0
2,31.0,53.0,Arménie,18.0,0.8634016513824463,Q399,Geography.Regions.Asia.West_Asia,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169,134750.0
3,31.0,53.0,Arménie,18.0,0.4532718360424042,Q399,Geography.Regions.Europe.Eastern_Europe,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169,134750.0
4,31.0,53.0,Arménie,18.0,0.3998216390609741,Q399,Geography.Regions.Europe.Europe*,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169,134750.0
5,31.0,53.0,Arménie,18.0,0.3629792034626007,Q399,History_and_Society.Society,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169,134750.0
6,31.0,53.0,Arménie,18.0,0.16452647745609286,Q399,Geography.Regions.Asia.North_Asia,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169,134750.0
7,31.0,53.0,Arménie,18.0,0.14805719256401062,Q399,Culture.Biography.Biography*,88.0,146366.182971155,77.0,3.0,193.0,35.714287,11.572415,18.158169,134750.0
8,17.0,273.0,Arménien,18.0,0.9304682612419128,Q8785,Culture.Linguistics,88.0,32075.642562115787,77.0,3.0,193.0,23.714287,-3.3540545,22.663908,10748.0
9,17.0,273.0,Arménien,18.0,0.0,Q8785,Geography.Regions.Asia.West_Asia,88.0,32075.642562115787,77.0,3.0,193.0,23.714287,-3.3540545,22.663908,10748.0
10,17.0,273.0,Arménien,18.0,0.0,Q8785,Geography.Regions.Asia.Asia*,88.0,32075.642562115787,77.0,3.0,193.0,23.714287,-3.3540545,22.663908,10748.0
11,12.0,2346.0,Prix Nobel de chimie,15.0,0.8519628047943115,Q44585,History_and_Society.Society,135.0,3418.356219118096,134.0,9.0,0.0,19.428572,5.092757,-6.174616,7938.0
12,12.0,2346.0,Prix Nobel de chimie,15.0,0.538993239402771,Q44585,STEM.STEM*,135.0,3418.356219118096,134.0,9.0,0.0,19.428572,5.092757,-6.174616,7938.0
13,12.0,2346.0,Prix Nobel de chimie,15.0,0.4767238368988037,Q44585,Geography.Regions.Europe.Northern_Europe,135.0,3418.356219118096,134.0,9.0,0.0,19.428572,5.092757,-6.174616,7938.0
14,12.0,2346.0,Prix Nobel de chimie,15.0,0.4605437984466553,Q44585,Geography.Regions.Europe.Europe*,135.0,3418.356219118096,134.0,9.0,0.0,19.428572,5.092757,-6.174616,7938.0
15,12.0,2346.0,Prix Nobel de chimie,15.0,0.2509227991104126,Q44585,STEM.Medicine_&_Health,135.0,3418.356219118096,134.0,9.0,0.0,19.428572,5.092757,-6.174616,7938.0
16,12.0,2346.0,Prix Nobel de chimie,15.0,0.23371636867523196,Q44585,STEM.Biology,135.0,3418.356219118096,134.0,9.0,0.0,19.428572,5.092757,-6.174616,7938.0
17,12.0,2346.0,Prix Nobel de chimie,15.0,0.11597072333097458,Q44585,Culture.Literature,135.0,3418.356219118096,134.0,9.0,0.0,19.428572,5.092757,-6.174616,7938.0
18,2.0,2442.0,Phosphore,15.0,0.952584147453308,Q674,STEM.STEM*,135.0,1345.0,134.0,9.0,0.0,10.857142,-10.072848,12.752747,9441.0
19,2.0,2442.0,Phosphore,15.0,0.880807101726532,Q674,STEM.Chemistry,135.0,1345.0,134.0,9.0,0.0,10.857142,-10.072848,12.752747,9441.0
20,10.0,3120.0,Var (département),1.0,0.9926641583442688,Q12789,Geography.Regions.Europe.Europe*,0.0,53838.1632375769,94.0,8.0,235.0,17.714287,-22.743174,-8.5528345,8092.0
21,10.0,3120.0,Var (département),1.0,0.9648651480674744,Q12789,Geography.Regions.Europe.Western_Europe,0.0,53838.1632375769,94.0,8.0,235.0,17.714287,-22.743174,-8.5528345,8092.0
22,10.0,3120.0,Var (département),1.0,0.2069040536880493,Q12789,Geography.Geographical,0.0,53838.1632375769,94.0,8.0,235.0,17.714287,-22.743174,-8.5528345,8092.0
23,3.0,7489.0,Dakota du Nord,4.0,0.9935217499732972,Q1207,Geography.Geographical,172.0,49149.068985435246,126.0,2.0,0.0,11.714286,-3.5856812000000007,1.3066876,2454.0
24,3.0,7489.0,Dakota du Nord,4.0,0.6001983880996704,Q1207,Geography.Regions.Americas.North_America,172.0,49149.068985435246,126.0,2.0,0.0,11.714286,-3.5856812000000007,1.3066876,2454.0
25,3.0,7489.0,Dakota du Nord,4.0,0.2227101624011993,Q1207,Geography.Regions.Europe.Europe*,172.0,49149.068985435246,126.0,2.0,0.0,11.714286,-3.5856812000000007,1.3066876,2454.0
26,3.0,7489.0,Dakota du Nord,4.0,0.11921291798353195,Q1207,History_and_Society.Politics_and_government,172.0,49149.068985435246,126.0,2.0,0.0,11.714286,-3.5856812000000007,1.3066876,2454.0
27,3.0,7489.0,Dakota du Nord,4.0,0.1067005917429924,Q1207,Geography.Regions.Europe.Western_Europe,172.0,49149.068985435246,126.0,2.0,0.0,11.714286,-3.5856812000000007,1.3066876,2454.0
28,7.0,7490.0,Dakota du Sud,4.0,0.3276783227920532,Q1211,Geography.Regions.Americas.North_America,172.0,125547.20178578961,126.0,2.0,0.0,15.142857,-5.875222,12.687117,3061.0
29,7.0,7490.0,Dakota du Sud,4.0,0.2120788097381592,Q1211,Geography.Geographical,172.0,125547.20178578961,126.0,2.0,0.0,15.142857,-5.875222,12.687117,3061.0
30,7.0,7545.0,Maryland,4.0,0.8933194279670715,Q1391,Geography.Regions.Americas.North_America,172.0,135251.4873036269,126.0,2.0,0.0,15.142857,2.929907,23.397373,3039.0
31,7.0,7545.0,Maryland,4.0,0.5775054097175598,Q1391,Geography.Geographical,172.0,135251.4873036269,126.0,2.0,0.0,15.142857,2.929907,23.397373,3039.0
32,6.0,7583.0,Oklahoma,4.0,0.9814634323120116,Q1649,Geography.Geographical,172.0,15702.269918771955,126.0,2.0,0.0,14.285714000000002,7.0809546,-14.483159,3474.0
33,6.0,7583.0,Oklahoma,4.0,0.7057950496673584,Q1649,Geography.Regions.Americas.North_America,172.0,15702.269918771955,126.0,2.0,0.0,14.285714000000002,7.0809546,-14.483159,3474.0
34,2.0,9366.0,Julien Dray,10.0,0.9777238368988036,Q3189473,Culture.Biography.Biography*,10.0,4029.0,121.0,14.0,114.0,10.857142,20.230482,15.648879999999998,2199.0
35,2.0,9366.0,Julien Dray,10.0,0.4231518378257752,Q3189473,Geography.Regions.Europe.Western_Europe,10.0,4029.0,121.0,14.0,114.0,10.857142,20.230482,15.648879999999998,2199.0
36,2.0,9366.0,Julien Dray,10.0,0.3952613940238953,Q3189473,Geography.Regions.Europe.Europe*,10.0,4029.0,121.0,14.0,114.0,10.857142,20.230482,15.648879999999998,2199.0
37,2.0,9366.0,Julien Dray,10.0,0.14415885508060455,Q3189473,History_and_Society.Politics_and_government,10.0,4029.0,121.0,14.0,114.0,10.857142,20.230482,15.648879999999998,2199.0
38,1.0,9989.0,François Lamy,1.0,0.9991540908813475,Q560944,Culture.Biography.Biography*,0.0,0.0,94.0,8.0,235.0,10.0,12.178045,-24.557272,2015.0
39,1.0,9989.0,François Lamy,1.0,0.3952613940238953,Q560944,Geography.Regions.Europe.Western_Europe,0.0,0.0,94.0,8.0,235.0,10.0,12.178045,-24.557272,2015.0
40,1.0,9989.0,François Lamy,1.0,0.3696072568893433,Q560944,Geography.Regions.Europe.Europe*,0.0,0.0,94.0,8.0,235.0,10.0,12.178045,-24.557272,2015.0
41,8.0,10182.0,Victoires de la musique,18.0,0.6654205918312073,Q2445029,History_and_Society.Society,88.0,6142.917761678325,77.0,3.0,193.0,16.0,2.3886483,9.314033,2834.0
42,8.0,10182.0,Victoires de la musique,18.0,0.538993239402771,Q2445029,Culture.Media.Media*,88.0,6142.917761678325,77.0,3.0,193.0,16.0,2.3886483,9.314033,2834.0
43,8.0,10182.0,Victoires de la musique,18.0,0.3730872144699097,Q2445029,Geography.Regions.Europe.Western_Europe,88.0,6142.917761678325,77.0,3.0,193.0,16.0,2.3886483,9.314033,2834.0
44,8.0,10182.0,Victoires de la musique,18.0,0.33459946513175964,Q2445029,Culture.Media.Music,88.0,6142.917761678325,77.0,3.0,193.0,16.0,2.3886483,9.314033,2834.0
45,8.0,10182.0,Victoires de la musique,18.0,0.2816725244522095,Q2445029,Geography.Regions.Europe.Europe*,88.0,6142.917761678325,77.0,3.0,193.0,16.0,2.3886483,9.314033,2834.0
46,4.0,12059.0,Étienne Chatiliez,12.0,0.998977780342102,Q289512,Culture.Biography.Biography*,0.0,2016.5,163.0,5.0,60.0,12.571428,-0.33479583,13.57632,1627.0
47,4.0,12059.0,Étienne Chatiliez,12.0,0.2596606483459473,Q289512,Geography.Regions.Europe.Western_Europe,0.0,2016.5,163.0,5.0,60.0,12.571428,-0.33479583,13.57632,1627.0
