,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views
0,2.0,1051.0,Alexis Carrel,0.9983093142509459,Q185777,Culture.Biography.Biography*,232.0,4602.0,146.0,12.0,0.0,11.25,-9.195307,-9.707448,4368.0
1,2.0,1051.0,Alexis Carrel,0.8267217874526978,Q185777,STEM.STEM*,232.0,4602.0,146.0,12.0,0.0,11.25,-9.195307,-9.707448,4368.0
2,2.0,1051.0,Alexis Carrel,0.7371681928634644,Q185777,STEM.Medicine_&_Health,232.0,4602.0,146.0,12.0,0.0,11.25,-9.195307,-9.707448,4368.0
3,2.0,1051.0,Alexis Carrel,0.11409788036346435,Q185777,Geography.Regions.Europe.Europe*,232.0,4602.0,146.0,12.0,0.0,11.25,-9.195307,-9.707448,4368.0
4,2.0,1051.0,Alexis Carrel,0.03021936321258545,Q185777,Geography.Regions.Europe.Western_Europe,232.0,4602.0,146.0,12.0,0.0,11.25,-9.195307,-9.707448,4368.0
5,6.0,1200.0,Atomic physics,0.9820237755775452,Q26383,STEM.Physics,97.0,8103.408768368337,136.0,15.0,0.0,16.25,-16.363468,-0.8956069,5364.0
6,6.0,1200.0,Atomic physics,0.9362950325012208,Q26383,STEM.STEM*,97.0,8103.408768368337,136.0,15.0,0.0,16.25,-16.363468,-0.8956069,5364.0
7,37.0,1750.0,Andaman Islands,0.6442351341247559,Q186233,Geography.Regions.Asia.Asia*,255.0,40864.8905530973,135.0,22.0,0.0,55.0,-1.2021897,20.81984,254827.0
8,37.0,1750.0,Andaman Islands,0.4921981394290924,Q186233,Geography.Geographical,255.0,40864.8905530973,135.0,22.0,0.0,55.0,-1.2021897,20.81984,254827.0
9,37.0,1750.0,Andaman Islands,0.4225146472454071,Q186233,Geography.Regions.Asia.South_Asia,255.0,40864.8905530973,135.0,22.0,0.0,55.0,-1.2021897,20.81984,254827.0
10,37.0,1750.0,Andaman Islands,0.2069040536880493,Q186233,Geography.Regions.Europe.Europe*,255.0,40864.8905530973,135.0,22.0,0.0,55.0,-1.2021897,20.81984,254827.0
11,7.0,1791.0,Anti-ballistic missile,0.585111141204834,Q574594,History_and_Society.Military_and_warfare,0.0,64294.99999999999,155.0,4.0,69.0,17.5,16.646498,13.823251,8113.0
12,7.0,1791.0,Anti-ballistic missile,0.4610267877578736,Q574594,STEM.STEM*,0.0,64294.99999999999,155.0,4.0,69.0,17.5,16.646498,13.823251,8113.0
13,7.0,1791.0,Anti-ballistic missile,0.1824355274438858,Q574594,History_and_Society.Transportation,0.0,64294.99999999999,155.0,4.0,69.0,17.5,16.646498,13.823251,8113.0
14,7.0,1791.0,Anti-ballistic missile,0.1259327530860901,Q574594,STEM.Technology,0.0,64294.99999999999,155.0,4.0,69.0,17.5,16.646498,13.823251,8113.0
15,7.0,1791.0,Anti-ballistic missile,0.10088862478733064,Q574594,History_and_Society.Society,0.0,64294.99999999999,155.0,4.0,69.0,17.5,16.646498,13.823251,8113.0
16,7.0,1791.0,Anti-ballistic missile,0.0,Q574594,Geography.Regions.Asia.Asia*,0.0,64294.99999999999,155.0,4.0,69.0,17.5,16.646498,13.823251,8113.0
17,7.0,1791.0,Anti-ballistic missile,0.0,Q574594,Geography.Regions.Asia.East_Asia,0.0,64294.99999999999,155.0,4.0,69.0,17.5,16.646498,13.823251,8113.0
18,2.0,2238.0,Antipope John XXIII,0.9972090721130372,Q294599,Culture.Biography.Biography*,192.0,0.0,192.0,26.0,192.0,11.25,15.534996,-8.617989999999999,4350.0
19,2.0,2238.0,Antipope John XXIII,0.9099169969558716,Q294599,Culture.Philosophy_and_religion,192.0,0.0,192.0,26.0,192.0,11.25,15.534996,-8.617989999999999,4350.0
20,2.0,2238.0,Antipope John XXIII,0.6584275364875793,Q294599,History_and_Society.History,192.0,0.0,192.0,26.0,192.0,11.25,15.534996,-8.617989999999999,4350.0
21,2.0,2238.0,Antipope John XXIII,0.21124218606948847,Q294599,Geography.Regions.Europe.Europe*,192.0,0.0,192.0,26.0,192.0,11.25,15.534996,-8.617989999999999,4350.0
22,2.0,2238.0,Antipope John XXIII,0.0,Q294599,Geography.Regions.Europe.Southern_Europe,192.0,0.0,192.0,26.0,192.0,11.25,15.534996,-8.617989999999999,4350.0
23,2.0,2340.0,Antipope Felix II,0.9697954058647156,Q299410,Culture.Biography.Biography*,192.0,0.0,192.0,26.0,192.0,11.25,-11.043402,-22.291103,2206.0
24,2.0,2340.0,Antipope Felix II,0.812877357006073,Q299410,Culture.Philosophy_and_religion,192.0,0.0,192.0,26.0,192.0,11.25,-11.043402,-22.291103,2206.0
